GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aismessages,dk.tbsalling.aismessages.nmea.exceptions,UnsupportedMessageType,4,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages.nmea.exceptions,InvalidMessage,0,4,0,0,0,2,0,1,0,1
aismessages,dk.tbsalling.aismessages.nmea.exceptions,NMEAParseException,19,9,0,0,3,4,3,1,3,1
aismessages,dk.tbsalling.aismessages.ais.messages,UTCAndDateResponse,453,0,6,0,40,0,63,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,GNSSBinaryBroadcastMessage,514,0,22,0,40,0,71,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,CachedDecodedValues,3,44,3,7,1,13,3,4,0,2
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAScheduled,19,7,0,0,5,3,2,2,2,2
aismessages,dk.tbsalling.aismessages.ais.messages,GroupAssignmentCommand,468,0,6,0,40,0,63,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,SafetyRelatedAcknowledge,527,0,28,0,47,0,66,0,52,0
aismessages,dk.tbsalling.aismessages.ais.messages,UTCAndDateInquiry,116,0,6,0,20,0,13,0,10,0
aismessages,dk.tbsalling.aismessages.ais.messages,AddressedSafetyRelatedMessage,261,0,6,0,30,0,33,0,30,0
aismessages,dk.tbsalling.aismessages.ais.messages,AddressedBinaryMessage,284,155,13,9,25,20,33,19,22,19
aismessages,dk.tbsalling.aismessages.ais.messages,SafetyRelatedBroadcastMessage,160,0,6,0,24,0,18,0,15,0
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAAssignedSchedule,19,7,0,0,5,3,2,2,2,2
aismessages,dk.tbsalling.aismessages.ais.messages,AidToNavigationReport,200,585,8,6,32,34,11,96,4,96
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAResponseToInterrogation,19,7,0,0,5,3,2,2,2,2
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReport,144,408,9,3,23,25,13,66,7,66
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryMessageMultipleSlot,205,0,0,0,21,0,31,0,31,0
aismessages,dk.tbsalling.aismessages.ais.messages,DataLinkManagement,394,319,21,11,29,22,54,48,38,48
aismessages,dk.tbsalling.aismessages.ais.messages,ChannelManagement,600,0,14,0,46,0,82,0,75,0
aismessages,dk.tbsalling.aismessages.ais.messages,AISMessage,263,924,36,68,69,197,37,62,4,30
aismessages,dk.tbsalling.aismessages.ais.messages,StandardClassBCSPositionReport,180,577,5,3,29,32,11,97,7,97
aismessages,dk.tbsalling.aismessages.ais.messages,ShipAndVoyageData,139,611,17,19,22,39,18,89,3,86
aismessages,dk.tbsalling.aismessages.ais.messages,ClassBCSStaticDataReport,138,387,13,13,20,19,17,53,5,52
aismessages,dk.tbsalling.aismessages.ais.messages,LongRangeBroadcastMessage,177,269,4,4,23,18,18,42,15,41
aismessages,dk.tbsalling.aismessages.ais.messages,Interrogation,171,245,10,8,17,17,21,34,12,34
aismessages,dk.tbsalling.aismessages.ais.messages,BaseStationReport,118,366,4,2,21,21,5,63,2,63
aismessages,dk.tbsalling.aismessages.ais.messages,ExtendedClassBEquipmentPositionReport,766,0,6,0,61,0,108,0,105,0
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryMessageSingleSlot,217,0,6,0,26,0,28,0,25,0
aismessages,dk.tbsalling.aismessages.ais.messages,StandardSARAircraftPositionReport,530,0,6,0,47,0,73,0,70,0
aismessages,dk.tbsalling.aismessages.ais.messages,Error,47,0,0,0,11,0,6,0,6,0
aismessages,dk.tbsalling.aismessages.ais.messages,Metadata,66,53,14,6,7,14,15,4,5,4
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryBroadcastMessage,126,206,7,11,13,26,14,21,7,19
aismessages,dk.tbsalling.aismessages.ais.messages,AssignedModeCommand,326,0,14,0,30,0,43,0,36,0
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryAcknowledge,527,0,28,0,47,0,66,0,52,0
aismessages,dk.tbsalling.aismessages.nmea.messages,NMEAMessage,119,193,26,18,16,34,24,15,4,13
aismessages,dk.tbsalling.aismessages.ais.exceptions,UnsupportedMessageType,3,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages.ais.exceptions,InvalidAISMessage,3,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages,AISInputStreamReader,40,0,0,0,9,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.ais,Decoders,142,496,9,3,10,88,7,9,2,8
aismessages,dk.tbsalling.aismessages.ais,Decoders.new Function() {...},0,48,0,2,0,10,0,3,0,2
aismessages,dk.tbsalling.aismessages.demo,SimpleDemoApp,53,0,0,0,11,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.demo,SocketDemoApp,71,0,0,0,15,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageInputStreamReader,33,86,1,3,6,19,2,5,1,4
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageHandler,92,231,5,11,10,42,5,10,0,7
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageSocketClient,79,0,2,0,22,0,6,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,ManeuverIndicator,10,58,3,3,3,11,5,3,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,ReportingInterval,172,0,6,0,27,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,AISMessageType,3,265,1,5,1,38,2,6,1,4
aismessages,dk.tbsalling.aismessages.ais.messages.types,TransponderClass,45,0,0,0,10,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,ShipType,8,588,2,4,3,77,4,4,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,StationType,172,0,6,0,27,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,SOTDMACommunicationState,77,154,15,13,9,31,13,10,0,9
aismessages,dk.tbsalling.aismessages.ais.messages.types,AidType,8,292,2,4,3,40,4,4,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,TxRxMode,76,0,6,0,15,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,PositionFixingDevice,6,110,1,5,2,18,3,5,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,ITDMACommunicationState,2,69,2,2,1,16,2,5,0,5
