GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,JacksonWbSearchEntitiesResult,280,66,72,0,65,28,38,19,2,19
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,TermStatementUpdate.AliasesWithUpdate,0,22,0,0,0,6,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,NeedLoginTokenException,4,0,0,0,2,0,1,0,1,0
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,StatementUpdate.StatementWithUpdate,0,12,0,0,0,4,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,LoginFailedException,0,9,0,0,0,4,0,2,0,2
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WbGetEntitiesSearchData,21,0,0,0,7,0,1,0,1,0
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WbGetEntitiesAction,20,192,2,24,4,49,2,15,0,4
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WbGetEntitiesActionData,0,21,0,0,0,7,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,StatementUpdate,69,775,18,108,10,179,17,64,0,18
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WbSearchEntitiesAction,73,101,4,10,11,29,5,6,1,3
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,JacksonWbSearchEntitiesResult.JacksonMatch,81,54,21,9,22,16,19,2,4,2
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WikibaseDataFetcher,87,270,9,19,27,70,15,19,6,14
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,ApiConnection,107,762,5,55,27,174,6,52,2,21
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WbEditingAction,106,560,16,52,20,137,13,42,0,21
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,BasicApiConnection,7,57,0,0,2,19,1,12,1,12
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,StatementUpdate.DeletedStatement,18,14,0,0,9,5,9,3,9,3
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,WikibaseDataEditor,92,244,1,1,21,56,6,19,5,19
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,RandomGuidGenerator,23,3,0,0,6,1,1,1,1,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,TermStatementUpdate.NameWithUpdate,0,12,0,0,0,4,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi,TermStatementUpdate,25,757,12,74,6,150,12,48,0,17
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,NoSuchEntityErrorException,0,5,0,0,0,2,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,MediaWikiApiErrorException,0,27,0,0,0,6,0,3,0,3
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,MediaWikiApiErrorHandler,3,35,0,5,1,6,1,5,1,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,MaxlagErrorException,0,5,0,0,0,2,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,TokenErrorException,0,5,0,0,0,2,0,1,0,1
Wikidata Toolkit Wikibase API,org.wikidata.wdtk.wikibaseapi.apierrors,EditConflictErrorException,0,5,0,0,0,2,0,1,0,1
