GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard Jersey Support,io.dropwizard.jersey.jackson,JacksonFeature,26,0,0,0,5,0,2,0,2,0
Dropwizard Jersey Support,io.dropwizard.jersey.jackson,JsonProcessingExceptionMapper,5,49,2,4,1,15,3,4,1,3
Dropwizard Jersey Support,io.dropwizard.jersey.jackson,JacksonMessageBodyProvider,3,53,2,10,1,8,3,8,1,4
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,LocalDateParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,YearMonthParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,LocalDateTimeParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,ZonedDateTimeParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,YearParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,ZoneIdParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,OffsetDateTimeParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,InstantSecondParam,0,8,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,InstantParam,0,8,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.jsr310,LocalTimeParam,0,7,0,0,0,3,0,2,0,2
Dropwizard Jersey Support,io.dropwizard.jersey.setup,JerseyContainerHolder,13,0,0,0,6,0,3,0,3,0
Dropwizard Jersey Support,io.dropwizard.jersey.setup,JerseyServletContainer,7,0,0,0,4,0,2,0,2,0
Dropwizard Jersey Support,io.dropwizard.jersey.setup,JerseyEnvironment,73,50,0,6,18,12,10,6,10,3
