GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unix4j-command,org.unix4j.unix.sed,SubstituteProcessor,32,345,3,51,5,66,3,30,0,6
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iaglnp,23,2603,3,23,5,82,8,13,5,3
unix4j-command,org.unix4j.unix.sed,CharMap,7,78,2,8,1,18,2,7,0,4
unix4j-command,org.unix4j.unix.sed,SedOptionSets,0,74,0,0,0,24,0,2,0,2
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iacdgilnpsy,25,2969,2,22,6,91,7,14,5,4
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,SedFactory,0,108,0,0,0,27,0,8,0,8
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},0,25,0,0,0,4,0,4,0,4
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Igilnp,23,2603,3,23,5,82,8,13,5,3
unix4j-command,org.unix4j.unix.sed,SedOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.sed,Command,14,236,3,23,2,41,3,15,0,5
unix4j-command,org.unix4j.unix.sed,PrintProcessor,18,68,3,7,2,16,3,6,0,4
unix4j-command,org.unix4j.unix.sed,AbstractTextProcessor,54,150,5,9,4,32,4,8,0,5
unix4j-command,org.unix4j.unix.sed,DeleteProcessor,16,57,1,3,1,14,1,5,0,4
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Icglnp,23,2603,3,23,5,82,8,13,5,3
unix4j-command,org.unix4j.unix.sed,SedArguments,610,463,75,37,102,111,58,45,12,35
unix4j-command,org.unix4j.unix.sed,SedCommand,12,48,1,9,1,14,1,6,0,2
unix4j-command,org.unix4j.unix.sed,InsertProcessor,4,43,2,6,2,9,2,5,0,3
unix4j-command,org.unix4j.unix.sed,AbstractSedProcessor,16,94,5,19,3,29,5,13,0,6
unix4j-command,org.unix4j.unix.sed,AppendProcessor,2,45,2,6,1,10,2,5,0,3
unix4j-command,org.unix4j.unix.sed,TranslateProcessor,16,155,1,17,1,32,1,12,0,4
unix4j-command,org.unix4j.unix.sed,SedOptions.Default,10,10,0,0,5,5,2,2,2,2
unix4j-command,org.unix4j.unix.sed,ChangeProcessor,2,41,1,3,1,9,1,4,0,3
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Idglnp,23,2603,3,23,5,82,8,13,5,3
unix4j-command,org.unix4j.unix.sed,SedOption,36,141,4,0,7,18,7,5,5,5
unix4j-command,org.unix4j.unix.sed,AbstractRegexpProcessor,12,64,2,8,1,14,2,5,0,2
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iglnps,28,2598,3,23,6,81,9,12,6,2
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iglnpy,23,2603,3,23,5,82,8,13,5,3
unix4j-command,org.unix4j.unix.sed,SedOptions.new ValueConverter() {...},2,22,1,1,0,4,1,2,0,2
unix4j-command,org.unix4j.unix.sed,SedOptions.new SedOptions() {...},8,9,0,0,3,4,3,4,3,4
unix4j-command,org.unix4j.unix.echo,EchoOptions.Default,16,4,0,0,8,2,3,1,3,1
unix4j-command,org.unix4j.unix.echo,EchoCommand.new LineProcessor() {...},16,77,2,8,3,14,3,6,1,3
unix4j-command,org.unix4j.unix.echo,EchoFactory,26,15,0,0,6,3,2,2,2,2
unix4j-command,org.unix4j.unix.echo,EchoArguments,311,304,42,30,50,69,33,24,6,15
unix4j-command,org.unix4j.unix.echo,EchoOptionSets,0,14,0,0,0,4,0,2,0,2
unix4j-command,org.unix4j.unix.echo,EchoOptions.new ValueConverter() {...},15,9,2,0,2,2,2,1,1,1
unix4j-command,org.unix4j.unix.echo,EchoOptions.new EchoOptions() {...},12,5,0,0,5,2,5,2,5,2
unix4j-command,org.unix4j.unix.echo,EchoOptionSet_n,28,70,3,3,6,9,9,2,6,2
unix4j-command,org.unix4j.unix.echo,EchoCommand,0,17,0,0,0,4,0,2,0,2
unix4j-command,org.unix4j.unix.echo,EchoOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.echo,EchoOption,44,23,4,0,10,5,10,2,8,2
unix4j-command,org.unix4j.builder,DefaultUnix4jCommandBuilder,586,631,0,0,128,152,64,76,64,76
unix4j-command,org.unix4j.unix.cat,CatOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.cat,CatArguments,290,311,39,31,40,75,30,27,4,18
unix4j-command,org.unix4j.unix.cat,CatOptionSet_bs,23,143,3,7,5,14,8,5,5,3
unix4j-command,org.unix4j.unix.cat,CatOption,36,53,4,0,7,10,7,5,5,5
unix4j-command,org.unix4j.unix.cat,SqueezeEmptyLinesProcessor,0,40,0,6,0,13,0,6,0,3
unix4j-command,org.unix4j.unix.cat,CatProcessor,0,15,0,0,0,5,0,3,0,3
unix4j-command,org.unix4j.unix.cat,CatOptionSet_ns,23,143,3,7,5,14,8,5,5,3
unix4j-command,org.unix4j.unix.cat,CatOptions.new CatOptions() {...},12,5,0,0,5,2,5,2,5,2
unix4j-command,org.unix4j.unix.cat,CatOptions.new ValueConverter() {...},2,22,1,1,0,4,1,2,0,2
unix4j-command,org.unix4j.unix.cat,NumberLinesProcessor,12,97,3,5,2,18,2,5,0,3
unix4j-command,org.unix4j.unix.cat,CatOptions.Default,10,10,0,0,5,5,2,2,2,2
unix4j-command,org.unix4j.unix.cat,CatOptionSets,0,26,0,0,0,8,0,2,0,2
unix4j-command,org.unix4j.unix.cat,CatFactory,0,72,0,0,0,16,0,7,0,7
unix4j-command,org.unix4j.unix.cat,CatCommand,0,94,0,10,0,19,0,9,0,4
unix4j-command,org.unix4j.unix.cat,CatOptionSet_bns,27,107,4,4,6,15,9,4,5,4
unix4j-command,org.unix4j.unix.head,HeadArguments,362,314,47,31,50,79,38,25,4,20
unix4j-command,org.unix4j.unix.head,HeadOption,44,34,4,0,10,6,10,2,8,2
unix4j-command,org.unix4j.unix.head,HeadCommand.new DefaultInputProcessor() {...},2,67,1,3,0,11,1,4,0,3
unix4j-command,org.unix4j.unix.head,HeadOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.head,HeadOptionSets,0,20,0,0,0,6,0,2,0,2
unix4j-command,org.unix4j.unix.head,AbstractHeadProcessor,0,35,0,2,0,10,0,4,0,3
unix4j-command,org.unix4j.unix.head,HeadCommand,0,120,1,13,0,21,1,10,0,4
unix4j-command,org.unix4j.unix.head,HeadLinesProcessor,0,33,1,5,0,6,1,4,0,2
unix4j-command,org.unix4j.unix.head,HeadOptions.new HeadOptions() {...},10,7,0,0,4,3,4,3,4,3
unix4j-command,org.unix4j.unix.head,HeadOptions.new ValueConverter() {...},15,9,2,0,2,2,2,1,1,1
unix4j-command,org.unix4j.unix.head,HeadFactory,29,94,0,0,7,23,2,8,2,8
unix4j-command,org.unix4j.unix.head,HeadOptions.Default,16,4,0,0,8,2,3,1,3,1
unix4j-command,org.unix4j.unix.head,HeadCharsProcessor,0,63,1,7,0,12,1,5,0,2
unix4j-command,org.unix4j.unix.head,HeadOptionSet_cq,21,187,1,9,5,16,6,7,5,3
unix4j-command,org.unix4j.unix.uniq,UniqOptionSet_gu,23,143,3,7,5,14,8,5,5,3
unix4j-command,org.unix4j.unix.uniq,UniqOptions.Default,10,10,0,0,5,5,2,2,2,2
unix4j-command,org.unix4j.unix.uniq,UniqOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.uniq,UniqProcessor,0,12,0,0,0,3,0,2,0,2
unix4j-command,org.unix4j.unix.uniq,UniqOptions.new UniqOptions() {...},12,5,0,0,5,2,5,2,5,2
unix4j-command,org.unix4j.unix.uniq,UniqOptions.new ValueConverter() {...},2,22,1,1,0,4,1,2,0,2
unix4j-command,org.unix4j.unix.uniq,UniqOptionSet_cg,23,143,3,7,5,14,8,5,5,3
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor.UniqueDuplicateCount,0,58,0,4,0,15,0,5,0,3
unix4j-command,org.unix4j.unix.uniq,UniqOptionSet_dg,23,143,3,7,5,14,8,5,5,3
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor,0,11,0,0,0,3,0,1,0,1
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor.UniqueOnly,0,15,0,2,0,5,0,3,0,2
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor.UniqueDuplicateCount,0,97,0,4,0,20,0,6,0,4
unix4j-command,org.unix4j.unix.uniq,CountUtil,1,44,1,1,0,6,1,2,0,2
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor.Normal,0,40,0,2,0,11,0,4,0,3
unix4j-command,org.unix4j.unix.uniq,UniqOption,36,64,4,0,7,11,7,5,5,5
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor.UniqueOnly,0,15,0,2,0,5,0,3,0,2
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor,0,9,0,0,0,3,0,1,0,1
unix4j-command,org.unix4j.unix.uniq,UniqOptionSet_cdgu,27,121,4,4,6,17,9,4,5,4
unix4j-command,org.unix4j.unix.uniq,UniqOptionSets,0,32,0,0,0,10,0,2,0,2
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor.Count,0,17,0,2,0,5,0,3,0,2
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor.Count,0,15,0,0,0,4,0,2,0,2
unix4j-command,org.unix4j.unix.uniq,UniqFactory,59,25,0,0,14,5,5,3,5,3
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor.DuplicateOnly,0,15,0,2,0,5,0,3,0,2
unix4j-command,org.unix4j.unix.uniq,UniqCommand,47,99,2,16,7,21,3,10,1,3
unix4j-command,org.unix4j.unix.uniq,UniqArguments,406,224,50,22,70,52,42,18,11,13
unix4j-command,org.unix4j.unix.uniq,GlobalProcessor.DuplicateOnly,0,15,0,2,0,5,0,3,0,2
unix4j-command,org.unix4j.unix.uniq,AdjacentProcessor.Normal,0,30,0,4,0,9,0,5,0,3
unix4j-command,org.unix4j.unix.from,FromFactory,60,94,0,0,12,19,4,7,4,7
unix4j-command,org.unix4j.unix.from,FromCommand,22,54,2,4,2,11,2,3,0,2
unix4j-command,org.unix4j.unix.from,FromCommand.new LineProcessor() {...},2,37,0,4,1,8,1,4,1,2
unix4j-command,org.unix4j.unix.from,FromArguments,186,45,23,3,34,18,18,8,5,8
unix4j-command,org.unix4j.unix,Grep,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Cd,0,3,0,0,0,1,0,1,0,1
unix4j-command,org.unix4j.unix,Xargs,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Wc,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Sed,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Cut,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Head,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Find,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,From,0,3,0,0,0,1,0,1,0,1
unix4j-command,org.unix4j.unix,Ls,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Sort,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Uniq,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Cat,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Tail,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix,Echo,0,5,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.cut,CutOptions.new CutOptions() {...},17,0,0,0,7,0,7,0,7,0
unix4j-command,org.unix4j.unix.cut,CutOptions.new ValueConverter() {...},24,0,2,0,4,0,3,0,2,0
unix4j-command,org.unix4j.unix.cut,CutOptionSet_cf,21,187,1,9,5,16,6,7,5,3
unix4j-command,org.unix4j.unix.cut,CutOption,44,34,4,0,10,6,10,2,8,2
unix4j-command,org.unix4j.unix.cut,CutArguments,671,107,81,7,111,39,55,17,11,17
unix4j-command,org.unix4j.unix.cut,CutCommand.new LineProcessor() {...},5,152,1,17,1,26,1,13,0,5
unix4j-command,org.unix4j.unix.cut,CutOptions.Default,20,0,0,0,10,0,4,0,4,0
unix4j-command,org.unix4j.unix.cut,CutOptionSets,0,20,0,0,0,6,0,2,0,2
unix4j-command,org.unix4j.unix.cut,CutOptions,9,0,0,0,2,0,1,0,1,0
unix4j-command,org.unix4j.unix.cut,CutCommand,15,43,3,11,3,9,3,6,0,2
unix4j-command,org.unix4j.unix.cut,CutFactory,61,50,0,0,15,12,4,4,4,4
unix4j-command,org.unix4j.unix.sort,SortOptionSet_Mbdfmru,30,2994,5,25,6,83,11,12,6,2
unix4j-command,org.unix4j.unix.sort,SortOptions,0,9,0,0,0,2,0,1,0,1
unix4j-command,org.unix4j.unix.sort,SortOptionSet_bcdfgmru,27,2883,4,24,6,87,9,14,5,4
unix4j-command,org.unix4j.unix.sort,SortOptionSet_bcdfmnru,27,2883,4,24,6,87,9,14,5,4
unix4j-command,org.unix4j.unix.sort,SortOptionSet_MVbdfghmnru,27,3297,4,24,6,93,9,14,5,4
unix4j-command,org.unix4j.unix.sort,SortOptionSet_bcdfgru,30,2994,5,25,6,83,11,12,6,2
unix4j-command,org.unix4j.unix.sort,SortArguments,387,337,51,27,61,78,40,33,8,26
unix4j-command,org.unix4j.unix.sort,SortOptionSet_MVbcdfghnru,27,3297,4,24,6,93,9,14,5,4
unix4j-command,org.unix4j.unix.sort,SortCommand,12,174,3,19,3,38,3,13,0,5
