GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineSpecSerializer,0,5,0,0,0,2,0,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule.PermissiveEnumDeserializer,0,69,0,4,0,11,0,5,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineDeserializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule.PermissiveEnumDeserializers,2,77,2,12,0,15,2,6,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule,0,14,0,0,0,5,0,4,0,4
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineSpecDeserializer,3,14,2,2,1,3,2,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,SafeDurationDeserializer,0,40,1,5,0,9,1,5,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,AnnotationSensitivePropertyNamingStrategy,32,48,4,4,5,10,4,5,1,4
Dropwizard Jackson Support,io.dropwizard.jackson,SafeInstantDeserializer,0,43,1,3,0,7,1,4,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,Jackson,12,89,0,0,3,17,1,3,1,3
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule,0,22,0,0,0,6,0,4,0,4
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.CacheBuilderSpecSerializer,0,5,0,0,0,2,0,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.GuavaExtrasSerializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.GuavaExtrasDeserializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule,0,20,0,0,0,6,0,4,0,4
Dropwizard Jackson Support,io.dropwizard.jackson,SafeJavaTimeModule,46,67,0,0,6,10,6,3,6,3
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.CacheBuilderSpecDeserializer,2,14,2,2,1,3,2,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineSerializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,DiscoverableSubtypeResolver,17,130,1,9,6,30,2,10,1,6
