GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard Jetty Support,io.dropwizard.jetty.setup,ServletEnvironment,7,210,3,5,1,50,3,19,0,18
Dropwizard Jetty Support,io.dropwizard.jetty,HttpsConnectorFactory,101,611,5,55,30,167,7,89,3,63
Dropwizard Jetty Support,io.dropwizard.jetty,MutableServletContextHandler,0,53,0,8,0,11,0,9,0,5
Dropwizard Jetty Support,io.dropwizard.jetty,BiDiGzipHandler.WrappedServletInputStream,57,17,4,0,17,5,12,3,10,3
Dropwizard Jetty Support,io.dropwizard.jetty,BiDiGzipHandler.RemoveHttpHeadersWrapper,33,18,6,2,9,6,6,3,3,2
Dropwizard Jetty Support,io.dropwizard.jetty,Jetty93InstrumentedConnectionFactory.new Connection.Listener() {...},20,0,0,0,5,0,3,0,3,0
Dropwizard Jetty Support,io.dropwizard.jetty,ContextRoutingHandler,22,96,1,9,2,21,4,8,3,4
Dropwizard Jetty Support,io.dropwizard.jetty,RoutingHandler,1,84,1,5,1,14,1,4,0,2
Dropwizard Jetty Support,io.dropwizard.jetty,Jetty93InstrumentedConnectionFactory,14,27,0,0,3,9,1,5,1,5
Dropwizard Jetty Support,io.dropwizard.jetty,BiDiGzipHandler,12,149,1,5,5,30,1,12,0,10
Dropwizard Jetty Support,io.dropwizard.jetty,ZipExceptionHandlingInputStream,0,132,0,4,0,36,0,14,0,12
Dropwizard Jetty Support,io.dropwizard.jetty,GzipHandlerFactory,29,183,0,10,11,54,9,22,9,17
Dropwizard Jetty Support,io.dropwizard.jetty,NetUtil,26,103,10,8,5,26,8,12,2,9
Dropwizard Jetty Support,io.dropwizard.jetty,RoutingHandler.Entry,0,9,0,0,0,4,0,1,0,1
Dropwizard Jetty Support,io.dropwizard.jetty,BiDiGzipHandler.new InflaterInputStream() {...},7,12,0,0,3,1,1,1,1,1
Dropwizard Jetty Support,io.dropwizard.jetty,ServerPushFilterFactory,0,109,0,6,0,35,0,15,0,12
Dropwizard Jetty Support,io.dropwizard.jetty,NonblockingServletHolder,4,36,0,2,1,12,1,5,1,4
Dropwizard Jetty Support,io.dropwizard.jetty,HttpConnectorFactory,18,431,1,3,6,138,3,52,2,51
Dropwizard Jetty Support,io.dropwizard.jetty,BiDiGzipHandler.WrappedServletRequest,5,41,2,2,2,10,3,5,1,5
Dropwizard Jetty Support,io.dropwizard.jetty,SslReload,14,9,0,0,5,4,3,1,3,1
Dropwizard Jetty Support,io.dropwizard.jetty,HttpsConnectorFactory.new AbstractLifeCycle.AbstractLifeCycleListener() {...},6,9,0,0,2,1,1,1,1,1
