GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,26,475,4,37,8,100,7,47,3,30
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,31,166,6,16,12,37,11,23,5,18
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,4,177,1,19,3,56,1,23,0,14
Apache Commons IO,org.apache.commons.io.monitor,SerializableFileTime,13,62,2,2,4,17,4,10,2,10
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,182,0,10,2,34,0,19,0,14
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,20,0,0,0,6,0,3,0,3
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.input.buffer,PeekableInputStream,64,0,4,0,12,0,6,0,4,0
Apache Commons IO,org.apache.commons.io.input.buffer,CircularByteBuffer,212,225,34,24,31,43,25,17,4,9
Apache Commons IO,org.apache.commons.io.input.buffer,CircularBufferInputStream,24,134,5,17,4,40,5,13,0,7
Apache Commons IO,org.apache.commons.io,FileExistsException,16,4,0,0,4,2,2,1,2,1
Apache Commons IO,org.apache.commons.io,DirectoryWalker,1,209,0,24,1,55,1,27,1,15
Apache Commons IO,org.apache.commons.io,EndianUtils,0,809,0,6,0,97,0,35,0,32
Apache Commons IO,org.apache.commons.io,FileUtils,76,2538,8,200,21,515,14,264,6,168
Apache Commons IO,org.apache.commons.io,FilenameUtils,62,1575,23,347,17,361,21,213,2,47
Apache Commons IO,org.apache.commons.io,RandomAccessFileMode,3,61,0,0,1,11,1,5,1,5
Apache Commons IO,org.apache.commons.io,FileSystemUtils,3,44,0,2,2,9,1,7,1,6
Apache Commons IO,org.apache.commons.io,ThreadUtils,3,24,1,1,2,7,2,2,1,2
Apache Commons IO,org.apache.commons.io,StreamIterator,2,48,1,5,1,17,1,7,0,5
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,15,0,5,0,2
Apache Commons IO,org.apache.commons.io,Charsets,3,82,0,6,1,19,1,9,1,6
Apache Commons IO,org.apache.commons.io,CloseableURLConnection,186,42,0,0,50,12,41,7,41,7
Apache Commons IO,org.apache.commons.io,IOIndexedException,0,48,0,4,0,8,0,5,0,3
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Tracker,0,27,0,2,0,6,0,4,0,3
Apache Commons IO,org.apache.commons.io,IOExceptionList,0,101,0,12,0,16,0,17,0,11
Apache Commons IO,org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
Apache Commons IO,org.apache.commons.io,RandomAccessFiles,4,61,2,8,2,16,3,7,1,4
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io,StandardLineSeparator,0,43,0,0,0,9,0,4,0,4
Apache Commons IO,org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,HexDump,3,353,0,26,2,43,1,19,1,6
Apache Commons IO,org.apache.commons.io,ByteOrderMark,0,295,0,20,0,47,0,19,0,9
Apache Commons IO,org.apache.commons.io,IOCase,4,230,1,49,1,32,2,40,1,16
Apache Commons IO,org.apache.commons.io,IO,3,2,0,0,1,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,DirectoryWalker.CancelException,0,22,0,0,0,8,0,4,0,4
Apache Commons IO,org.apache.commons.io,LineIterator,3,101,0,12,2,33,1,13,1,7
Apache Commons IO,org.apache.commons.io,ThreadMonitor,0,53,0,6,0,19,0,8,0,5
Apache Commons IO,org.apache.commons.io,UncheckedIOExceptions,0,19,0,0,0,3,0,2,0,2
Apache Commons IO,org.apache.commons.io,ByteOrderParser,0,34,0,4,0,5,0,3,0,1
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy,12,55,1,7,1,15,1,9,0,6
Apache Commons IO,org.apache.commons.io,FileSystem,121,624,27,27,30,57,22,31,5,21
Apache Commons IO,org.apache.commons.io,IOUtils,199,2057,42,254,50,499,49,272,16,157
Apache Commons IO,org.apache.commons.io,FileCleaningTracker,6,126,1,5,1,33,2,12,1,10
Apache Commons IO,org.apache.commons.io,TaggedIOException,3,37,1,7,1,9,2,7,1,4
Apache Commons IO,org.apache.commons.io,CopyUtils,0,160,0,4,0,48,0,15,0,13
Apache Commons IO,org.apache.commons.io.charset,CharsetEncoders,0,15,0,2,0,2,0,4,0,3
Apache Commons IO,org.apache.commons.io.charset,CharsetDecoders,0,7,0,2,0,1,0,2,0,1
Apache Commons IO,org.apache.commons.io.build,AbstractSupplier,0,5,0,0,0,2,0,2,0,2
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.FileOrigin,0,26,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.PathOrigin,0,26,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.URIOrigin,0,13,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,6,30,0,0,1,6,1,5,1,5
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,0,29,0,0,0,6,0,5,0,5
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,0,22,0,0,0,5,0,4,0,4
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,0,16,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.build,AbstractOriginSupplier,7,140,2,2,1,29,2,27,1,26
Apache Commons IO,org.apache.commons.io.build,AbstractStreamBuilder,15,196,4,8,1,39,5,26,1,24
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,0,18,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,6,24,0,0,1,5,1,4,1,4
Apache Commons IO,org.apache.commons.io.build,AbstractOrigin,43,124,4,4,3,19,6,12,2,12
Apache Commons IO,org.apache.commons.io.comparator,NameFileComparator,0,67,0,0,0,14,0,5,0,5
Apache Commons IO,org.apache.commons.io.comparator,DirectoryFileComparator,0,28,0,2,0,5,0,5,0,4
Apache Commons IO,org.apache.commons.io.comparator,SizeFileComparator,0,101,2,14,0,23,2,11,0,5
Apache Commons IO,org.apache.commons.io.comparator,LastModifiedFileComparator,0,33,0,4,0,9,0,5,0,3
Apache Commons IO,org.apache.commons.io.comparator,PathFileComparator,0,67,0,0,0,14,0,5,0,5
Apache Commons IO,org.apache.commons.io.comparator,ReverseFileComparator,0,31,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,CompositeFileComparator,0,110,0,10,0,19,0,14,0,9
Apache Commons IO,org.apache.commons.io.comparator,DefaultFileComparator,0,17,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,AbstractFileComparator,0,21,0,4,0,8,0,6,0,4
Apache Commons IO,org.apache.commons.io.comparator,ExtensionFileComparator,0,73,0,0,0,16,0,5,0,5
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,Tailer.TailablePath,21,38,0,0,2,8,2,5,2,5
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,14,0,0,0,5,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions,3,18,0,0,1,3,1,3,1,3
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,0,18,0,2,0,4,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream.AbstractBuilder,7,36,0,0,2,10,1,6,1,6
Apache Commons IO,org.apache.commons.io.input,BrokenReader,24,34,0,0,7,10,7,8,7,8
Apache Commons IO,org.apache.commons.io.input,Tailer.Builder,6,115,2,2,2,26,3,11,1,11
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream,54,202,1,23,11,42,4,23,3,12
Apache Commons IO,org.apache.commons.io.input,ReadAheadInputStream.Builder,9,21,2,2,2,2,3,2,1,2
Apache Commons IO,org.apache.commons.io.input,MemoryMappedFileInputStream,4,218,1,21,1,54,2,21,1,11
