GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwLocalDumpFile,31,258,1,25,4,62,3,24,2,12
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwSitesDumpFileProcessor,28,278,8,28,9,59,7,17,0,6
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,EntityTimerProcessor.TimeoutException,6,0,0,0,1,0,1,0,1,0
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,DumpProcessingController,156,390,16,35,39,107,19,32,5,20
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwRevisionImpl,89,126,4,0,7,42,5,16,3,16
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,JsonDumpFileProcessor,123,116,12,6,24,40,7,8,0,6
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,DumpProcessingController.ListenerRegistration,22,60,10,12,4,13,8,6,0,3
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwDumpFormatException,0,4,0,0,0,2,0,1,0,1
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwRevisionProcessorBroker.RevisionSubscription,24,6,0,0,2,1,1,1,1,1
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,DumpContentType,0,54,0,0,0,2,0,1,0,1
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,WikibaseRevisionProcessor,190,96,7,5,41,31,6,9,1,8
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwRevisionDumpFileProcessor,63,490,13,58,15,140,13,44,0,10
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwDumpFile.DateComparator,0,9,0,0,0,2,0,2,0,2
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,StatisticsMwRevisionProcessor,0,282,3,7,0,47,3,10,0,8
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,MwRevisionProcessorBroker,0,211,2,28,0,51,2,19,0,6
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles,EntityTimerProcessor,46,118,8,6,9,33,6,11,1,9
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,WmfOnlineStandardDumpFile,1,227,2,8,1,45,2,10,0,7
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,WmfDumpFile,58,264,5,13,6,52,5,18,1,13
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,JsonOnlineDumpFile,113,17,4,0,22,7,6,3,4,3
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,WmfLocalDumpFile,1,67,0,2,1,18,1,6,1,5
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,WmfDumpFileManager,50,426,4,40,12,93,3,28,0,9
Wikidata Toolkit Dump File Handling,org.wikidata.wdtk.dumpfiles.wmf,WmfOnlineDailyDumpFile,1,185,1,3,1,40,1,8,0,7
