GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,FormIdValueImpl.JacksonInnerEntityId,0,11,0,0,0,5,0,3,0,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SnakGroupImpl,9,103,0,10,2,22,2,14,2,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,TimeValueImpl,7,87,0,0,2,21,2,17,2,17
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SitesImpl.SiteInformation,7,169,0,4,2,32,0,6,0,4
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,TermedStatementDocumentImpl.AliasesDeserializer,8,71,0,6,2,17,0,5,0,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SenseIdValueImpl.JacksonInnerEntityId,0,11,0,0,0,5,0,3,0,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,DatatypeIdImpl,15,189,1,29,2,49,2,31,1,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,LexemeIdValueImpl,4,28,0,0,1,10,1,6,1,6
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,FormDocumentImpl,74,190,3,19,12,41,8,19,5,11
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SiteLinkImpl,3,130,1,11,1,34,2,14,1,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ClaimImpl,3,47,0,0,1,13,1,9,1,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ValueImpl,0,9,0,0,0,4,0,2,0,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,FormIdValueImpl,4,93,0,4,1,19,1,14,1,12
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,LexemeDocumentImpl,96,255,4,22,14,50,9,24,5,15
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,TimeValueImpl.JacksonInnerTime,0,188,0,0,0,47,0,16,0,16
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementImpl.StatementRankSerializer,0,9,0,0,0,3,0,2,0,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SnakImpl,0,34,0,0,0,12,0,5,0,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementDocumentImpl,0,328,1,33,0,69,1,25,0,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,TermImpl,14,34,0,0,4,10,3,5,3,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,EntityDocumentImpl.NonZeroFilter,2,13,0,4,1,1,1,3,1,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,PropertyIdValueImpl,4,28,0,0,1,10,1,6,1,6
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,GlobeCoordinatesValueImpl,7,51,0,0,2,14,2,10,2,10
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementGroupImpl,9,193,3,17,2,41,5,18,2,11
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementImpl,17,204,2,14,3,50,4,23,2,17
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SenseIdValueImpl,4,93,0,4,1,19,1,14,1,12
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,NoValueSnakImpl,7,18,0,0,2,7,2,5,2,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,EntityIdValueImpl,24,149,3,17,3,33,3,19,0,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,QuantityValueImpl,7,59,0,2,2,17,2,11,2,10
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementImpl.StatementRankDeserializer,0,8,0,0,0,2,0,2,0,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SitesImpl,0,106,0,10,0,21,0,14,0,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,EntityDocumentImpl,5,46,1,1,2,16,2,4,1,4
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,TermedStatementDocumentImpl,6,202,1,21,2,51,2,20,1,10
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,PropertyDocumentImpl,3,238,0,2,1,32,1,16,1,15
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,GlobeCoordinatesValueImpl.JacksonInnerGlobeCoordinates,0,67,0,10,0,17,0,10,0,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,MonolingualTextValueImpl.JacksonInnerMonolingualText,0,27,0,0,0,8,0,3,0,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StringValueImpl,7,26,0,0,2,8,2,5,2,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,EntityIdValueImpl.JacksonInnerEntityId,24,149,5,13,3,31,5,12,0,7
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SomeValueSnakImpl,7,18,0,0,2,7,2,5,2,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ItemDocumentImpl,8,254,1,7,2,37,2,17,1,14
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ItemIdValueImpl,4,59,0,0,1,14,1,7,1,7
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,SenseDocumentImpl,61,103,2,8,11,23,7,11,5,8
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ValueImpl.JacksonDeserializer,21,125,3,16,2,31,3,15,0,4
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ReferenceImpl,3,115,0,6,1,23,1,11,1,8
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,ValueSnakImpl,20,101,1,15,4,31,3,16,2,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,QuantityValueImpl.JacksonInnerQuantity,3,117,1,13,1,25,1,15,0,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,MonolingualTextValueImpl,3,40,0,0,1,12,1,8,1,8
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,EntityRedirectDocumentImpl,12,81,0,0,2,22,2,9,2,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,DataObjectFactoryImpl,24,227,1,1,2,37,2,29,1,29
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.implementation,StatementImpl.PreStatement,0,83,0,4,0,17,0,5,0,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,EntityDocumentProcessorBroker,62,0,6,0,16,0,8,0,5,0
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,LexemeIdValue.new LexemeIdValue() {...},7,24,0,0,2,6,2,6,2,6
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,StatementDocument,67,340,22,50,11,66,22,45,4,27
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,ItemIdValue,0,5,0,0,0,1,0,1,0,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,ItemIdValue.new ItemIdValue() {...},0,31,0,0,0,8,0,8,0,8
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,LexemeIdValue,0,5,0,0,0,1,0,1,0,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,TermedDocument,0,26,0,4,0,4,0,4,0,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,EntityDocumentProcessorFilter,39,0,0,0,10,0,4,0,4,0
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,DocumentDataFilter,0,102,0,24,0,22,0,25,0,13
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,PropertyIdValue.new PropertyIdValue() {...},0,31,0,0,0,8,0,8,0,8
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,StatementRank,0,34,0,0,0,2,0,1,0,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,WikimediaLanguageCodes,3,2398,0,4,1,480,1,5,1,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,EntityDocumentProcessor,3,0,0,0,3,0,3,0,3,0
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.interfaces,PropertyIdValue,0,5,0,0,0,1,0,1,0,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,Hash,3,522,2,2,1,91,3,23,1,23
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,DatamodelConverter,267,424,9,35,56,95,28,45,21,30
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,DatamodelMapper,0,14,0,0,0,5,0,1,0,1
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,ReferenceBuilder,0,103,0,4,0,26,0,11,0,9
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,Datamodel,18,272,0,0,4,41,3,40,3,40
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,JsonSerializer,33,104,0,2,9,35,2,12,2,11
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,AbstractDataObjectBuilder,0,23,0,2,0,7,0,4,0,3
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,DatamodelFilter,0,343,0,30,0,85,0,27,0,12
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,Equality,7,861,7,269,2,203,8,155,1,24
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,DataFormatter,6,111,2,2,2,20,3,2,1,2
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,ToString,1180,50,87,0,222,5,78,5,27,5
Wikidata Toolkit Data Model,org.wikidata.wdtk.datamodel.helpers,StatementBuilder,0,245,0,10,0,59,0,25,0,20
