GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.util,SensitiveInfoUtils,16,0,0,0,3,0,1,0,1,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.util,SensitiveInfoUtils.new Function() {...},59,0,4,0,12,0,4,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.executor.handler.impl,DefaultExecutorServiceHandler,20,0,0,0,2,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.executor.handler.impl,DefaultJobExceptionHandler,19,0,0,0,4,0,3,0,3,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobExecutionEventThrowable,33,0,0,0,5,0,5,0,5,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobStatusTraceEvent.Source,34,0,0,0,2,0,1,0,1,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobExecutionEvent.ExecutionSource,34,0,0,0,2,0,1,0,1,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobStatusTraceEvent.State,124,0,0,0,2,0,1,0,1,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobExecutionEvent,207,0,2,0,24,0,19,0,18,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.event.type,JobStatusTraceEvent,124,0,0,0,14,0,14,0,14,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.statistics,StatisticInterval,48,0,0,0,6,0,3,0,3,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.reg.exception,RegException,10,0,0,0,4,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.reg.exception,RegExceptionHandler,50,0,16,0,10,0,11,0,3,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,MonitorExecutionListenerManager,25,0,0,0,6,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ExecutionContextService,186,0,12,0,31,0,12,0,6,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,MonitorExecutionListenerManager.MonitorExecutionSettingsChangedJobListener,24,0,6,0,4,0,5,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingListenerManager,46,0,0,0,10,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingListenerManager.ShardingTotalCountChangedJobListener,43,0,6,0,7,0,5,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingService,323,0,34,0,64,0,28,0,11,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingNode,87,0,6,0,11,0,10,0,7,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingListenerManager.ListenServersChangedJobListener,45,0,10,0,6,0,9,0,4,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ExecutionService,284,0,34,0,63,0,30,0,13,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.sharding,ShardingService.PersistShardingInfoTransactionExecutionCallback,76,0,4,0,9,0,4,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.util.concurrent,BlockUtils,10,0,0,0,7,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.util.concurrent,ExecutorServiceObject,52,0,0,0,10,0,5,0,5,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.util.json,AbstractJobConfigurationGsonTypeAdapter,399,0,33,0,96,0,30,0,6,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.util.json,GsonFactory,19,0,0,0,6,0,3,0,3,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.election,ElectionListenerManager,47,0,0,0,10,0,2,0,2,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.election,ElectionListenerManager.LeaderElectionJobListener,89,0,22,0,8,0,17,0,6,0
elastic-job-lite-lifecycle/elastic-job-lite-core,io.elasticjob.lite.internal.election,LeaderNode,16,0,0,0,4,0,2,0,2,0
