GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
redpipe-service-discovery,net.redpipe.discovery,DiscoveryRecordInjector,2,43,1,3,1,6,1,4,0,3
redpipe-service-discovery,net.redpipe.discovery,DiscoveryPlugin,10,161,5,11,1,30,5,6,0,3
redpipe-service-discovery,net.redpipe.discovery,DiscoveryWebClientInjector,2,53,1,3,1,7,1,5,0,4
redpipe-engine,net.redpipe.engine.spi,Plugin,18,0,0,0,9,0,8,0,8,0
redpipe-engine,net.redpipe.engine.util,RedpipeUtil,5,0,0,0,2,0,2,0,2,0
redpipe-engine,net.redpipe.engine.mail,MockMailer,168,0,16,0,28,0,16,0,8,0
redpipe-engine,net.redpipe.engine.mail,MockMailer.SentMail,12,0,0,0,5,0,1,0,1,0
redpipe-engine,net.redpipe.engine.mail,Mail,162,0,14,0,42,0,22,0,15,0
redpipe-engine,net.redpipe.engine.mail,ProdMailer,153,0,8,0,28,0,9,0,5,0
redpipe-engine,net.redpipe.engine.template,AbstractTemplate.TemplateVariants,39,0,2,0,9,0,4,0,3,0
redpipe-engine,net.redpipe.engine.template,Template,118,0,10,0,32,0,15,0,10,0
redpipe-engine,net.redpipe.engine.template,TemplateResponseFilter,50,8,3,1,16,3,4,2,2,2
redpipe-engine,net.redpipe.engine.template,AbstractTemplate,288,0,28,0,64,0,26,0,12,0
redpipe-engine,net.redpipe.engine.core,MyBeanConfig,39,216,12,18,10,39,10,8,0,3
redpipe-engine,net.redpipe.engine.core,AppGlobals,70,123,8,2,17,39,12,20,8,19
redpipe-engine,net.redpipe.engine.core,Server.new ServletConfig() {...},6,17,0,0,2,3,2,3,2,3
redpipe-engine,net.redpipe.engine.core,Mode,0,24,0,0,0,2,0,1,0,1
redpipe-engine,net.redpipe.engine.core,Server,206,720,18,34,42,179,30,49,14,39
redpipe-engine,net.redpipe.engine.security,VertxPermissionAnnotationHandler,11,52,4,6,2,8,4,4,0,3
redpipe-engine,net.redpipe.engine.security,AuthorizationException,4,0,0,0,2,0,1,0,1,0
redpipe-engine,net.redpipe.engine.security,AuthorizationExceptionMapper,9,3,0,0,1,1,1,1,1,1
redpipe-engine,net.redpipe.engine.security,AuthenticationExceptionMapper,0,12,0,0,0,2,0,2,0,2
redpipe-engine,net.redpipe.engine.security,AuthorizationFilterFeature,12,88,5,13,2,19,5,7,0,3
redpipe-engine,net.redpipe.engine.security,LoginRedirectFilter,43,0,2,0,10,0,3,0,2,0
redpipe-engine,net.redpipe.engine.security,AuthorizingAnnotationHandler,0,10,0,0,0,3,0,2,0,2
redpipe-engine,net.redpipe.engine.security,BaseSecurityResource,103,0,14,0,22,0,12,0,5,0
