GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,AbstractMultiSourceExtracter,143,0,20,0,32,0,12,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,StringSourceExtracter,51,0,10,0,14,0,7,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,StringMergingMultiSourceExtracter,53,0,4,0,12,0,6,0,4,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,StringMergingMultiSourceExtracter.Builder,31,0,0,0,7,0,3,0,3,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,NonMergingMultiSourceExtracter.Builder,31,0,0,0,7,0,3,0,3,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,NonMergingMultiSourceExtracter,22,0,0,0,5,0,4,0,4,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.source,AbstractMultiSourceExtracter.ConstituentExtracter,9,0,0,0,4,0,1,0,1,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.extern,PriorityQueue,333,0,36,0,74,0,31,0,13,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,ConstantTermWeigher,13,0,0,0,6,0,3,0,3,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,NoSourceTermSourceFinder,5,0,0,0,2,0,2,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,ConstantHitWeigher,15,0,0,0,5,0,3,0,3,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,SourceExtractingHitWeigher,18,0,0,0,5,0,2,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,CachingTermWeigher,42,0,2,0,12,0,4,0,3,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,MultiplyingTermWeigher,27,0,2,0,8,0,3,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,CachingTermWeigher.MapCache,37,0,4,0,11,0,6,0,4,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit.weight,ExactMatchTermWeigher,23,0,2,0,8,0,3,0,2,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit,MergingHitEnum.HitEnumPriorityQueue.new Iterator() {...},44,0,4,0,6,0,6,0,4,0
Core algorithms and interfaces for the experimental highlighter,org.wikimedia.search.highlighter.experimental.hit,PositionBoostingHitEnumWrapper,86,0,8,0,14,0,9,0,5,0
