GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wikidata Toolkit Testing Utilities,org.wikidata.wdtk.testing,MockStringContentFactory,22,154,1,8,4,38,2,11,1,7
Wikidata Toolkit Testing Utilities,org.wikidata.wdtk.testing,MockWebResourceFetcher,0,80,0,4,0,23,0,10,0,8
Wikidata Toolkit Testing Utilities,org.wikidata.wdtk.testing,MockDirectoryManager,26,341,0,32,5,81,3,34,3,18
Wikidata Toolkit Testing Utilities,org.wikidata.wdtk.testing,MockOutputStream,0,16,0,0,0,6,0,2,0,2
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,DirectoryManagerFactory,12,56,1,1,3,11,2,4,1,4
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,CompressionType,0,34,0,0,0,2,0,1,0,1
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,Timer,18,687,4,66,2,154,4,61,0,30
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,DirectoryManagerImpl,220,113,12,8,40,23,12,13,4,10
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,WebResourceFetcherImpl,31,28,3,1,9,10,5,6,3,6
Wikidata Toolkit Utilities,org.wikidata.wdtk.util,NestedIterator,0,69,0,16,0,18,0,13,0,5
