GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-guava,com.pholser.junit.quickcheck.guava.generator,OptionalGenerator,81,0,4,0,22,0,7,0,5,0
junit-quickcheck-guava,com.pholser.junit.quickcheck.guava.generator,SupplierGenerator,16,0,0,0,4,0,3,0,3,0
junit-quickcheck-guava,com.pholser.junit.quickcheck.guava.generator,FunctionGenerator,16,0,0,0,4,0,3,0,3,0
junit-quickcheck-guava,com.pholser.junit.quickcheck.guava.generator,PredicateGenerator,17,0,0,0,4,0,3,0,3,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.money,DollarsAndCents,0,12,0,0,0,4,0,2,0,2
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeDeepestLeafVisitor,0,63,0,2,0,12,0,5,0,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeDepthVisitor,0,30,0,0,0,6,0,4,0,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeStructureVisitor,103,0,0,0,19,0,7,0,7,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.counter,Counter,0,22,0,0,0,7,0,4,0,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Point,74,56,13,3,6,11,10,4,3,3
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Segment,55,63,12,8,5,15,9,4,1,2
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Polygon,30,226,2,20,4,36,3,13,1,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Point.Orientation,0,34,0,0,0,4,0,1,0,1
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.crypto,SymmetricCrypto.EncryptionResult,0,9,0,0,0,4,0,1,0,1
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.crypto,SymmetricCrypto,6,61,0,0,2,14,0,4,0,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.dummy,A,34,0,0,0,7,0,3,0,3,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.dummy,B,25,0,0,0,5,0,2,0,2,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Leaf,11,13,0,0,3,5,1,3,1,3
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Node,11,19,0,0,3,7,1,4,1,4
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Empty,11,7,0,0,3,2,1,2,1,2
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.func,Either,66,38,6,0,8,8,8,5,5,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,StringConversions,23,85,3,7,4,18,4,8,1,6
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,MethodInvokingStringConversion,4,17,0,0,2,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,ConstructorInvokingStringConversion,4,16,0,0,2,4,0,2,0,2
junit-quickcheck-core,com.pholser.junit.quickcheck.random,SourceOfRandomness,18,334,0,10,6,74,0,32,0,27
junit-quickcheck-core,org.junit.runners.model,JUnitQuickcheckTestClass,1,119,1,11,0,29,1,14,0,9
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,ExhaustiveParameterSampler,0,210,0,16,0,49,0,16,0,8
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,TupleParameterSampler,0,97,0,4,0,28,0,7,0,5
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory,0,25,0,2,0,5,0,5,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigIntegerHalvingIterator,0,49,0,4,0,13,0,6,0,4
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterSampler,4,0,0,0,1,0,1,0,1,0
