GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dnsjava,default,jnamed.new Runnable() {...},20,0,0,0,2,0,2,0,2,0
dnsjava,default,jnamed.new Runnable() {...},20,0,0,0,2,0,2,0,2,0
dnsjava,default,jnamed.new Runnable() {...},15,0,0,0,2,0,2,0,2,0
dnsjava,default,jnamed,1495,0,182,0,390,0,118,0,27,0
dnsjava,default,dig,412,0,57,0,116,0,38,0,6,0
dnsjava,default,update,1548,0,242,0,396,0,137,0,16,0
dnsjava,default,lookup,137,0,20,0,31,0,13,0,3,0
dnsjava,org.xbill.DNS.utils,base32,489,12,48,0,82,5,32,1,4,1
dnsjava,org.xbill.DNS.utils,base16,1,127,1,9,1,24,1,6,0,2
dnsjava,org.xbill.DNS.utils,base64,1,439,1,41,1,65,1,23,0,3
dnsjava,org.xbill.DNS.utils,hexdump,0,133,0,10,0,23,0,9,0,4
dnsjava,org.xbill.DNS,MGRecord,0,19,0,0,0,5,0,4,0,4
dnsjava,org.xbill.DNS,TSIG,464,432,56,22,121,112,51,9,12,9
dnsjava,org.xbill.DNS,MXRecord,0,38,0,0,0,10,0,7,0,7
dnsjava,org.xbill.DNS,UDPClient,55,185,16,10,17,51,13,9,1,8
dnsjava,org.xbill.DNS,PXRecord,114,3,0,0,28,1,9,1,9,1
dnsjava,org.xbill.DNS,Cache.CacheMap,9,22,2,2,3,5,4,2,2,2
dnsjava,org.xbill.DNS,KXRecord,0,27,0,0,0,7,0,6,0,6
dnsjava,org.xbill.DNS,CNAMERecord,0,22,0,0,0,6,0,5,0,5
dnsjava,org.xbill.DNS,NSAPRecord,145,3,16,0,38,1,16,1,8,1
dnsjava,org.xbill.DNS,Zone,915,0,128,0,229,0,92,0,28,0
dnsjava,org.xbill.DNS,Tokenizer.TokenizerException,3,20,0,0,1,3,1,1,1,1
dnsjava,org.xbill.DNS,ExtendedResolver,255,58,21,3,51,16,28,4,17,3
dnsjava,org.xbill.DNS,MDRecord,0,22,0,0,0,6,0,5,0,5
dnsjava,org.xbill.DNS,LOCRecord,758,18,64,0,141,6,51,2,19,2
dnsjava,org.xbill.DNS,ResolveThread,36,0,0,0,12,0,2,0,2,0
