GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rxjava2-extras,com.github.davidmoten.rx2.observable,Transformers,0,2,0,0,0,1,0,1,0,1
rxjava2-extras,com.github.davidmoten.rx2.observable,CachedObservable,0,23,0,0,0,9,0,4,0,4
rxjava2-extras,com.github.davidmoten.rx2.observable,CloseableObservableWithReset,4,19,0,0,2,8,1,3,1,3
rxjava2-extras,com.github.davidmoten.util,RingBuffer,149,109,13,9,37,24,23,11,15,8
rxjava2-extras,com.github.davidmoten.util,RingBuffer.new Iterator() {...},45,0,2,0,6,0,4,0,3,0
rxjava2-extras,com.github.davidmoten.rx2.internal.observable,OnSubscribeCacheResetable,0,36,0,2,0,11,0,4,0,3
rxjava2-extras,com.github.davidmoten.rx2.util,ZippedEntry,0,65,0,0,0,20,0,10,0,10
rxjava2-extras,com.github.davidmoten.rx2.util,Pair,0,147,0,22,0,41,0,22,0,11
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options,1,39,1,1,0,13,1,6,0,6
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Serializers.WrappedDataSerializer,0,58,0,2,0,16,0,4,0,3
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Serializers,0,25,0,0,0,6,0,6,0,6
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderFlowable.new FlowableTransformer() {...},0,22,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,SerializerString,0,18,0,0,0,5,0,3,0,3
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderObservable,14,47,0,0,4,13,3,6,3,6
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderFlowable,0,61,0,0,0,17,0,9,0,9
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.BuilderObservable.new Function() {...},0,22,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.FileFactoryHolder.new Callable() {...},6,7,0,0,2,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.buffertofile,Options.FileFactoryHolder,3,5,0,0,1,1,1,1,1,1
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},3,54,1,5,0,6,1,4,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new Function() {...},0,10,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new Function() {...},0,28,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,27,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.ListFactoryHolder.new BiFunction() {...},0,9,0,0,0,3,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.ListFactoryHolder.new Callable() {...},0,7,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,26,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,13,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,13,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,19,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,19,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,28,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,18,0,0,0,3,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,13,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.new FlowableTransformer() {...},0,13,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.CollectStatsHolder.new FlowableTransformer() {...},0,8,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.4.new BiFunction() {...},0,19,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized,6,70,0,0,1,14,1,8,1,8
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.ObjectInputStreamFlowableFactoryHolder,0,5,0,0,0,1,0,1,0,1
rxjava2-extras,com.github.davidmoten.rx2.flowable,Burst,10,47,2,4,2,12,2,5,0,4
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.KryoBuilder.2.new Consumer() {...},0,18,0,0,0,3,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.new Callable() {...},0,28,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.new Function() {...},0,11,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.new Callable() {...},0,23,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.new Consumer() {...},0,11,0,0,0,3,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.new Consumer() {...},9,20,0,0,4,7,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Serialized.ObjectInputStreamFlowableFactoryHolder.new Function() {...},0,6,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,CachedFlowable,0,23,0,0,0,9,0,4,0,4
rxjava2-extras,com.github.davidmoten.rx2.flowable,CloseableFlowableWithReset,4,19,0,0,2,8,1,3,1,3
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.NaturalComparatorHolder.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.12.1.new Function() {...},0,50,0,8,0,11,0,6,0,2
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.ReverseHolder,0,5,0,0,0,1,0,1,0,1
rxjava2-extras,com.github.davidmoten.rx2.flowable,Transformers.CollectStatsHolder,0,5,0,0,0,1,0,1,0,1
