GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.money,DollarsAndCents,12,0,0,0,4,0,2,0,2,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeDeepestLeafVisitor,63,0,2,0,12,0,5,0,4,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeDepthVisitor,30,0,0,0,6,0,4,0,4,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree.visitor,TreeStructureVisitor,103,0,0,0,19,0,7,0,7,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.counter,Counter,22,0,0,0,7,0,4,0,4,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Point,130,0,16,0,17,0,14,0,6,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Segment,118,0,20,0,20,0,13,0,3,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Polygon,256,0,22,0,40,0,16,0,5,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.geom,Point.Orientation,34,0,0,0,4,0,1,0,1,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.crypto,SymmetricCrypto.EncryptionResult,9,0,0,0,4,0,1,0,1,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.crypto,SymmetricCrypto,67,0,0,0,16,0,4,0,4,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.dummy,A,34,0,0,0,7,0,3,0,3,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.dummy,B,25,0,0,0,5,0,2,0,2,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Leaf,24,0,0,0,8,0,4,0,4,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Node,30,0,0,0,10,0,5,0,5,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.tree,Empty,18,0,0,0,5,0,3,0,3,0
junit-quickcheck-examples,com.pholser.junit.quickcheck.examples.func,Either,104,0,6,0,16,0,13,0,10,0
