GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard Validation Support,io.dropwizard.validation.selfvalidating,ViolationCollector,0,29,0,0,0,12,0,5,0,5
Dropwizard Validation Support,io.dropwizard.validation.selfvalidating,SelfValidatingValidator,1,163,2,14,0,35,2,14,0,8
Dropwizard Validation Support,io.dropwizard.validation.selfvalidating,ValidationCaller,0,10,0,0,0,4,0,3,0,3
Dropwizard Validation Support,io.dropwizard.validation.selfvalidating,SelfValidatingValidator.ProxyValidationCaller,20,35,0,0,2,9,0,2,0,2
Dropwizard Validation Support,io.dropwizard.validation.valuehandling,GuavaOptionalValidatedValueUnwrapper,0,26,0,0,0,5,0,3,0,3
Dropwizard Validation Support,io.dropwizard.validation.valuehandling,OptionalLongValidatedValueUnwrapper,0,14,0,2,0,3,0,4,0,3
Dropwizard Validation Support,io.dropwizard.validation.valuehandling,OptionalIntValidatedValueUnwrapper,0,14,0,2,0,3,0,4,0,3
Dropwizard Validation Support,io.dropwizard.validation.valuehandling,OptionalDoubleValidatedValueUnwrapper,0,14,0,2,0,3,0,4,0,3
Dropwizard Validation Support,io.dropwizard.validation,PortRangeValidator,0,29,0,6,0,5,0,6,0,3
Dropwizard Validation Support,io.dropwizard.validation,BaseValidator,0,25,0,0,0,8,0,2,0,2
Dropwizard Validation Support,io.dropwizard.validation,MaxDurationValidator,2,55,1,7,1,14,1,6,0,3
Dropwizard Validation Support,io.dropwizard.validation,MaxSizeValidator,0,33,1,3,0,7,1,4,0,3
Dropwizard Validation Support,io.dropwizard.validation,MinSizeValidator,0,33,1,3,0,7,1,4,0,3
Dropwizard Validation Support,io.dropwizard.validation,ConstraintViolations,27,45,2,4,6,8,3,4,2,2
Dropwizard Validation Support,io.dropwizard.validation,OneOfValidator,5,81,3,11,1,16,3,7,0,3
Dropwizard Validation Support,io.dropwizard.validation,MinDurationValidator,2,55,1,7,1,14,1,6,0,3
Dropwizard Validation Support,io.dropwizard.validation,MethodValidator,0,13,1,3,0,3,1,4,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineSpecSerializer,0,5,0,0,0,2,0,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule.PermissiveEnumDeserializer,0,69,0,4,0,11,0,5,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineDeserializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule.PermissiveEnumDeserializers,2,77,2,12,0,15,2,6,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,FuzzyEnumModule,0,14,0,0,0,5,0,4,0,4
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule.CaffeineSpecDeserializer,3,14,2,2,1,3,2,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,SafeDurationDeserializer,0,40,1,5,0,9,1,5,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,AnnotationSensitivePropertyNamingStrategy,32,48,4,4,5,10,4,5,1,4
Dropwizard Jackson Support,io.dropwizard.jackson,SafeInstantDeserializer,0,43,1,3,0,7,1,4,0,3
Dropwizard Jackson Support,io.dropwizard.jackson,Jackson,12,89,0,0,3,17,1,3,1,3
Dropwizard Jackson Support,io.dropwizard.jackson,CaffeineModule,0,22,0,0,0,6,0,4,0,4
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.CacheBuilderSpecSerializer,0,5,0,0,0,2,0,1,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.GuavaExtrasSerializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule.GuavaExtrasDeserializers,0,16,0,2,0,3,0,2,0,1
Dropwizard Jackson Support,io.dropwizard.jackson,GuavaExtrasModule,0,20,0,0,0,6,0,4,0,4
