GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard Logging Support,io.dropwizard.logging.layout,DropwizardLayoutFactory,0,9,0,0,0,2,0,2,0,2
Dropwizard Logging Support,ch.qos.logback.core.recovery,ResilentSocketOutputStream,0,88,0,0,0,17,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,DefaultLoggingFactory,62,431,6,22,12,112,6,27,0,19
Dropwizard Logging Support,io.dropwizard.logging,SyslogAppenderFactory.Facility,0,244,0,0,0,25,0,1,0,1
Dropwizard Logging Support,io.dropwizard.logging,SyslogAppenderFactory,30,131,4,4,9,36,12,6,8,6
Dropwizard Logging Support,io.dropwizard.logging,LoggingUtil,23,34,3,3,7,15,2,4,0,3
Dropwizard Logging Support,io.dropwizard.logging,TlsSocketAppenderFactory.new SocketFactory() {...},17,13,0,0,5,2,5,2,5,2
Dropwizard Logging Support,io.dropwizard.logging,PrefixedThrowableProxyConverter,0,16,0,0,0,3,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,FileAppenderFactory,9,326,1,41,3,84,4,41,3,21
Dropwizard Logging Support,io.dropwizard.logging,LoggerConfiguration,0,36,0,0,0,14,0,7,0,7
Dropwizard Logging Support,io.dropwizard.logging,BootstrapLogging,0,75,0,2,0,28,0,5,0,4
Dropwizard Logging Support,io.dropwizard.logging,AbstractOutputStreamAppenderFactory,0,43,0,0,0,9,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,UdpSocketAppenderFactory,6,33,0,0,2,11,2,4,2,4
Dropwizard Logging Support,io.dropwizard.logging,PrefixedRootCauseFirstThrowableProxyConverter,0,32,0,0,0,4,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,ConsoleAppenderFactory.ConsoleStream,0,37,0,0,0,7,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,PrefixedExtendedThrowableProxyConverter,0,9,1,1,0,4,1,2,0,2
Dropwizard Logging Support,io.dropwizard.logging,ConsoleAppenderFactory,7,23,0,0,3,7,2,2,2,2
Dropwizard Logging Support,io.dropwizard.logging,ThrottlingAppenderWrapper,82,30,0,2,29,10,17,5,17,4
Dropwizard Logging Support,io.dropwizard.logging,ExternalLoggingFactory,3,3,0,0,3,1,3,1,3,1
Dropwizard Logging Support,io.dropwizard.logging,DropwizardLayout,0,43,0,0,0,8,0,1,0,1
Dropwizard Logging Support,io.dropwizard.logging,TcpSocketAppenderFactory,0,87,0,0,0,30,0,13,0,13
Dropwizard Logging Support,io.dropwizard.logging,AbstractAppenderFactory,43,158,3,7,15,49,12,17,10,14
Dropwizard Logging Support,io.dropwizard.logging,TlsSocketAppenderFactory,59,189,11,11,11,71,11,33,0,33
Dropwizard Logging Support,io.dropwizard.logging.async,AsyncLoggingEventAppenderFactory,0,7,0,0,0,2,0,2,0,2
Dropwizard Logging Support,io.dropwizard.logging.filter,NullLevelFilterFactory.new Filter() {...},2,6,0,0,1,1,1,1,1,1
Dropwizard Logging Support,io.dropwizard.logging.filter,NullLevelFilterFactory,0,8,0,0,0,2,0,2,0,2
Dropwizard Logging Support,io.dropwizard.logging.filter,ThresholdLevelFilterFactory,0,15,0,0,0,5,0,2,0,2
Dropwizard Logging Support,io.dropwizard.logging.socket,DropwizardSocketAppender,0,45,0,0,0,13,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging.socket,DropwizardUdpSocketAppender,7,33,0,0,2,10,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging.socket,DropwizardUdpSocketAppender.new OutputStream() {...},5,34,0,0,1,5,1,3,1,3
