GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,StringConversions,108,0,10,0,22,0,12,0,7,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,MethodInvokingStringConversion,21,0,0,0,6,0,2,0,2,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.conversion,ConstructorInvokingStringConversion,20,0,0,0,6,0,2,0,2,0
junit-quickcheck-core,com.pholser.junit.quickcheck.random,SourceOfRandomness,352,0,10,0,80,0,32,0,27,0
junit-quickcheck-core,org.junit.runners.model,JUnitQuickcheckTestClass,120,0,12,0,29,0,15,0,9,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,ExhaustiveParameterSampler,210,0,16,0,49,0,16,0,8,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal.sampling,TupleParameterSampler,97,0,4,0,28,0,7,0,5,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory,25,0,2,0,5,0,5,0,4,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.BigIntegerHalvingIterator,49,0,4,0,13,0,6,0,4,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,ParameterSampler,4,0,0,0,1,0,1,0,1,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedArrayType,22,0,0,0,8,0,6,0,6,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Sequences.IntegerHalvingIterator,43,0,6,0,11,0,7,0,4,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,FakeAnnotatedTypeFactory.FakeAnnotatedType,17,0,0,0,7,0,5,0,5,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,Weighted,23,0,2,0,6,0,2,0,1,0
junit-quickcheck-core,com.pholser.junit.quickcheck.internal,CartesianIterator.Buffer,64,0,8,0,10,0,8,0,4,0
