GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unix4j-base,org.unix4j.builder,GenericCommandBuilder,110,0,10,0,13,0,9,0,4,0
unix4j-base,org.unix4j.builder,GenericCommandBuilder.MethodSignature,145,0,12,0,30,0,13,0,7,0
unix4j-base,org.unix4j.builder,GenericCommandBuilder.GenericCommandHandler,192,0,18,0,31,0,11,0,2,0
unix4j-base,org.unix4j.builder,DefaultCommandBuilder.new Output() {...},18,0,0,0,4,0,3,0,3,0
unix4j-base,org.unix4j.builder,DefaultCommandBuilder,142,0,2,0,44,0,20,0,19,0
unix4j-base,org.unix4j.operation,AdHocCommand.Args,28,0,2,0,8,0,5,0,4,0
unix4j-base,org.unix4j.operation,AdHocCommand.new LineProcessor() {...},44,0,0,0,7,0,3,0,3,0
unix4j-base,org.unix4j.operation,AdHocCommand,15,0,0,0,3,0,2,0,2,0
unix4j-base,org.unix4j.operation,AdHocCommand.OperationOutput,36,0,2,0,14,0,6,0,5,0
unix4j-base,org.unix4j.context,DerivedExecutionContext,200,0,24,0,64,0,38,0,26,0
unix4j-base,org.unix4j.context,DefaultExecutionContext.new ExecutionContextFactory() {...},7,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.context,DefaultExecutionContext,153,0,14,0,43,0,24,0,17,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable,95,0,4,0,14,0,6,0,4,0
unix4j-base,org.unix4j.variable,MapVariableResolver,39,0,2,0,11,0,7,0,6,0
unix4j-base,org.unix4j.variable,Arg,103,0,8,0,26,0,11,0,7,0
unix4j-base,org.unix4j.variable,SimpleVariableResolver,30,0,2,0,7,0,5,0,4,0
unix4j-base,org.unix4j.variable,DefaultVariableContext,89,0,8,0,20,0,10,0,6,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver,49,0,4,0,11,0,5,0,3,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable.new ExecutionContextVariableResolver.Variable() {...},10,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable.new ExecutionContextVariableResolver.Variable() {...},10,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable.new ExecutionContextVariableResolver.Variable() {...},10,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable.new ExecutionContextVariableResolver.Variable() {...},10,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.variable,ExecutionContextVariableResolver.Variable.new ExecutionContextVariableResolver.Variable() {...},10,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.command,NoOp.Args,5,0,0,0,2,0,2,0,2,0
unix4j-base,org.unix4j.command,NoOp,16,0,0,0,5,0,4,0,4,0
unix4j-base,org.unix4j.command,AbstractCommand,49,0,4,0,9,0,7,0,5,0
unix4j-base,org.unix4j.command,ExitValueException,70,0,8,0,17,0,10,0,6,0
unix4j-base,org.unix4j.command,JoinedCommand,86,0,4,0,16,0,11,0,9,0
unix4j-base,org.unix4j.convert,PatternConverters,10,0,0,0,3,0,2,0,2,0
unix4j-base,org.unix4j.convert,OptionSetConverters.OptionSetConverter,31,0,0,0,5,0,1,0,1,0
unix4j-base,org.unix4j.convert,EnumConverters.StringToEnumConverter,21,0,2,0,9,0,3,0,2,0
unix4j-base,org.unix4j.convert,LongConverters.new ValueConverter() {...},15,0,2,0,6,0,3,0,2,0
unix4j-base,org.unix4j.convert,OptionSetConverters.OptionNameStringToSingletonSetConverter,33,0,4,0,13,0,4,0,2,0
unix4j-base,org.unix4j.convert,OptionSetConverters.OptionToSingletonSetConverter,22,0,2,0,7,0,3,0,2,0
unix4j-base,org.unix4j.convert,CompositeValueConverter,56,0,4,0,16,0,7,0,5,0
unix4j-base,org.unix4j.convert,CharacterConverters.new ValueConverter() {...},14,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,PatternConverters.new ValueConverter() {...},12,0,2,0,5,0,3,0,2,0
unix4j-base,org.unix4j.convert,StringConverters.new ValueConverter() {...},10,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,FileArrayConverters.new ValueConverter() {...},38,0,4,0,10,0,4,0,2,0
unix4j-base,org.unix4j.convert,FileArrayConverters.new ValueConverter() {...},17,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,DefaultConverterRegistry,112,0,4,0,32,0,7,0,5,0
unix4j-base,org.unix4j.convert,CharacterConverters.new ValueConverter() {...},18,0,4,0,6,0,4,0,2,0
unix4j-base,org.unix4j.convert,FileArrayConverters.new ValueConverter() {...},12,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,FileConverters,24,0,0,0,5,0,2,0,2,0
unix4j-base,org.unix4j.convert,FileArrayConverters,60,0,0,0,10,0,2,0,2,0
unix4j-base,org.unix4j.convert,RangeConverters.new ValueConverter() {...},204,0,30,0,37,0,18,0,3,0
unix4j-base,org.unix4j.convert,FileConverters.new ValueConverter() {...},15,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,FileConverters.new ValueConverter() {...},13,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,ListConverters.new ValueConverter() {...},13,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,ListConverters.new ValueConverter() {...},20,0,4,0,6,0,4,0,2,0
unix4j-base,org.unix4j.convert,ListConverters.new ValueConverter() {...},10,0,2,0,4,0,3,0,2,0
unix4j-base,org.unix4j.convert,ListConverters.new ValueConverter() {...},36,0,6,0,9,0,5,0,2,0
unix4j-base,org.unix4j.convert,ListConverters.new ValueConverter() {...},45,0,6,0,12,0,5,0,2,0
