GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unix4j-command,org.unix4j.unix.sed,SubstituteProcessor,377,0,54,0,71,0,33,0,6,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iaglnp,2626,0,26,0,87,0,21,0,8,0
unix4j-command,org.unix4j.unix.sed,CharMap,85,0,10,0,19,0,9,0,4,0
unix4j-command,org.unix4j.unix.sed,SedOptionSets,74,0,0,0,24,0,2,0,2,0
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Iacdgilnpsy,2994,0,24,0,97,0,21,0,9,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,SedFactory,108,0,0,0,27,0,8,0,8,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,Command.new Command() {...},25,0,0,0,4,0,4,0,4,0
unix4j-command,org.unix4j.unix.sed,SedOptionSet_Igilnp,2626,0,26,0,87,0,21,0,8,0
unix4j-command,org.unix4j.unix.sed,SedOptions,9,0,0,0,2,0,1,0,1,0
unix4j-command,org.unix4j.unix.sed,Command,250,0,26,0,43,0,18,0,5,0
unix4j-command,org.unix4j.unix.sed,PrintProcessor,86,0,10,0,18,0,9,0,4,0
unix4j-command,org.unix4j.unix.sed,AbstractTextProcessor,204,0,14,0,36,0,12,0,5,0
