GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dropwizard,io.dropwizard.cli,Cli.SafeHelpAction,0,18,0,0,0,7,0,4,0,4
Dropwizard,io.dropwizard.cli,ConfiguredCommand,0,106,0,8,0,33,0,12,0,8
Dropwizard,io.dropwizard.cli,Cli,0,307,0,10,0,58,0,14,0,9
Dropwizard,io.dropwizard.cli,ServerCommand.LifeCycleListener,0,10,0,0,0,3,0,2,0,2
Dropwizard,io.dropwizard.cli,CheckCommand,0,26,0,0,0,9,0,5,0,5
Dropwizard,io.dropwizard.cli,EnvironmentCommand,0,52,0,0,0,16,0,2,0,2
Dropwizard,io.dropwizard.cli,Command,0,20,0,0,0,8,0,4,0,4
Dropwizard,io.dropwizard.cli,ServerCommand,8,56,0,0,4,20,0,5,0,5
Dropwizard,io.dropwizard.validation,GetResourceContextFeature,13,0,0,0,5,0,2,0,2,0
Dropwizard,io.dropwizard.validation,InjectValidatorBundle,25,15,3,1,9,7,4,2,2,2
Dropwizard,io.dropwizard,Configuration,22,42,0,2,1,14,1,8,1,7
Dropwizard,io.dropwizard,Bundle,1,4,0,0,1,2,1,1,1,1
Dropwizard,io.dropwizard,Application,3,66,0,2,2,20,1,9,1,8
Dropwizard,io.dropwizard,ConfiguredBundle,2,0,0,0,2,0,2,0,2,0
Dropwizard,io.dropwizard.sslreload,SslReloadTask,49,0,4,0,14,0,6,0,4,0
Dropwizard,io.dropwizard.sslreload,SslReloadBundle,31,0,0,0,7,0,4,0,4,0
Dropwizard,io.dropwizard.sslreload,SslReloadBundle.new AbstractLifeCycle.AbstractLifeCycleListener() {...},43,0,0,0,7,0,2,0,2,0
Dropwizard,io.dropwizard.setup,ExceptionMapperBinder,0,61,0,0,0,12,0,3,0,3
Dropwizard,io.dropwizard.setup,Bootstrap,11,203,1,3,5,54,3,21,2,20
Dropwizard,io.dropwizard.setup,ExceptionMapperBinder.new LoggingExceptionMapper() {...},0,6,0,0,0,1,0,1,0,1
Dropwizard,io.dropwizard.setup,AdminEnvironment,0,145,1,5,0,25,1,8,0,6
Dropwizard,io.dropwizard.setup,Environment,21,163,0,0,7,44,4,13,4,13
Dropwizard,io.dropwizard.setup,AdminEnvironment.new AbstractLifeCycle.AbstractLifeCycleListener() {...},0,13,0,0,0,4,0,2,0,2
Dropwizard,io.dropwizard.server,AbstractServerFactory,105,521,20,22,24,153,18,58,0,55
Dropwizard,io.dropwizard.server,DefaultServerFactory,41,291,1,9,1,79,2,23,1,19
Dropwizard,io.dropwizard.server,SimpleServerFactory,0,144,0,0,0,44,0,10,0,10
Dropwizard Logging Support,io.dropwizard.logging.layout,DropwizardLayoutFactory,0,9,0,0,0,2,0,2,0,2
Dropwizard Logging Support,ch.qos.logback.core.recovery,ResilentSocketOutputStream,0,88,0,0,0,17,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,SyslogAppenderFactory.Facility,0,244,0,0,0,25,0,1,0,1
Dropwizard Logging Support,io.dropwizard.logging,DefaultLoggingFactory,58,435,5,23,10,114,5,28,0,19
Dropwizard Logging Support,io.dropwizard.logging,SyslogAppenderFactory,30,131,4,4,9,36,12,6,8,6
Dropwizard Logging Support,io.dropwizard.logging,LoggingUtil,23,34,3,3,7,15,2,4,0,3
Dropwizard Logging Support,io.dropwizard.logging,TlsSocketAppenderFactory.new SocketFactory() {...},17,13,0,0,5,2,5,2,5,2
Dropwizard Logging Support,io.dropwizard.logging,PrefixedThrowableProxyConverter,0,16,0,0,0,3,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,FileAppenderFactory,9,326,1,41,3,84,4,41,3,21
Dropwizard Logging Support,io.dropwizard.logging,LoggerConfiguration,0,36,0,0,0,14,0,7,0,7
Dropwizard Logging Support,io.dropwizard.logging,BootstrapLogging,0,75,0,2,0,28,0,5,0,4
Dropwizard Logging Support,io.dropwizard.logging,AbstractOutputStreamAppenderFactory,0,43,0,0,0,9,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,UdpSocketAppenderFactory,6,33,0,0,2,11,2,4,2,4
Dropwizard Logging Support,io.dropwizard.logging,PrefixedRootCauseFirstThrowableProxyConverter,0,32,0,0,0,4,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,ConsoleAppenderFactory.ConsoleStream,0,37,0,0,0,7,0,3,0,3
Dropwizard Logging Support,io.dropwizard.logging,PrefixedExtendedThrowableProxyConverter,0,9,1,1,0,4,1,2,0,2
Dropwizard Logging Support,io.dropwizard.logging,ConsoleAppenderFactory,7,23,0,0,3,7,2,2,2,2
Dropwizard Logging Support,io.dropwizard.logging,ThrottlingAppenderWrapper,82,30,0,2,29,10,17,5,17,4
Dropwizard Logging Support,io.dropwizard.logging,ExternalLoggingFactory,3,3,0,0,3,1,3,1,3,1
Dropwizard Logging Support,io.dropwizard.logging,DropwizardLayout,0,43,0,0,0,8,0,1,0,1
Dropwizard Logging Support,io.dropwizard.logging,TcpSocketAppenderFactory,0,87,0,0,0,30,0,13,0,13
Dropwizard Logging Support,io.dropwizard.logging,AbstractAppenderFactory,43,158,3,7,15,49,12,17,10,14
Dropwizard Logging Support,io.dropwizard.logging,TlsSocketAppenderFactory,59,189,11,11,11,71,11,33,0,33
Dropwizard Logging Support,io.dropwizard.logging.async,AsyncLoggingEventAppenderFactory,0,7,0,0,0,2,0,2,0,2
