GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader,132,545,12,42,13,115,11,27,0,11
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader.XmlElement,0,134,0,0,0,7,0,1,0,1
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader.XmlAttribtue,0,124,0,0,0,4,0,1,0,1
unix4j-tools,org.unix4j.codegen.loader,ResourceDataLoader,44,61,8,6,8,18,6,5,0,4
unix4j-tools,org.unix4j.codegen.loader,ClassInspectionDataLoader,75,0,6,0,18,0,8,0,5,0
unix4j-tools,org.unix4j.codegen.xml,XmlUtil,78,149,12,18,7,36,11,13,0,9
unix4j-tools,org.unix4j.codegen,CommandDefinitionDataLoader.new ResourceBasedDataLoader() {...},6,18,0,0,2,4,0,2,0,2
unix4j-tools,org.unix4j.codegen,OptionSetDefinitionDataLoader,0,42,0,0,0,8,0,3,0,3
unix4j-tools,org.unix4j.codegen,OptionSetDefinitionDataLoader.new ResourceBasedDataLoader() {...},6,24,0,0,2,5,0,2,0,2
unix4j-tools,org.unix4j.codegen,CommandDefinitionDataLoader,0,42,0,0,0,8,0,3,0,3
unix4j-tools,org.unix4j.codegen.optset.constraint,EnabledOptionConstraint,36,0,6,0,11,0,5,0,2,0
unix4j-tools,org.unix4j.codegen.optset.constraint,ExclusiveOptionConstraint,0,34,0,6,0,10,0,5,0,2
unix4j-tools,org.unix4j.codegen.optset.def,OptionGroupDef,0,158,0,8,0,29,0,8,0,4
unix4j-tools,org.unix4j.codegen.optset.def,OptionSetDef,11,14,0,0,1,5,1,1,1,1
unix4j-tools,org.unix4j.codegen.optset.def,ActiveSetDef,51,50,2,0,7,12,3,3,2,3
unix4j-tools,org.unix4j.codegen.optset,OptionSetDefinitionLoader,90,399,5,31,8,82,5,29,1,15
unix4j-tools,org.unix4j.codegen.optset,ActiveSetPermutationBuilder,0,131,0,14,0,26,0,11,0,4
unix4j-tools,org.unix4j.codegen.optset,OptionHelper,2,49,1,3,0,11,1,4,0,3
unix4j-tools,org.unix4j.codegen.optset,Constraints,13,58,1,7,2,13,2,6,1,3
unix4j-tools,org.unix4j.codegen.annotation,OutputMode,4,0,0,0,1,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.annotation,InputMode,46,0,0,0,7,0,4,0,4,0
unix4j-tools,org.unix4j.codegen.def,TypeDef,12,45,1,1,2,12,2,5,1,5
unix4j-tools,org.unix4j.codegen.def,PackageDef,5,12,0,0,2,4,1,1,1,1
unix4j-tools,org.unix4j.codegen.def,AbstractElementDef,39,168,5,15,7,31,5,15,2,8
unix4j-tools,org.unix4j.codegen.command.def,OperandDef,0,15,0,0,0,6,0,1,0,1
unix4j-tools,org.unix4j.codegen.command.def,MethodDef,0,16,0,0,0,6,0,1,0,1
unix4j-tools,org.unix4j.codegen.command.def,OptionDef,16,26,1,1,1,8,1,1,0,1
unix4j-tools,org.unix4j.codegen.command.def,CommandDef,0,57,0,0,0,14,0,2,0,2
