GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aismessages,dk.tbsalling.aismessages.nmea.exceptions,UnsupportedMessageType,4,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages.nmea.exceptions,InvalidMessage,0,4,0,0,0,2,0,1,0,1
aismessages,dk.tbsalling.aismessages.nmea.exceptions,NMEAParseException,19,9,0,0,3,4,3,1,3,1
aismessages,dk.tbsalling.aismessages.ais.messages,UTCAndDateResponse,453,0,6,0,40,0,63,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,GNSSBinaryBroadcastMessage,514,0,22,0,40,0,71,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,CachedDecodedValues,0,47,1,9,0,14,1,6,0,2
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAScheduled,4,22,0,0,2,6,1,3,1,3
aismessages,dk.tbsalling.aismessages.ais.messages,SafetyRelatedAcknowledge,527,0,28,0,47,0,66,0,52,0
aismessages,dk.tbsalling.aismessages.ais.messages,GroupAssignmentCommand,468,0,6,0,40,0,63,0,60,0
aismessages,dk.tbsalling.aismessages.ais.messages,UTCAndDateInquiry,116,0,6,0,20,0,13,0,10,0
aismessages,dk.tbsalling.aismessages.ais.messages,AddressedSafetyRelatedMessage,261,0,6,0,30,0,33,0,30,0
aismessages,dk.tbsalling.aismessages.ais.messages,AddressedBinaryMessage,117,322,13,9,11,34,12,40,1,40
aismessages,dk.tbsalling.aismessages.ais.messages,SafetyRelatedBroadcastMessage,160,0,6,0,24,0,18,0,15,0
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAAssignedSchedule,4,22,0,0,2,6,1,3,1,3
aismessages,dk.tbsalling.aismessages.ais.messages,AidToNavigationReport,84,701,8,6,10,56,10,97,3,97
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReportClassAResponseToInterrogation,4,22,0,0,2,6,1,3,1,3
aismessages,dk.tbsalling.aismessages.ais.messages,PositionReport,79,473,9,3,10,38,12,67,6,67
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryMessageMultipleSlot,205,0,0,0,21,0,31,0,31,0
aismessages,dk.tbsalling.aismessages.ais.messages,DataLinkManagement,211,502,17,15,6,45,41,61,25,61
aismessages,dk.tbsalling.aismessages.ais.messages,ChannelManagement,600,0,14,0,46,0,82,0,75,0
aismessages,dk.tbsalling.aismessages.ais.messages,AISMessage,235,952,36,68,65,201,36,63,3,31
aismessages,dk.tbsalling.aismessages.ais.messages,StandardClassBCSPositionReport,71,686,5,3,8,53,10,98,6,98
aismessages,dk.tbsalling.aismessages.ais.messages,ShipAndVoyageData,29,721,17,19,6,55,17,90,2,87
aismessages,dk.tbsalling.aismessages.ais.messages,ClassBCSStaticDataReport,67,458,13,13,7,32,16,54,4,53
aismessages,dk.tbsalling.aismessages.ais.messages,Interrogation,116,300,10,8,6,28,20,35,11,35
aismessages,dk.tbsalling.aismessages.ais.messages,LongRangeBroadcastMessage,61,385,4,4,9,32,7,53,4,52
aismessages,dk.tbsalling.aismessages.ais.messages,BaseStationReport,43,441,4,2,6,36,4,64,1,64
aismessages,dk.tbsalling.aismessages.ais.messages,ExtendedClassBEquipmentPositionReport,766,0,6,0,61,0,108,0,105,0
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryMessageSingleSlot,217,0,6,0,26,0,28,0,25,0
aismessages,dk.tbsalling.aismessages.ais.messages,StandardSARAircraftPositionReport,530,0,6,0,47,0,73,0,70,0
aismessages,dk.tbsalling.aismessages.ais.messages,Error,47,0,0,0,11,0,6,0,6,0
aismessages,dk.tbsalling.aismessages.ais.messages,Metadata,47,72,14,6,6,15,14,5,4,5
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryBroadcastMessage,221,111,15,3,26,13,17,18,8,18
aismessages,dk.tbsalling.aismessages.ais.messages,AssignedModeCommand,326,0,14,0,30,0,43,0,36,0
aismessages,dk.tbsalling.aismessages.ais.messages,BinaryAcknowledge,527,0,28,0,47,0,66,0,52,0
aismessages,dk.tbsalling.aismessages.nmea.messages,NMEAMessage,119,193,26,18,16,34,24,15,4,13
aismessages,dk.tbsalling.aismessages.ais.exceptions,UnsupportedMessageType,3,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages.ais.exceptions,InvalidAISMessage,3,0,0,0,2,0,1,0,1,0
aismessages,dk.tbsalling.aismessages,AISInputStreamReader,40,0,0,0,9,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.ais,Decoders,142,496,9,3,10,88,7,9,2,8
aismessages,dk.tbsalling.aismessages.ais,Decoders.new Function() {...},0,48,0,2,0,10,0,3,0,2
aismessages,dk.tbsalling.aismessages.demo,SimpleDemoApp,53,0,0,0,11,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.demo,SocketDemoApp,71,0,0,0,15,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageInputStreamReader,33,86,1,3,6,19,2,5,1,4
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageHandler,92,231,5,11,10,42,5,10,0,7
aismessages,dk.tbsalling.aismessages.nmea,NMEAMessageSocketClient,79,0,2,0,22,0,6,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,ManeuverIndicator,10,58,3,3,3,11,5,3,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,ReportingInterval,172,0,6,0,27,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,AISMessageType,3,265,1,5,1,38,2,6,1,4
aismessages,dk.tbsalling.aismessages.ais.messages.types,TransponderClass,45,0,0,0,10,0,4,0,4,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,ShipType,8,588,2,4,3,77,4,4,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,StationType,172,0,6,0,27,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,SOTDMACommunicationState,77,154,15,13,9,31,13,10,0,9
aismessages,dk.tbsalling.aismessages.ais.messages.types,AidType,8,292,2,4,3,40,4,4,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,TxRxMode,76,0,6,0,15,0,8,0,5,0
aismessages,dk.tbsalling.aismessages.ais.messages.types,PositionFixingDevice,6,110,1,5,2,18,3,5,2,3
aismessages,dk.tbsalling.aismessages.ais.messages.types,ITDMACommunicationState,2,69,2,2,1,16,2,5,0,5
