GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java Marine API,net.sf.marineapi.example,FileExample,72,0,2,0,25,0,7,0,6,0
Java Marine API,net.sf.marineapi.example,PositionProviderExample,70,0,2,0,21,0,5,0,4,0
Java Marine API,net.sf.marineapi.example,SentenceListenerExamples.MultiSentenceListener,52,0,4,0,12,0,7,0,5,0
Java Marine API,net.sf.marineapi.example,HeadingProviderExample,64,0,2,0,20,0,4,0,3,0
Java Marine API,net.sf.marineapi.example,TypedSentenceListenerExample,55,0,2,0,18,0,4,0,3,0
Java Marine API,net.sf.marineapi.example,OutputExample,35,0,0,0,11,0,2,0,2,0
Java Marine API,net.sf.marineapi.example,AISListenerExample,76,0,2,0,19,0,4,0,3,0
Java Marine API,net.sf.marineapi.example,SentenceListenerExamples.SingleSentenceListener,25,0,0,0,7,0,5,0,5,0
Java Marine API,net.sf.marineapi.example,SentenceListenerExamples,63,0,2,0,18,0,3,0,2,0
Java Marine API,net.sf.marineapi.example,SerialPortExample,142,0,10,0,52,0,13,0,8,0
Java Marine API,net.sf.marineapi.example,SentenceListenerExamples.GSAListener,18,0,0,0,3,0,2,0,2,0
Java Marine API,net.sf.marineapi.example,SatelliteInfoProviderExample,105,0,4,0,27,0,5,0,3,0
Java Marine API,net.sf.marineapi.ais.util,TimeStamp,12,13,6,3,5,3,7,2,1,2
Java Marine API,net.sf.marineapi.ais.util,Sixbit,49,246,11,29,9,51,14,24,3,15
Java Marine API,net.sf.marineapi.ais.util,Latitude27,7,42,2,10,3,7,3,9,1,5
Java Marine API,net.sf.marineapi.ais.util,RateOfTurn,58,36,11,6,10,10,12,3,2,3
Java Marine API,net.sf.marineapi.ais.util,PositioningDevice,23,4,10,1,11,2,11,1,1,1
Java Marine API,net.sf.marineapi.ais.util,NavigationalStatus,8,92,5,7,2,4,6,4,1,3
Java Marine API,net.sf.marineapi.ais.util,AISRuleViolation,35,0,0,0,6,0,2,0,2,0
Java Marine API,net.sf.marineapi.ais.util,Angle9,37,20,11,5,11,4,10,3,3,2
Java Marine API,net.sf.marineapi.ais.util,NavAidType,71,0,33,0,35,0,34,0,2,0
Java Marine API,net.sf.marineapi.ais.util,SpeedOverGround,7,38,2,10,3,6,3,8,1,4
Java Marine API,net.sf.marineapi.ais.util,Longitude28,7,42,2,10,3,7,3,9,1,5
Java Marine API,net.sf.marineapi.ais.util,Angle12,13,37,7,5,3,7,7,4,1,4
Java Marine API,net.sf.marineapi.ais.util,BitVector,73,89,9,7,19,23,10,10,5,7
Java Marine API,net.sf.marineapi.ais.util,ManeuverIndicator,19,12,9,3,5,3,9,2,2,2
Java Marine API,net.sf.marineapi.ais.util,MMSI,44,0,15,0,15,0,15,0,3,0
Java Marine API,net.sf.marineapi.ais.util,ShipType,44,226,12,10,8,14,13,2,1,2
Java Marine API,net.sf.marineapi.nmea.sentence,Checksum,0,72,0,4,0,10,0,6,0,4
Java Marine API,net.sf.marineapi.nmea.sentence,SentenceId,0,511,0,4,0,57,0,5,0,3
Java Marine API,net.sf.marineapi.nmea.sentence,TalkerId,5,754,1,3,1,80,1,3,0,2
Java Marine API,net.sf.marineapi.nmea.sentence,SentenceValidator,0,58,0,10,0,16,0,8,0,3
Java Marine API,net.sf.marineapi.nmea.sentence,GNSSentence.Mode,4,136,1,3,1,17,1,5,0,4
Java Marine API,net.sf.marineapi.ais.parser,AISMessage09Parser,232,283,16,4,24,33,13,15,3,15
Java Marine API,net.sf.marineapi.ais.parser,AISMessage03Parser,4,0,0,0,2,0,1,0,1,0
