GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader,677,0,54,0,128,0,38,0,11,0
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader.XmlElement,134,0,0,0,7,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.command,CommandDefinitionLoader.XmlAttribtue,124,0,0,0,4,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.loader,ResourceDataLoader,105,0,14,0,26,0,11,0,4,0
unix4j-tools,org.unix4j.codegen.loader,ClassInspectionDataLoader,75,0,6,0,18,0,8,0,5,0
unix4j-tools,org.unix4j.codegen.xml,XmlUtil,227,0,30,0,43,0,24,0,9,0
unix4j-tools,org.unix4j.codegen,CommandDefinitionDataLoader.new ResourceBasedDataLoader() {...},24,0,0,0,6,0,2,0,2,0
unix4j-tools,org.unix4j.codegen,OptionSetDefinitionDataLoader,42,0,0,0,8,0,3,0,3,0
unix4j-tools,org.unix4j.codegen,OptionSetDefinitionDataLoader.new ResourceBasedDataLoader() {...},30,0,0,0,7,0,2,0,2,0
unix4j-tools,org.unix4j.codegen,CommandDefinitionDataLoader,42,0,0,0,8,0,3,0,3,0
unix4j-tools,org.unix4j.codegen.optset.constraint,EnabledOptionConstraint,36,0,6,0,11,0,5,0,2,0
unix4j-tools,org.unix4j.codegen.optset.constraint,ExclusiveOptionConstraint,34,0,6,0,10,0,5,0,2,0
unix4j-tools,org.unix4j.codegen.optset.def,OptionGroupDef,158,0,8,0,29,0,8,0,4,0
unix4j-tools,org.unix4j.codegen.optset.def,OptionSetDef,25,0,0,0,6,0,2,0,2,0
unix4j-tools,org.unix4j.codegen.optset.def,ActiveSetDef,101,0,2,0,19,0,6,0,5,0
unix4j-tools,org.unix4j.codegen.optset,OptionSetDefinitionLoader,489,0,36,0,90,0,34,0,16,0
unix4j-tools,org.unix4j.codegen.optset,ActiveSetPermutationBuilder,131,0,14,0,26,0,11,0,4,0
unix4j-tools,org.unix4j.codegen.optset,OptionHelper,51,0,4,0,11,0,5,0,3,0
unix4j-tools,org.unix4j.codegen.optset,Constraints,71,0,8,0,15,0,8,0,4,0
unix4j-tools,org.unix4j.codegen.annotation,OutputMode,4,0,0,0,1,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.annotation,InputMode,46,0,0,0,7,0,4,0,4,0
unix4j-tools,org.unix4j.codegen.def,TypeDef,57,0,2,0,14,0,7,0,6,0
unix4j-tools,org.unix4j.codegen.def,PackageDef,17,0,0,0,6,0,2,0,2,0
unix4j-tools,org.unix4j.codegen.def,AbstractElementDef,207,0,20,0,38,0,20,0,10,0
unix4j-tools,org.unix4j.codegen.command.def,OperandDef,15,0,0,0,6,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.command.def,MethodDef,16,0,0,0,6,0,1,0,1,0
unix4j-tools,org.unix4j.codegen.command.def,OptionDef,42,0,2,0,9,0,2,0,1,0
unix4j-tools,org.unix4j.codegen.command.def,CommandDef,57,0,0,0,14,0,2,0,2,0
