GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.settings,JobSettingsAPIImpl,219,0,10,0,43,0,12,0,7,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.statistics,ServerStatisticsAPIImpl,176,0,14,0,32,0,10,0,3,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.statistics,ShardingStatisticsAPIImpl,127,0,6,0,23,0,6,0,3,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.statistics,JobStatisticsAPIImpl,358,0,40,0,77,0,32,0,12,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.api,JobAPIFactory,48,0,0,0,6,0,6,0,6,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.reg,RegistryCenterFactory,65,0,6,0,15,0,5,0,2,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,JobSettings,140,0,0,0,20,0,37,0,37,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,JobBriefInfo.JobStatus,44,0,0,0,5,0,1,0,1,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,ServerBriefInfo,57,0,0,0,9,0,11,0,11,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,JobBriefInfo,51,0,0,0,9,0,14,0,14,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,ShardingInfo,44,0,0,0,8,0,12,0,12,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.domain,ShardingInfo.ShardingStatus,58,0,6,0,12,0,5,0,2,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.operate,ShardingOperateAPIImpl,41,0,2,0,13,0,5,0,4,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.internal.operate,JobOperateAPIImpl,418,0,62,0,74,0,39,0,8,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.restful,GsonJsonProvider,63,0,4,0,14,0,8,0,6,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.restful,RestfulExceptionMapper,11,0,0,0,2,0,2,0,2,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.restful,RestfulServer,156,0,4,0,36,0,10,0,8,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.restful,RestfulException,4,0,0,0,2,0,1,0,1,0
elastic-job-lite-console/elastic-job-lite-lifecycle,io.elasticjob.lite.lifecycle.security,WwwAuthFilter,201,0,12,0,42,0,13,0,7,0
