GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jimfs,com.google.common.jimfs,DirectoryEntry,18,139,2,16,6,31,3,19,1,12
Jimfs,com.google.common.jimfs,AbstractWatchService,21,98,2,6,4,25,3,13,1,11
Jimfs,com.google.common.jimfs,FileFactory.DirectorySupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsFileSystemProvider,98,367,9,11,22,100,13,31,7,27
Jimfs,com.google.common.jimfs,FileFactory.RegularFileSupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,BasicAttributeProvider.Attributes,2,63,0,0,1,18,1,9,1,9
Jimfs,com.google.common.jimfs,PathService,1,404,1,31,0,81,1,38,0,22
Jimfs,com.google.common.jimfs,PathType,13,144,0,8,4,38,2,18,2,14
Jimfs,com.google.common.jimfs,PollingWatchService.new Runnable() {...},3,60,0,4,2,15,0,4,0,2
Jimfs,com.google.common.jimfs,Configuration.Builder,22,401,10,16,4,104,10,24,0,20
Jimfs,com.google.common.jimfs,DosAttributeProvider.View,0,56,0,0,0,15,0,8,0,8
Jimfs,com.google.common.jimfs,AbstractWatchService.Key,0,145,1,15,0,33,1,18,0,11
Jimfs,com.google.common.jimfs,PathType.ParseResult,0,35,1,5,0,8,1,7,0,5
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,UserDefinedAttributeProvider,21,88,2,6,4,25,4,10,2,8
Jimfs,com.google.common.jimfs,Options,48,127,9,27,10,36,7,18,0,7
Jimfs,com.google.common.jimfs,PosixAttributeProvider.Attributes,0,34,0,0,0,9,0,4,0,4
Jimfs,com.google.common.jimfs,Util,34,68,7,7,10,18,6,8,1,6
Jimfs,com.google.common.jimfs,Configuration.WindowsHolder,0,38,0,0,0,10,0,1,0,1
Jimfs,com.google.common.jimfs,RegularFile,9,1096,2,86,1,251,2,85,0,43
Jimfs,com.google.common.jimfs,UserLookupService.JimfsUserPrincipal,0,19,1,3,0,4,1,3,0,2
Jimfs,com.google.common.jimfs,Handler,1,60,1,3,0,15,1,5,0,4
Jimfs,com.google.common.jimfs,Directory,4,470,1,43,1,114,1,46,0,25
Jimfs,com.google.common.jimfs,JimfsFileSystem.new Closeable() {...},0,11,0,0,0,3,0,2,0,2
Jimfs,com.google.common.jimfs,FileSystemView.new FileLookup() {...},0,24,0,0,0,4,0,2,0,2
Jimfs,com.google.common.jimfs,DosAttributeProvider.Attributes,0,48,0,0,0,10,0,5,0,5
Jimfs,com.google.common.jimfs,Configuration,121,106,18,6,29,32,11,9,1,7
Jimfs,com.google.common.jimfs,DowngradedSeekableByteChannel,36,12,0,0,9,5,7,2,7,2
Jimfs,com.google.common.jimfs,JimfsFileStore,26,209,0,2,7,54,4,25,4,24
Jimfs,com.google.common.jimfs,OwnerAttributeProvider.View,0,21,0,0,0,6,0,4,0,4
Jimfs,com.google.common.jimfs,AttributeProvider,15,114,1,5,2,17,2,12,1,10
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},2,7,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,FileTree,6,259,3,45,1,65,3,33,0,12
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},0,11,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,UserLookupService.JimfsGroupPrincipal,0,19,1,3,0,3,1,3,0,2
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},0,11,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,AclAttributeProvider.View,0,38,0,0,0,11,0,6,0,6
Jimfs,com.google.common.jimfs,PollingWatchService.Snapshot,0,139,1,15,0,28,1,9,0,2
Jimfs,com.google.common.jimfs,AbstractWatchService.Event,40,56,5,5,7,14,7,5,2,5
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,PathURLConnection,22,160,1,7,6,39,1,9,0,6
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},12,11,0,0,4,2,0,2,0,2
Jimfs,com.google.common.jimfs,WatchServiceConfiguration.PollingConfig,18,32,1,1,1,6,2,2,1,2
Jimfs,com.google.common.jimfs,JimfsFileSystem,0,205,1,3,0,49,1,22,0,21
Jimfs,com.google.common.jimfs,PathMatchers.RegexPathMatcher,0,22,0,0,0,5,0,3,0,3
Jimfs,com.google.common.jimfs,JimfsInputStream,0,212,0,20,0,52,0,20,0,10
Jimfs,com.google.common.jimfs,PathService.new Predicate() {...},0,11,0,2,0,2,0,3,0,2
Jimfs,com.google.common.jimfs,JimfsOutputStream,0,139,0,10,0,36,0,13,0,8
Jimfs,com.google.common.jimfs,JimfsFileSystems,24,200,4,8,4,37,3,8,0,5
Jimfs,com.google.common.jimfs,StandardAttributeProviders,0,53,1,3,0,12,1,3,0,2
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.DirectoryIterator,7,47,1,5,3,10,1,4,0,2
Jimfs,com.google.common.jimfs,WatchServiceConfiguration,0,15,0,0,0,3,0,3,0,3
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel,6,190,1,11,2,48,2,19,1,14
Jimfs,com.google.common.jimfs,PathNormalization,0,111,0,4,0,20,0,7,0,5
Jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider,98,143,5,7,23,30,20,11,15,10
Jimfs,com.google.common.jimfs,JimfsPath.new AbstractList() {...},0,15,0,0,0,3,0,3,0,3
Jimfs,com.google.common.jimfs,FileFactory.SymbolicLinkSupplier,0,17,0,0,0,4,0,2,0,2
Jimfs,com.google.common.jimfs,AttributeService,31,760,9,78,5,159,8,61,0,25
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},10,30,0,6,3,10,2,5,2,2
Jimfs,com.google.common.jimfs,PosixAttributeProvider.View,7,47,0,0,2,13,1,7,1,7
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},6,16,0,2,2,6,2,3,2,2
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},10,35,1,7,3,18,3,8,2,2
Jimfs,com.google.common.jimfs,PathMatchers,0,60,0,5,0,9,0,5,0,2
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},2,33,0,6,1,16,1,7,1,2
Jimfs,com.google.common.jimfs,AttributeService.SimpleFileAttribute,0,18,0,0,0,6,0,3,0,3
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},6,10,0,0,2,4,2,2,2,2
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},2,25,0,2,1,10,1,4,1,3
Jimfs,com.google.common.jimfs,AbstractAttributeView,0,12,0,0,0,4,0,2,0,2
Jimfs,com.google.common.jimfs,DosAttributeProvider,9,92,3,3,2,25,3,13,0,13
Jimfs,com.google.common.jimfs,UnixAttributeProvider,44,166,9,16,16,43,12,19,3,8
Jimfs,com.google.common.jimfs,AttributeCopyOption,0,34,0,0,0,4,0,1,0,1
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,25,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,GlobToRegex,0,285,0,14,0,72,0,29,0,22
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,PollingWatchService,16,201,4,12,1,50,4,15,0,11
Jimfs,com.google.common.jimfs,OwnerAttributeProvider,29,66,6,4,5,19,5,9,0,9
Jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider.new Runnable() {...},0,12,0,0,0,3,0,2,0,2
Jimfs,com.google.common.jimfs,FileSystemView,42,982,12,98,14,244,11,80,0,36
Jimfs,com.google.common.jimfs,GlobToRegex.State,0,1,0,0,0,1,0,1,0,1
Jimfs,com.google.common.jimfs,Configuration.OsxHolder,0,34,0,0,0,8,0,1,0,1
Jimfs,com.google.common.jimfs,File,11,229,3,19,4,72,4,42,1,34
Jimfs,com.google.common.jimfs,Jimfs,45,77,5,3,16,19,3,9,0,8
Jimfs,com.google.common.jimfs,UnixPathType,0,114,0,14,0,26,0,14,0,7
Jimfs,com.google.common.jimfs,UserLookupService,0,32,0,2,0,9,0,6,0,5
Jimfs,com.google.common.jimfs,AbstractWatchService.Key.State,0,24,0,0,0,3,0,1,0,1
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.new DirectoryStream.Filter() {...},0,5,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.new FileLookup() {...},0,28,0,0,0,6,0,2,0,2
Jimfs,com.google.common.jimfs,Name,0,94,0,5,0,25,0,12,0,9
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream,25,190,2,6,4,53,2,16,0,14
Jimfs,com.google.common.jimfs,SymbolicLink,0,23,0,0,0,6,0,4,0,4
Jimfs,com.google.common.jimfs,JimfsPath,69,665,26,92,14,142,27,72,1,39
Jimfs,com.google.common.jimfs,BasicAttributeProvider.View,0,34,0,6,0,12,0,7,0,4
Jimfs,com.google.common.jimfs,UserDefinedAttributeProvider.View,0,83,0,2,0,18,0,9,0,8
Jimfs,com.google.common.jimfs,Feature,0,44,0,0,0,5,0,1,0,1
Jimfs,com.google.common.jimfs,WindowsPathType,8,332,3,45,1,67,3,30,0,9
Jimfs,com.google.common.jimfs,FileSystemState,0,113,2,10,0,32,2,10,0,6
Jimfs,com.google.common.jimfs,DowngradedDirectoryStream,4,12,0,0,1,5,1,2,1,2
Jimfs,com.google.common.jimfs,FileFactory,0,68,0,0,0,15,0,10,0,10
Jimfs,com.google.common.jimfs,PosixAttributeProvider,64,171,8,14,11,45,7,18,0,13
Jimfs,com.google.common.jimfs,FileSystemView.DeleteMode,0,34,0,0,0,4,0,1,0,1
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.CompletionHandlerCallback,5,45,0,0,3,16,0,4,0,4
Jimfs,com.google.common.jimfs,Configuration.UnixHolder,0,36,0,0,0,8,0,1,0,1
Jimfs,com.google.common.jimfs,Directory.new AbstractIterator() {...},0,48,0,8,0,6,0,6,0,2
Jimfs,com.google.common.jimfs,HeapDisk,3,197,3,13,0,39,3,15,0,10
Jimfs,com.google.common.jimfs,BasicAttributeProvider,13,143,7,14,1,31,5,21,0,10
Jimfs,com.google.common.jimfs,UserLookupService.NamedPrincipal,3,15,0,0,1,5,1,3,1,3
Jimfs,com.google.common.jimfs,JimfsFileChannel.FakeFileLock,0,35,0,0,0,8,0,4,0,4
Jimfs,com.google.common.jimfs,JimfsFileChannel,75,905,2,52,18,288,2,50,0,25
Jimfs,com.google.common.jimfs,JimfsFileSystems.new Runnable() {...},1,3,0,0,1,1,1,1,1,1
