File,statements,missing,excluded,branches,partial,coverage
conftest.py,90,40,0,14,2,50%
jedi/__init__.py,8,0,0,0,0,100%
jedi/api/__init__.py,308,235,6,118,0,17%
jedi/api/classes.py,298,200,15,88,0,25%
jedi/api/completion.py,380,326,0,210,0,9%
jedi/api/completion_cache.py,22,11,0,0,0,50%
jedi/api/environment.py,212,160,3,72,0,18%
jedi/api/errors.py,19,7,6,0,0,63%
jedi/api/exceptions.py,5,0,0,0,0,100%
jedi/api/file_name.py,114,103,0,58,0,6%
jedi/api/helpers.py,331,280,0,190,0,10%
jedi/api/interpreter.py,34,16,0,10,0,41%
jedi/api/keywords.py,32,21,0,4,0,31%
jedi/api/project.py,219,158,2,74,2,22%
jedi/api/refactoring/__init__.py,156,133,2,68,0,10%
jedi/api/refactoring/extract.py,239,211,0,136,0,7%
jedi/api/replstartup.py,5,0,0,0,0,100%
jedi/api/strings.py,65,49,0,36,0,16%
jedi/cache.py,66,40,0,16,0,32%
jedi/common.py,15,11,0,2,0,24%
jedi/debug.py,75,39,0,16,1,41%
jedi/file_io.py,52,29,2,6,0,40%
jedi/inference/__init__.py,108,77,0,30,0,22%
jedi/inference/analysis.py,120,98,5,46,0,13%
jedi/inference/arguments.py,211,158,9,88,0,18%
jedi/inference/base_value.py,319,196,15,58,1,33%
jedi/inference/cache.py,74,44,1,12,0,35%
jedi/inference/compiled/__init__.py,35,25,2,8,0,23%
jedi/inference/compiled/access.py,328,249,2,88,0,19%
jedi/inference/compiled/getattr_static.py,69,58,1,28,0,11%
jedi/inference/compiled/mixed.py,161,113,6,42,0,24%
jedi/inference/compiled/subprocess/__init__.py,226,168,15,38,0,22%
jedi/inference/compiled/subprocess/functions.py,150,119,1,54,0,15%
jedi/inference/compiled/value.py,382,258,10,102,1,26%
jedi/inference/context.py,291,196,4,78,0,26%
jedi/inference/docstring_utils.py,15,7,0,0,0,53%
jedi/inference/docstrings.py,136,111,0,56,0,13%
jedi/inference/dynamic_params.py,120,95,0,56,0,14%
jedi/inference/filters.py,213,114,7,34,0,42%
jedi/inference/finder.py,84,71,0,50,0,10%
jedi/inference/flow_analysis.py,84,65,2,50,0,14%
jedi/inference/gradual/__init__.py,0,0,0,0,0,100%
jedi/inference/gradual/annotation.py,236,200,4,104,0,11%
jedi/inference/gradual/base.py,233,158,19,62,0,25%
jedi/inference/gradual/conversion.py,139,123,0,86,0,7%
jedi/inference/gradual/generics.py,62,35,5,18,0,34%
jedi/inference/gradual/stub_value.py,67,41,0,12,0,33%
jedi/inference/gradual/type_var.py,84,64,6,22,0,19%
jedi/inference/gradual/typeshed.py,163,131,0,76,0,13%
jedi/inference/gradual/typing.py,245,158,6,60,0,29%
jedi/inference/gradual/utils.py,20,17,0,4,0,12%
jedi/inference/helpers.py,120,96,0,50,0,14%
jedi/inference/imports.py,287,239,2,136,0,11%
jedi/inference/lazy_value.py,35,17,2,2,0,49%
jedi/inference/names.py,456,316,9,162,0,23%
jedi/inference/param.py,127,111,3,58,0,9%
jedi/inference/parser_cache.py,4,1,0,0,0,75%
jedi/inference/recursion.py,66,42,5,6,0,33%
jedi/inference/references.py,197,167,0,96,0,10%
jedi/inference/signature.py,106,71,4,30,0,26%
jedi/inference/star_args.py,148,134,0,100,0,6%
jedi/inference/syntax_tree.py,568,506,3,324,0,7%
jedi/inference/sys_path.py,150,127,2,80,0,10%
jedi/inference/utils.py,43,17,0,4,1,57%
jedi/inference/value/__init__.py,4,0,0,0,0,100%
jedi/inference/value/decorator.py,16,10,0,4,0,30%
jedi/inference/value/dynamic_arrays.py,110,83,0,30,0,19%
jedi/inference/value/function.py,297,216,0,102,0,20%
jedi/inference/value/instance.py,345,223,10,102,0,27%
jedi/inference/value/iterable.py,385,256,10,104,0,26%
jedi/inference/value/klass.py,213,156,3,90,0,19%
