File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,66,50,0,4,1,24%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,169,137,0,24,0,17%
utest/api/test_logging_api.py,67,41,0,2,1,39%
utest/api/test_run_and_rebot.py,288,272,0,6,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,23,13,0,12,2,34%
utest/conf/test_settings.py,131,95,0,38,1,22%
utest/htmldata/test_htmltemplate.py,19,9,0,4,1,48%
utest/htmldata/test_jsonwriter.py,76,46,0,10,2,37%
utest/libdoc/test_datatypes.py,13,5,0,6,1,47%
utest/libdoc/test_libdoc.py,186,112,0,14,0,37%
utest/libdoc/test_libdoc_api.py,40,25,0,2,1,38%
utest/model/test_body.py,137,125,0,2,0,9%
utest/model/test_control.py,108,97,0,14,0,9%
utest/model/test_filter.py,126,76,0,2,1,40%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,34,1,16%
utest/model/test_keyword.py,87,64,0,6,1,26%
utest/model/test_message.py,74,55,0,4,0,24%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,176,145,0,6,0,17%
utest/model/test_statistics.py,165,131,0,8,1,20%
utest/model/test_tags.py,324,318,0,34,0,2%
utest/model/test_tagstatistics.py,205,179,0,22,0,11%
utest/model/test_testcase.py,122,93,0,4,0,23%
utest/model/test_testsuite.py,178,150,0,24,0,14%
utest/output/test_console.py,84,55,0,4,1,34%
utest/output/test_filelogger.py,37,23,0,2,1,38%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,188,144,0,6,1,23%
utest/output/test_loggerhelper.py,15,5,0,2,1,65%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,531,381,0,12,0,28%
utest/parsing/test_model.py,449,337,0,24,2,24%
utest/parsing/test_statements.py,214,155,0,10,1,27%
utest/parsing/test_statements_in_invalid_position.py,160,128,0,48,1,16%
utest/parsing/test_suitestructure.py,46,29,0,4,1,36%
utest/parsing/test_tokenizer.py,174,104,0,10,1,39%
utest/parsing/test_tokens.py,35,30,0,10,0,11%
utest/reporting/test_jsbuildingcontext.py,57,31,0,4,1,44%
utest/reporting/test_jsexecutionresult.py,68,65,0,8,0,4%
utest/reporting/test_jsmodelbuilders.py,414,363,0,12,0,12%
utest/reporting/test_jswriter.py,75,51,0,10,1,29%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,132,80,0,6,1,38%
utest/reporting/test_stringcache.py,73,37,0,12,2,45%
utest/result/test_configurer.py,202,171,0,10,0,15%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
utest/result/test_resultbuilder.py,314,243,0,14,1,22%
utest/result/test_resultmodel.py,988,919,0,56,0,7%
utest/result/test_resultserializer.py,40,22,0,4,1,43%
utest/result/test_visitor.py,206,130,0,26,1,33%
utest/running/test_argumentspec.py,99,62,0,6,1,36%
utest/running/test_builder.py,142,107,0,12,1,23%
utest/running/test_importer.py,58,39,0,2,1,33%
utest/running/test_imports.py,64,47,0,4,1,26%
utest/running/test_librarykeyword.py,237,225,0,40,0,4%
utest/running/test_namespace.py,19,9,0,2,0,48%
utest/running/test_randomizer.py,74,68,0,2,0,8%
utest/running/test_resourcefile.py,80,55,0,4,1,31%
utest/running/test_run_model.py,405,379,0,42,0,6%
utest/running/test_runkwregister.py,40,20,0,2,1,50%
utest/running/test_running.py,213,203,0,2,0,5%
utest/running/test_signalhandler.py,81,54,0,2,1,34%
utest/running/test_testlibrary.py,422,412,0,26,0,2%
utest/running/test_timeouts.py,150,137,0,8,0,8%
utest/running/test_typeinfo.py,156,119,0,36,1,20%
utest/running/test_typeinfoparser.py,128,122,0,18,0,4%
utest/running/test_userkeyword.py,107,76,0,6,1,28%
utest/running/thread_resources.py,17,9,0,2,0,42%
utest/testdoc/test_jsonconverter.py,63,37,0,6,1,39%
utest/utils/test_argumentparser.py,265,239,0,12,0,9%
utest/utils/test_asserts.py,95,82,0,4,0,13%
utest/utils/test_compat.py,26,15,0,2,1,43%
utest/utils/test_compress.py,20,9,0,2,1,55%
utest/utils/test_connectioncache.py,182,172,0,14,0,5%
utest/utils/test_dotdict.py,160,153,0,2,0,4%
utest/utils/test_encoding.py,22,8,0,2,1,62%
utest/utils/test_encodingsniffer.py,44,27,0,4,2,40%
utest/utils/test_error.py,91,71,0,10,1,21%
utest/utils/test_escaping.py,169,146,0,42,1,11%
utest/utils/test_etreesource.py,57,38,0,2,1,34%
utest/utils/test_filereader.py,25,10,0,6,0,48%
utest/utils/test_frange.py,105,100,0,4,0,5%
utest/utils/test_htmlwriter.py,92,64,0,2,1,31%
utest/utils/test_importer_util.py,313,232,0,30,0,24%
utest/utils/test_markuputils.py,513,503,0,84,0,2%
utest/utils/test_match.py,65,48,0,2,1,27%
utest/utils/test_misc.py,116,110,0,24,0,4%
