File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,71,61,0,6,0,13%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,143,103,0,24,1,25%
utest/api/test_logging_api.py,71,59,0,2,0,16%
utest/api/test_run_and_rebot.py,288,272,0,6,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,16,11,0,10,1,23%
utest/conf/test_settings.py,137,123,0,38,0,8%
utest/htmldata/test_htmltemplate.py,19,9,0,4,1,48%
utest/htmldata/test_jsonwriter.py,61,36,0,2,1,41%
utest/libdoc/test_datatypes.py,11,4,0,6,1,47%
utest/libdoc/test_libdoc.py,216,131,0,18,3,38%
utest/libdoc/test_libdoc_api.py,40,25,0,2,1,38%
utest/model/test_body.py,126,107,0,2,1,16%
utest/model/test_control.py,109,73,0,14,1,30%
utest/model/test_filter.py,191,123,0,38,3,31%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,34,1,16%
utest/model/test_keyword.py,81,61,0,4,1,25%
utest/model/test_message.py,61,39,0,6,1,34%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,121,76,0,12,1,35%
utest/model/test_statistics.py,222,170,0,18,3,23%
utest/model/test_tags.py,306,235,0,32,2,22%
utest/model/test_tagstatistics.py,154,115,0,40,1,21%
utest/model/test_testcase.py,111,85,0,4,1,23%
utest/model/test_testsuite.py,164,133,0,20,1,17%
utest/output/test_console.py,88,83,0,6,0,5%
utest/output/test_filelogger.py,41,31,0,4,0,22%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,75,43,0,4,1,42%
utest/output/test_loggerhelper.py,15,5,0,2,1,65%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,764,725,0,70,0,5%
utest/parsing/test_model.py,441,333,0,18,1,24%
utest/parsing/test_statements.py,214,155,0,10,1,27%
utest/parsing/test_statements_in_invalid_position.py,173,143,0,46,1,14%
utest/parsing/test_suitestructure.py,49,42,0,4,0,13%
utest/parsing/test_tokenizer.py,198,115,0,14,3,41%
utest/parsing/test_tokens.py,31,20,0,10,1,29%
utest/reporting/test_jsbuildingcontext.py,58,31,0,4,1,45%
utest/reporting/test_jsexecutionresult.py,68,51,0,8,1,24%
utest/reporting/test_jsmodelbuilders.py,412,324,0,12,1,21%
utest/reporting/test_jswriter.py,66,46,0,8,1,28%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,115,64,0,6,1,43%
utest/reporting/test_stringcache.py,71,37,0,12,2,43%
utest/result/test_configurer.py,202,171,0,14,0,14%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
utest/result/test_resultbuilder.py,359,340,0,18,0,5%
utest/result/test_resultmodel.py,704,661,0,76,0,6%
utest/result/test_resultserializer.py,40,33,0,4,0,16%
utest/result/test_visitor.py,207,196,0,30,0,5%
utest/running/test_argumentspec.py,102,95,0,6,0,6%
utest/running/test_builder.py,142,107,0,12,1,23%
utest/running/test_importer.py,58,39,0,2,1,33%
utest/running/test_imports.py,72,49,0,2,1,32%
utest/running/test_librarykeyword.py,242,230,0,40,0,4%
utest/running/test_namespace.py,11,3,0,0,0,73%
utest/running/test_randomizer.py,61,41,0,2,1,33%
utest/running/test_resourcefile.py,102,89,0,6,0,12%
utest/running/test_run_model.py,390,364,0,46,0,6%
utest/running/test_runkwregister.py,44,31,0,2,0,28%
utest/running/test_running.py,213,203,0,2,0,5%
utest/running/test_signalhandler.py,81,54,0,2,1,34%
utest/running/test_testlibrary.py,438,428,0,42,0,2%
utest/running/test_timeouts.py,128,115,0,14,0,9%
utest/running/test_typeinfo.py,125,93,0,38,1,20%
utest/running/test_typeinfoparser.py,120,97,0,18,1,17%
utest/running/test_userkeyword.py,131,89,0,4,1,32%
utest/running/thread_resources.py,17,9,0,2,0,42%
utest/testdoc/test_jsonconverter.py,78,55,0,10,0,26%
utest/utils/test_argumentparser.py,246,175,0,24,1,27%
utest/utils/test_asserts.py,105,78,0,6,1,25%
utest/utils/test_compat.py,26,15,0,2,1,43%
utest/utils/test_compress.py,35,20,0,6,2,41%
utest/utils/test_connectioncache.py,198,157,0,20,1,19%
utest/utils/test_dotdict.py,116,92,0,10,1,20%
utest/utils/test_encoding.py,22,8,0,2,1,62%
utest/utils/test_encodingsniffer.py,44,27,0,4,2,40%
utest/utils/test_error.py,100,75,0,10,2,25%
utest/utils/test_escaping.py,84,61,0,36,0,19%
utest/utils/test_etreesource.py,110,100,0,2,0,9%
utest/utils/test_filereader.py,97,59,0,10,1,36%
utest/utils/test_frange.py,30,19,0,14,1,27%
utest/utils/test_htmlwriter.py,95,88,0,2,0,7%
utest/utils/test_importer_util.py,316,239,0,30,0,22%
utest/utils/test_markuputils.py,345,221,0,92,1,29%
utest/utils/test_match.py,166,126,0,28,1,21%
utest/utils/test_misc.py,100,62,0,26,1,31%
utest/utils/test_normalizing.py,248,195,0,20,1,20%
utest/utils/test_old_py23_compatibility_layer.py,78,59,0,2,1,25%
utest/utils/test_robotenv.py,44,26,0,6,1,38%
utest/utils/test_robotpath.py,104,80,0,26,2,20%
utest/utils/test_robottime.py,160,119,0,52,1,20%
utest/utils/test_robottypes.py,161,106,0,56,3,27%
utest/utils/test_setter.py,46,24,0,2,1,48%
utest/utils/test_sortable.py,39,25,0,2,1,37%
utest/utils/test_text.py,245,177,0,18,0,26%
utest/utils/test_unic.py,132,114,0,8,0,13%
utest/utils/test_xmlwriter.py,141,127,0,6,0,10%
utest/variables/test_isvar.py,120,101,0,40,1,12%
utest/variables/test_search.py,261,214,0,54,0,15%
utest/variables/test_variableassigner.py,53,47,0,14,0,9%
utest/variables/test_variables.py,230,181,0,30,1,19%
Total,14838,11720,0,1698,89,19%
