File,statements,missing,excluded,branches,partial,coverage
tests/client_test/aiotransmission_test/api_freespace_test.py,18,10,0,0,0,44%
tests/client_test/aiotransmission_test/api_settings_test.py,566,511,0,18,0,9%
tests/client_test/aiotransmission_test/api_status_test.py,95,70,0,0,0,26%
tests/client_test/aiotransmission_test/api_torrent_test.py,191,147,0,8,0,22%
tests/client_test/aiotransmission_test/resources_aiotransmission.py,96,70,0,26,0,21%
tests/client_test/aiotransmission_test/rpc_test.py,300,267,0,6,0,11%
tests/client_test/aiotransmission_test/torrent_test.py,65,49,0,2,0,24%
tests/client_test/base_test.py,82,63,0,0,0,23%
tests/client_test/client_utils_test.py,540,527,0,12,0,2%
tests/client_test/constants_test.py,13,9,0,0,0,31%
tests/client_test/filters_test/file_filter_test.py,29,13,0,0,0,55%
tests/client_test/filters_test/filter_helpers.py,295,268,0,32,0,8%
tests/client_test/filters_test/filter_specs_test.py,29,21,0,12,0,20%
tests/client_test/filters_test/filters_base_test.py,470,387,0,40,2,17%
tests/client_test/filters_test/peer_filter_test.py,30,13,0,0,0,57%
tests/client_test/filters_test/setting_filter_test.py,34,18,0,0,0,47%
tests/client_test/filters_test/torrent_filter_test.py,86,43,0,0,0,50%
tests/client_test/filters_test/tracker_filter_test.py,48,26,0,0,0,46%
tests/client_test/poll_test.py,160,144,0,14,0,9%
tests/client_test/sorters_test/peer_sorter_test.py,41,24,0,0,0,41%
tests/client_test/sorters_test/setting_sorter_test.py,18,9,0,0,0,50%
tests/client_test/sorters_test/sorter_helpers.py,10,5,0,2,0,42%
tests/client_test/sorters_test/sorters_base_test.py,120,100,0,4,0,16%
tests/client_test/sorters_test/torrent_sorter_test.py,106,68,0,4,0,35%
tests/client_test/sorters_test/tracker_sorter_test.py,42,25,0,0,0,40%
tests/client_test/trequestpool_test.py,168,143,0,16,0,14%
tests/client_test/ttypes_test.py,73,62,0,28,0,11%
tests/commands_test/cmdbase_test.py,86,70,0,4,0,18%
tests/commands_test/cmdmanager_test.py,378,323,0,6,0,14%
tests/commands_test/commands_utils_test.py,9,3,0,0,0,67%
tests/commands_test/config_cmds_test.py,468,457,0,8,0,2%
tests/commands_test/guess_ui_test.py,28,15,0,0,0,46%
tests/commands_test/misc_cmds_test.py,22,12,0,0,0,45%
tests/commands_test/resources_cmd.py,175,129,0,48,0,21%
tests/commands_test/torrent_cmds_test.py,712,561,0,16,0,21%
tests/commands_test/tui_cmds_test.py,259,186,0,12,0,27%
tests/completion_test/candidates_test.py,487,318,0,18,0,33%
tests/completion_test/classes_test.py,183,149,0,6,0,18%
tests/completion_test/completion_utils_test.py,77,54,0,2,0,29%
tests/settings_test/rcfile_test.py,35,25,0,0,0,29%
tests/settings_test/settings_test.py,269,210,0,6,0,21%
tests/tui_test/__init__.py,0,0,0,0,0,100%
tests/tui_test/_handle_urwidpatches.py,12,10,0,0,0,17%
tests/tui_test/cli_test.py,98,77,0,18,0,18%
tests/tui_test/completer_test.py,232,200,0,28,0,12%
tests/tui_test/group_test.py,136,112,0,0,0,18%
tests/tui_test/keymap_test.py,667,624,0,18,0,6%
tests/tui_test/resources_tui.py,7,6,0,4,0,9%
tests/tui_test/scroll_test.py,206,164,0,46,0,17%
tests/tui_test/tabs_test.py,374,316,0,10,0,15%
tests/tui_test/theme_test.py,48,31,0,0,0,35%
tests/tui_test/urwidpatches_test.py,61,45,0,10,1,24%
tests/utils_test/cliparser_test.py,1271,1128,0,40,0,11%
tests/utils_test/converter_test.py,131,102,0,4,0,21%
tests/utils_test/string_test.py,75,60,0,0,0,20%
tests/utils_test/usertypes_test.py,532,469,0,32,0,11%
tests/utils_test/utils_test.py,31,25,0,2,0,18%
Total,10794,8973,0,562,3,16%
