File,statements,missing,excluded,branches,partial,coverage
/etc/python3.10/sitecustomize.py,5,1,0,0,0,80%
cloudinit/__init__.py,0,0,0,0,0,100%
cloudinit/analyze/__init__.py,110,35,0,18,5,66%
cloudinit/analyze/dump.py,98,14,0,48,7,83%
cloudinit/analyze/show.py,156,81,0,42,2,42%
cloudinit/apport.py,96,54,0,40,3,42%
cloudinit/atomic_helper.py,46,6,0,6,0,85%
cloudinit/cloud.py,51,5,0,4,0,91%
cloudinit/cmd/__init__.py,0,0,0,0,0,100%
cloudinit/cmd/clean.py,73,7,0,32,2,91%
cloudinit/cmd/cloud_id.py,47,35,0,12,1,22%
cloudinit/cmd/devel/__init__.py,8,0,0,2,0,100%
cloudinit/cmd/devel/hotplug_hook.py,152,40,0,34,3,74%
cloudinit/cmd/devel/logs.py,127,75,0,34,3,34%
cloudinit/cmd/devel/net_convert.py,83,12,0,40,8,79%
cloudinit/cmd/devel/render.py,53,41,0,14,1,19%
cloudinit/cmd/main.py,525,229,0,190,37,54%
cloudinit/cmd/query.py,133,114,0,44,1,11%
cloudinit/cmd/status.py,197,33,0,90,9,80%
cloudinit/config/__init__.py,1,0,0,0,0,100%
cloudinit/config/cc_ansible.py,154,23,0,60,18,76%
cloudinit/config/cc_apk_configure.py,42,4,0,8,2,88%
cloudinit/config/cc_apt_configure.py,569,316,0,270,17,41%
cloudinit/config/cc_apt_pipelining.py,28,3,0,6,1,82%
cloudinit/config/cc_bootcmd.py,31,0,0,2,0,100%
cloudinit/config/cc_byobu.py,51,38,0,20,0,18%
cloudinit/config/cc_ca_certs.py,86,4,0,40,3,94%
cloudinit/config/cc_chef.py,160,53,0,68,10,64%
cloudinit/config/cc_disable_ec2_metadata.py,25,1,0,6,1,94%
cloudinit/config/cc_disk_setup.py,470,308,0,222,22,30%
cloudinit/config/cc_fan.py,43,28,0,10,0,28%
cloudinit/config/cc_final_message.py,41,5,0,6,3,83%
cloudinit/config/cc_growpart.py,308,139,0,88,17,54%
cloudinit/config/cc_grub_dpkg.py,80,14,0,22,3,83%
cloudinit/config/cc_install_hotplug.py,36,1,0,10,1,96%
cloudinit/config/cc_keyboard.py,25,2,0,4,1,90%
cloudinit/config/cc_keys_to_console.py,36,7,0,4,1,80%
cloudinit/config/cc_landscape.py,37,2,0,10,2,91%
cloudinit/config/cc_locale.py,21,3,0,4,2,80%
cloudinit/config/cc_lxd.py,202,47,0,96,15,76%
cloudinit/config/cc_mcollective.py,62,10,0,22,5,75%
cloudinit/config/cc_mounts.py,331,86,0,168,26,72%
cloudinit/config/cc_ntp.py,174,25,0,90,10,86%
cloudinit/config/cc_package_update_upgrade_install.py,69,49,0,16,0,24%
cloudinit/config/cc_phone_home.py,58,43,0,18,0,20%
cloudinit/config/cc_power_state_change.py,132,75,0,32,1,43%
cloudinit/config/cc_puppet.py,141,28,0,52,9,78%
cloudinit/config/cc_reset_rmc.py,68,46,0,8,0,29%
cloudinit/config/cc_resizefs.py,139,14,0,52,7,89%
cloudinit/config/cc_resolv_conf.py,45,2,0,18,1,95%
cloudinit/config/cc_rh_subscription.py,248,142,0,116,13,37%
cloudinit/config/cc_rightscale_userdata.py,53,35,0,14,0,27%
cloudinit/config/cc_rsyslog.py,205,53,0,90,17,74%
cloudinit/config/cc_runcmd.py,24,0,0,2,0,100%
cloudinit/config/cc_salt_minion.py,58,42,0,14,0,22%
cloudinit/config/cc_scripts_per_boot.py,21,6,0,0,0,71%
cloudinit/config/cc_scripts_per_instance.py,20,6,0,0,0,70%
cloudinit/config/cc_scripts_per_once.py,21,6,0,0,0,71%
cloudinit/config/cc_scripts_user.py,20,6,0,0,0,70%
cloudinit/config/cc_scripts_vendor.py,22,7,0,0,0,68%
cloudinit/config/cc_seed_random.py,58,4,0,22,3,91%
cloudinit/config/cc_set_hostname.py,46,2,0,12,1,95%
cloudinit/config/cc_set_passwords.py,138,116,0,56,0,11%
cloudinit/config/cc_snap.py,56,7,0,20,2,88%
cloudinit/config/cc_spacewalk.py,46,8,0,14,6,73%
cloudinit/config/cc_ssh.py,144,112,0,56,0,17%
cloudinit/config/cc_ssh_authkey_fingerprints.py,63,44,0,22,0,22%
cloudinit/config/cc_ssh_import_id.py,88,41,0,38,4,55%
cloudinit/config/cc_timezone.py,19,3,0,4,2,78%
cloudinit/config/cc_ubuntu_advantage.py,206,74,0,78,1,65%
cloudinit/config/cc_ubuntu_autoinstall.py,35,0,0,14,0,100%
cloudinit/config/cc_ubuntu_drivers.py,65,1,0,18,2,96%
cloudinit/config/cc_update_etc_hosts.py,34,6,0,12,5,76%
cloudinit/config/cc_update_hostname.py,34,20,0,8,0,33%
cloudinit/config/cc_users_groups.py,35,2,0,14,2,92%
cloudinit/config/cc_wireguard.py,105,18,0,32,7,77%
cloudinit/config/cc_write_files.py,79,4,0,34,4,93%
cloudinit/config/cc_write_files_deferred.py,19,2,0,2,1,86%
cloudinit/config/cc_yum_add_repo.py,76,8,0,30,6,87%
cloudinit/config/cc_zypper_add_repo.py,89,12,0,38,10,83%
cloudinit/config/modules.py,179,49,0,86,18,66%
cloudinit/config/schema.py,761,80,0,322,27,88%
cloudinit/distros/OpenCloudOS.py,5,0,0,0,0,100%
cloudinit/distros/TencentOS.py,5,0,0,0,0,100%
cloudinit/distros/__init__.py,692,249,0,274,44,59%
cloudinit/distros/almalinux.py,3,0,0,0,0,100%
cloudinit/distros/alpine.py,134,46,0,36,10,62%
cloudinit/distros/amazon.py,6,1,0,0,0,83%
cloudinit/distros/arch.py,149,46,0,42,4,66%
cloudinit/distros/bsd.py,95,46,0,30,4,42%
cloudinit/distros/bsd_utils.py,30,0,0,16,1,98%
cloudinit/distros/centos.py,3,0,0,0,0,100%
cloudinit/distros/cloudlinux.py,3,0,0,0,0,100%
cloudinit/distros/cos.py,3,0,0,0,0,100%
cloudinit/distros/debian.py,129,35,0,30,9,69%
cloudinit/distros/eurolinux.py,3,0,0,0,0,100%
cloudinit/distros/fedora.py,3,0,0,0,0,100%
cloudinit/distros/freebsd.py,113,67,0,18,0,35%
cloudinit/distros/gentoo.py,153,87,0,52,5,38%
cloudinit/distros/mariner.py,21,1,0,0,0,95%
cloudinit/distros/miraclelinux.py,3,0,0,0,0,100%
cloudinit/distros/net_util.py,90,19,0,76,20,70%
cloudinit/distros/netbsd.py,93,58,0,16,0,34%
cloudinit/distros/networking.py,142,33,0,16,0,77%
cloudinit/distros/openbsd.py,30,10,0,0,0,67%
cloudinit/distros/openeuler.py,5,0,0,0,0,100%
cloudinit/distros/openmandriva.py,3,0,0,0,0,100%
cloudinit/distros/opensuse-leap.py,3,0,0,0,0,100%
cloudinit/distros/opensuse-microos.py,3,0,0,0,0,100%
cloudinit/distros/opensuse-tumbleweed.py,3,0,0,0,0,100%
cloudinit/distros/opensuse.py,154,35,0,64,11,72%
cloudinit/distros/package_management/__init__.py,0,0,0,0,0,100%
cloudinit/distros/package_management/apt.py,100,33,0,34,8,60%
cloudinit/distros/package_management/package_manager.py,16,2,0,0,0,88%
cloudinit/distros/package_management/snap.py,22,11,0,2,0,46%
cloudinit/distros/package_management/utils.py,5,0,0,0,0,100%
cloudinit/distros/parsers/__init__.py,9,0,0,2,0,100%
cloudinit/distros/parsers/hostname.py,59,3,0,32,4,92%
cloudinit/distros/parsers/hosts.py,60,3,0,30,4,92%
cloudinit/distros/parsers/ifconfig.py,173,16,0,86,14,88%
cloudinit/distros/parsers/networkmanager_conf.py,8,0,0,2,1,90%
cloudinit/distros/parsers/resolv_conf.py,124,8,0,54,8,91%
cloudinit/distros/parsers/sys_conf.py,46,6,0,24,5,81%
cloudinit/distros/photon.py,85,17,0,22,4,79%
cloudinit/distros/rhel.py,111,41,0,42,12,55%
cloudinit/distros/rhel_util.py,30,4,0,12,5,79%
cloudinit/distros/rocky.py,3,0,0,0,0,100%
cloudinit/distros/sle-micro.py,3,0,0,0,0,100%
cloudinit/distros/sle_hpc.py,3,0,0,0,0,100%
cloudinit/distros/sles.py,3,0,0,0,0,100%
cloudinit/distros/ubuntu.py,19,2,0,2,0,90%
cloudinit/distros/ug_util.py,128,16,0,86,12,85%
cloudinit/distros/virtuozzo.py,3,0,0,0,0,100%
cloudinit/dmi.py,106,17,0,32,5,84%
cloudinit/event.py,30,0,0,2,0,100%
cloudinit/features.py,17,0,0,0,0,100%
cloudinit/filters/__init__.py,0,0,0,0,0,100%
cloudinit/filters/launch_index.py,39,0,0,14,0,100%
cloudinit/gpg.py,62,21,0,8,1,66%
cloudinit/handlers/__init__.py,147,22,0,44,11,83%
cloudinit/handlers/boot_hook.py,31,14,0,4,2,54%
cloudinit/handlers/cloud_config.py,93,9,0,32,4,90%
cloudinit/handlers/jinja_template.py,108,13,0,44,7,87%
cloudinit/handlers/shell_script.py,17,1,0,4,1,90%
cloudinit/handlers/shell_script_by_frequency.py,34,10,0,4,2,68%
cloudinit/helpers.py,289,60,0,90,20,76%
cloudinit/importer.py,42,0,0,26,1,99%
cloudinit/log.py,108,26,0,30,6,68%
cloudinit/mergers/__init__.py,94,19,0,40,9,75%
cloudinit/mergers/m_dict.py,50,4,0,28,1,94%
cloudinit/mergers/m_list.py,49,7,0,24,3,84%
cloudinit/mergers/m_str.py,13,3,0,4,1,76%
cloudinit/net/__init__.py,648,109,0,300,30,80%
cloudinit/net/activators.py,144,14,0,14,3,89%
cloudinit/net/bsd.py,131,28,0,54,10,79%
cloudinit/net/cmdline.py,143,12,0,74,8,89%
cloudinit/net/dhcp.py,276,36,0,96,7,83%
cloudinit/net/eni.py,324,60,0,216,18,79%
cloudinit/net/ephemeral.py,162,14,0,56,7,90%
cloudinit/net/freebsd.py,50,8,0,24,4,84%
cloudinit/net/netbsd.py,30,19,0,14,0,25%
cloudinit/net/netops/__init__.py,26,8,0,0,0,69%
cloudinit/net/netops/bsd_netops.py,31,11,0,2,0,61%
cloudinit/net/netops/iproute2.py,28,0,0,0,0,100%
cloudinit/net/netplan.py,281,47,0,142,28,79%
cloudinit/net/network_manager.py,237,8,0,114,7,96%
cloudinit/net/network_state.py,513,50,0,234,25,88%
cloudinit/net/networkd.py,200,10,0,128,8,93%
cloudinit/net/openbsd.py,44,33,0,16,0,18%
cloudinit/net/renderer.py,23,1,0,4,0,96%
cloudinit/net/renderers.py,30,4,0,16,4,83%
cloudinit/net/sysconfig.py,576,53,0,304,27,89%
cloudinit/net/udev.py,14,0,0,2,0,100%
cloudinit/netinfo.py,362,85,0,206,15,75%
cloudinit/persistence.py,11,0,0,0,0,100%
cloudinit/registry.py,18,1,0,6,1,92%
cloudinit/reporting/__init__.py,19,0,0,6,0,100%
cloudinit/reporting/events.py,132,3,0,50,3,97%
cloudinit/reporting/handlers.py,226,54,0,32,3,76%
cloudinit/safeyaml.py,118,2,0,56,3,97%
cloudinit/settings.py,9,0,0,0,0,100%
cloudinit/signal_handler.py,33,15,0,4,0,54%
cloudinit/simpletable.py,25,1,0,4,1,93%
cloudinit/sources/DataSourceAkamai.py,126,33,0,42,4,72%
cloudinit/sources/DataSourceAliYun.py,53,2,0,16,3,93%
cloudinit/sources/DataSourceAltCloud.py,117,8,0,32,3,90%
cloudinit/sources/DataSourceAzure.py,989,152,0,284,43,82%
cloudinit/sources/DataSourceBigstep.py,35,6,0,4,1,77%
cloudinit/sources/DataSourceCloudSigma.py,57,11,0,10,1,79%
cloudinit/sources/DataSourceCloudStack.py,141,34,0,36,8,72%
cloudinit/sources/DataSourceConfigDrive.py,188,42,0,58,12,71%
cloudinit/sources/DataSourceDigitalOcean.py,66,12,0,10,2,76%
cloudinit/sources/DataSourceEc2.py,487,120,0,196,26,72%
cloudinit/sources/DataSourceExoscale.py,90,16,0,12,4,80%
cloudinit/sources/DataSourceGCE.py,226,34,0,72,11,83%
cloudinit/sources/DataSourceHetzner.py,72,23,0,14,1,60%
cloudinit/sources/DataSourceIBMCloud.py,181,38,0,56,6,77%
cloudinit/sources/DataSourceLXD.py,199,34,0,68,13,82%
cloudinit/sources/DataSourceMAAS.py,239,150,0,98,10,35%
cloudinit/sources/DataSourceNWCS.py,77,28,0,16,1,54%
cloudinit/sources/DataSourceNoCloud.py,227,82,0,88,11,61%
cloudinit/sources/DataSourceNone.py,23,2,0,4,1,89%
cloudinit/sources/DataSourceOVF.py,250,36,0,98,16,83%
cloudinit/sources/DataSourceOpenNebula.py,274,21,0,108,13,90%
cloudinit/sources/DataSourceOpenStack.py,151,21,0,30,4,86%
cloudinit/sources/DataSourceOracle.py,167,78,0,60,7,50%
cloudinit/sources/DataSourceRbxCloud.py,98,34,0,20,2,61%
cloudinit/sources/DataSourceScaleway.py,204,25,0,58,7,84%
cloudinit/sources/DataSourceSmartOS.py,469,144,0,188,25,64%
cloudinit/sources/DataSourceUpCloud.py,75,10,0,8,2,86%
cloudinit/sources/DataSourceVMware.py,493,219,0,220,22,50%
cloudinit/sources/DataSourceVultr.py,61,18,0,14,3,64%
cloudinit/sources/__init__.py,581,49,0,230,27,90%
cloudinit/sources/azure/__init__.py,0,0,0,0,0,100%
cloudinit/sources/azure/errors.py,99,10,0,12,4,84%
cloudinit/sources/azure/identity.py,48,0,0,8,0,100%
cloudinit/sources/azure/imds.py,78,2,0,22,1,97%
cloudinit/sources/azure/kvp.py,28,5,0,4,2,78%
cloudinit/sources/helpers/__init__.py,0,0,0,0,0,100%
cloudinit/sources/helpers/akamai.py,22,1,0,10,2,91%
cloudinit/sources/helpers/azure.py,477,241,0,98,13,46%
cloudinit/sources/helpers/cloudsigma.py,41,21,0,4,1,47%
cloudinit/sources/helpers/digitalocean.py,100,50,0,32,3,48%
cloudinit/sources/helpers/ec2.py,140,11,0,52,8,90%
cloudinit/sources/helpers/hetzner.py,11,8,0,4,0,20%
cloudinit/sources/helpers/netlink.py,172,5,0,38,4,96%
cloudinit/sources/helpers/openstack.py,392,65,0,168,22,82%
cloudinit/sources/helpers/upcloud.py,64,18,0,26,6,67%
cloudinit/sources/helpers/vmware/__init__.py,0,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/__init__.py,0,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/boot_proto.py,3,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/config.py,90,2,0,12,2,96%
cloudinit/sources/helpers/vmware/imc/config_custom_script.py,44,1,0,2,0,98%
cloudinit/sources/helpers/vmware/imc/config_file.py,29,0,0,8,0,100%
cloudinit/sources/helpers/vmware/imc/config_nic.py,130,32,0,48,10,72%
cloudinit/sources/helpers/vmware/imc/config_passwd.py,33,26,0,18,0,14%
cloudinit/sources/helpers/vmware/imc/config_source.py,1,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/guestcust_error.py,4,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/guestcust_event.py,5,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/guestcust_state.py,3,0,0,0,0,100%
cloudinit/sources/helpers/vmware/imc/guestcust_util.py,335,123,0,106,16,58%
cloudinit/sources/helpers/vmware/imc/nic.py,84,5,0,16,4,91%
cloudinit/sources/helpers/vmware/imc/nic_base.py,44,14,0,0,0,68%
cloudinit/sources/helpers/vultr.py,119,52,0,54,9,53%
