File,statements,missing,excluded,branches,partial,coverage
/home/maquina-05/laboratory/test_smells_study/test-smells.llm.experiments.ufba.br/python/dataset/original/python/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/__init__.py,4,0,0,0,0,100%
/home/maquina-05/laboratory/test_smells_study/test-smells.llm.experiments.ufba.br/python/dataset/original/python/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/_version.py,1,0,0,0,0,100%
/home/maquina-05/laboratory/test_smells_study/test-smells.llm.experiments.ufba.br/python/dataset/original/python/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/datetime.py,66,50,0,12,0,21%
/home/maquina-05/laboratory/test_smells_study/test-smells.llm.experiments.ufba.br/python/dataset/original/python/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/introspect.py,29,24,0,12,0,12%
/home/maquina-05/laboratory/test_smells_study/test-smells.llm.experiments.ufba.br/python/dataset/original/python/grimoirelab/venv/src/grimoirelab-toolkit/grimoirelab_toolkit/uris.py,3,0,0,0,0,100%
perceval/_version.py,1,0,0,0,0,100%
perceval/archive.py,194,159,0,26,0,16%
perceval/backend.py,421,321,0,122,0,18%
perceval/backends/core/__init__.py,2,0,0,0,0,100%
perceval/backends/core/askbot.py,260,191,0,48,0,22%
perceval/backends/core/bugzilla.py,240,162,0,44,0,27%
perceval/backends/core/bugzillarest.py,220,140,0,32,0,32%
perceval/backends/core/confluence.py,192,128,0,40,0,28%
perceval/backends/core/discourse.py,174,118,0,34,0,27%
perceval/backends/core/dockerhub.py,74,34,0,2,0,53%
perceval/backends/core/gerrit.py,272,214,0,74,0,17%
perceval/backends/core/git.py,552,447,0,152,0,15%
perceval/backends/core/github.py,578,454,0,180,0,16%
perceval/backends/core/githubql.py,102,63,0,22,0,31%
perceval/backends/core/gitlab.py,342,247,0,84,0,22%
perceval/backends/core/gitter.py,145,97,0,26,0,28%
perceval/backends/core/googlehits.py,92,52,0,6,0,41%
perceval/backends/core/groupsio.py,148,99,0,18,0,30%
perceval/backends/core/hyperkitty.py,116,78,0,16,0,29%
perceval/backends/core/jenkins.py,145,98,0,26,0,27%
perceval/backends/core/jira.py,192,131,0,36,0,27%
perceval/backends/core/launchpad.py,233,157,0,48,0,27%
perceval/backends/core/mattermost.py,189,127,0,34,0,28%
perceval/backends/core/mbox.py,202,146,0,48,0,22%
perceval/backends/core/mediawiki.py,290,208,0,78,0,22%
perceval/backends/core/meetup.py,186,118,0,36,0,31%
perceval/backends/core/nntp.py,163,109,0,28,0,28%
perceval/backends/core/pagure.py,166,107,0,30,0,30%
perceval/backends/core/phabricator.py,289,209,0,86,0,21%
perceval/backends/core/pipermail.py,131,90,0,22,0,27%
perceval/backends/core/redmine.py,180,110,0,28,0,34%
perceval/backends/core/rocketchat.py,142,89,0,18,0,33%
perceval/backends/core/rss.py,62,29,0,2,0,52%
perceval/backends/core/slack.py,198,132,0,42,0,28%
perceval/backends/core/stackexchange.py,142,85,0,26,0,34%
perceval/backends/core/supybot.py,165,102,0,34,0,32%
perceval/backends/core/telegram.py,124,79,0,20,0,31%
perceval/backends/core/twitter.py,156,99,0,28,0,31%
perceval/client.py,131,88,0,32,0,26%
perceval/errors.py,29,6,0,0,0,79%
perceval/utils.py,109,90,0,28,0,14%
tests/__init__.py,0,0,0,0,0,100%
tests/test_archive.py,240,194,0,14,1,19%
tests/test_askbot.py,349,337,0,2,0,3%
tests/test_backend.py,1229,1211,0,98,0,1%
tests/test_bugzilla.py,490,478,0,30,0,2%
tests/test_bugzillarest.py,387,376,0,24,0,3%
tests/test_client.py,117,90,0,4,0,22%
tests/test_confluence.py,328,317,0,44,0,3%
tests/test_discourse.py,472,461,0,62,0,2%
tests/test_dockerhub.py,131,120,0,2,0,8%
tests/test_errors.py,49,23,0,2,1,53%
tests/test_gerrit.py,316,307,0,2,0,3%
tests/test_git.py,900,796,0,46,1,11%
tests/test_github.py,1525,1508,0,6,0,1%
tests/test_githubql.py,396,387,0,2,0,2%
tests/test_gitlab.py,991,977,0,6,0,1%
tests/test_gitter.py,258,245,0,6,0,5%
tests/test_googlehits.py,195,183,0,4,0,6%
tests/test_groupsio.py,234,156,0,10,1,32%
tests/test_hyperkitty.py,173,116,0,2,0,33%
tests/test_jenkins.py,429,419,0,32,0,2%
tests/test_jira.py,460,451,0,10,0,2%
tests/test_launchpad.py,384,374,0,2,0,3%
tests/test_mattermost.py,358,348,0,36,0,3%
tests/test_mbox.py,298,244,0,22,1,17%
tests/test_mediawiki.py,409,396,0,48,0,3%
tests/test_meetup.py,469,454,0,58,0,3%
tests/test_nntp.py,208,196,0,8,0,6%
tests/test_pagure.py,378,367,0,4,0,3%
tests/test_phabricator.py,492,481,0,46,0,2%
tests/test_pipermail.py,315,246,0,14,1,21%
tests/test_redmine.py,310,301,0,36,0,3%
tests/test_rocketchat.py,309,295,0,8,0,4%
tests/test_rss.py,136,130,0,8,0,4%
tests/test_slack.py,423,412,0,56,0,2%
tests/test_stackexchange.py,262,249,0,6,0,5%
tests/test_supybot.py,337,297,0,10,1,12%
tests/test_telegram.py,253,246,0,16,0,3%
tests/test_twitter.py,233,220,0,6,0,5%
tests/test_utils.py,121,88,0,12,1,26%
Total,23216,19983,0,2484,8,13%
