File,statements,missing,excluded,branches,partial,coverage
/etc/python3.10/sitecustomize.py,5,1,0,0,0,80%
conftest.py,90,9,0,14,6,84%
jedi/__init__.py,8,0,0,0,0,100%
jedi/api/__init__.py,308,30,6,118,18,86%
jedi/api/classes.py,298,40,15,88,20,83%
jedi/api/completion.py,380,71,0,210,24,77%
jedi/api/completion_cache.py,22,7,0,0,0,68%
jedi/api/environment.py,212,53,3,72,17,70%
jedi/api/errors.py,19,0,6,0,0,100%
jedi/api/exceptions.py,5,0,0,0,0,100%
jedi/api/file_name.py,114,51,0,58,3,51%
jedi/api/helpers.py,331,34,0,190,15,88%
jedi/api/interpreter.py,34,7,0,10,0,66%
jedi/api/keywords.py,32,21,0,4,0,31%
jedi/api/project.py,219,10,2,74,6,95%
jedi/api/refactoring/__init__.py,156,110,2,68,4,22%
jedi/api/refactoring/extract.py,239,4,0,136,9,97%
jedi/api/replstartup.py,5,0,0,0,0,100%
jedi/api/strings.py,65,3,0,36,5,92%
jedi/cache.py,66,8,0,16,4,78%
jedi/common.py,15,0,0,2,0,100%
jedi/debug.py,75,10,0,16,2,85%
jedi/file_io.py,52,10,2,6,0,83%
jedi/inference/__init__.py,108,19,0,30,4,79%
jedi/inference/analysis.py,120,73,5,46,3,31%
jedi/inference/arguments.py,211,124,9,88,13,35%
jedi/inference/base_value.py,319,105,15,58,4,63%
jedi/inference/cache.py,74,1,1,12,0,99%
jedi/inference/compiled/__init__.py,35,10,2,8,2,67%
jedi/inference/compiled/access.py,328,113,2,88,17,61%
jedi/inference/compiled/getattr_static.py,69,4,1,28,5,91%
jedi/inference/compiled/mixed.py,161,28,6,42,5,79%
jedi/inference/compiled/subprocess/__init__.py,226,21,15,38,6,90%
jedi/inference/compiled/subprocess/functions.py,150,41,1,54,8,70%
jedi/inference/compiled/value.py,382,128,10,102,16,60%
jedi/inference/context.py,291,55,4,78,15,78%
jedi/inference/docstring_utils.py,15,0,0,0,0,100%
jedi/inference/docstrings.py,136,64,0,56,5,44%
jedi/inference/dynamic_params.py,120,32,0,56,11,65%
jedi/inference/filters.py,213,34,7,34,2,84%
jedi/inference/finder.py,84,47,0,50,5,39%
jedi/inference/flow_analysis.py,84,19,2,50,8,72%
jedi/inference/gradual/__init__.py,0,0,0,0,0,100%
jedi/inference/gradual/annotation.py,236,154,4,104,6,29%
jedi/inference/gradual/base.py,233,158,19,62,0,25%
jedi/inference/gradual/conversion.py,139,24,0,86,21,79%
jedi/inference/gradual/generics.py,62,35,5,18,0,34%
jedi/inference/gradual/stub_value.py,67,13,0,12,3,80%
jedi/inference/gradual/type_var.py,84,64,6,22,0,19%
jedi/inference/gradual/typeshed.py,163,24,0,76,11,81%
jedi/inference/gradual/typing.py,245,158,6,60,0,29%
jedi/inference/gradual/utils.py,20,17,0,4,0,12%
jedi/inference/helpers.py,120,30,0,50,5,76%
jedi/inference/imports.py,287,19,2,136,11,90%
jedi/inference/lazy_value.py,35,9,2,2,0,70%
jedi/inference/names.py,456,108,9,162,31,71%
jedi/inference/param.py,127,111,3,58,0,9%
jedi/inference/parser_cache.py,4,0,0,0,0,100%
jedi/inference/recursion.py,66,23,5,6,2,60%
jedi/inference/references.py,197,83,0,96,7,54%
jedi/inference/signature.py,106,23,4,30,5,75%
jedi/inference/star_args.py,148,44,0,100,26,60%
jedi/inference/syntax_tree.py,568,290,3,324,52,44%
jedi/inference/sys_path.py,150,40,2,80,9,68%
jedi/inference/utils.py,43,12,0,4,1,68%
jedi/inference/value/__init__.py,4,0,0,0,0,100%
jedi/inference/value/decorator.py,16,10,0,4,0,30%
jedi/inference/value/dynamic_arrays.py,110,83,0,30,0,19%
jedi/inference/value/function.py,297,130,0,102,8,51%
jedi/inference/value/instance.py,345,158,10,102,10,47%
jedi/inference/value/iterable.py,385,217,10,104,9,37%
jedi/inference/value/klass.py,213,83,3,90,17,54%
jedi/inference/value/module.py,128,17,6,40,5,82%
jedi/inference/value/namespace.py,45,1,2,0,0,98%
jedi/parser_utils.py,201,26,0,104,15,84%
jedi/plugins/__init__.py,31,0,0,4,0,100%
jedi/plugins/django.py,162,98,0,64,3,30%
jedi/plugins/flask.py,11,6,0,4,1,40%
jedi/plugins/pytest.py,141,96,0,76,3,23%
jedi/plugins/registry.py,6,0,0,0,0,100%
jedi/plugins/stdlib.py,449,295,3,132,3,27%
jedi/settings.py,31,2,0,4,2,89%
jedi/utils.py,47,9,0,4,2,78%
test/__init__.py,0,0,0,0,0,100%
