File,statements,missing,excluded,branches,partial,coverage
src/main/python/pybuilder/__init__.py,14,12,0,2,0,12%
src/main/python/pybuilder/_vendor/__init__.py,1,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/__init__.py,4,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/ansi.py,73,8,0,4,0,90%
src/main/python/pybuilder/_vendor/colorama/ansitowin32.py,145,31,0,58,9,71%
src/main/python/pybuilder/_vendor/colorama/initialise.py,69,47,0,32,0,22%
src/main/python/pybuilder/_vendor/colorama/tests/__init__.py,0,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/tests/ansi_test.py,55,1,0,2,1,96%
src/main/python/pybuilder/_vendor/colorama/tests/ansitowin32_test.py,192,44,0,10,1,77%
src/main/python/pybuilder/_vendor/colorama/tests/initialise_test.py,136,86,0,12,1,34%
src/main/python/pybuilder/_vendor/colorama/tests/isatty_test.py,48,1,0,2,1,96%
src/main/python/pybuilder/_vendor/colorama/tests/utils.py,41,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/tests/winterm_test.py,89,66,0,2,1,26%
src/main/python/pybuilder/_vendor/colorama/win32.py,95,84,0,8,0,11%
src/main/python/pybuilder/_vendor/colorama/winterm.py,136,102,0,42,0,19%
Total,1098,482,0,174,14,52%
