File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,66,50,0,4,1,24%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,143,101,0,20,1,26%
utest/api/test_logging_api.py,67,41,0,2,1,39%
utest/api/test_run_and_rebot.py,288,272,0,6,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,16,11,0,10,1,23%
utest/conf/test_settings.py,131,95,0,38,1,22%
utest/htmldata/test_htmltemplate.py,19,9,0,4,1,48%
utest/htmldata/test_jsonwriter.py,67,58,0,2,0,13%
utest/libdoc/test_datatypes.py,11,3,0,2,1,69%
utest/libdoc/test_libdoc.py,168,95,0,8,1,42%
utest/libdoc/test_libdoc_api.py,40,25,0,2,1,38%
utest/model/test_body.py,126,107,0,2,1,16%
utest/model/test_control.py,119,82,0,4,2,32%
utest/model/test_filter.py,126,76,0,2,1,40%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,34,1,16%
utest/model/test_keyword.py,81,61,0,4,1,25%
utest/model/test_message.py,76,48,0,4,2,38%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,177,111,0,12,2,36%
utest/model/test_statistics.py,156,129,0,8,0,16%
utest/model/test_tags.py,133,127,0,22,0,4%
utest/model/test_tagstatistics.py,147,112,0,34,1,20%
utest/model/test_testcase.py,28,18,0,2,1,37%
utest/model/test_testsuite.py,94,56,0,8,2,39%
utest/output/test_console.py,84,55,0,4,1,34%
utest/output/test_filelogger.py,37,23,0,2,1,38%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,158,141,0,8,0,10%
utest/output/test_loggerhelper.py,15,5,0,2,1,65%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,543,383,0,10,1,29%
utest/parsing/test_model.py,403,294,0,16,2,26%
utest/parsing/test_statements.py,214,155,0,10,1,27%
utest/parsing/test_statements_in_invalid_position.py,109,74,0,24,1,27%
utest/parsing/test_suitestructure.py,46,29,0,4,1,36%
utest/parsing/test_tokenizer.py,174,104,0,10,1,39%
utest/parsing/test_tokens.py,95,90,0,4,0,5%
utest/reporting/test_jsbuildingcontext.py,57,31,0,4,1,44%
utest/reporting/test_jsexecutionresult.py,68,51,0,8,1,24%
utest/reporting/test_jsmodelbuilders.py,368,289,0,10,1,21%
utest/reporting/test_jswriter.py,66,45,0,6,1,31%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,131,78,0,2,1,41%
utest/reporting/test_stringcache.py,52,28,0,8,1,42%
utest/result/test_configurer.py,144,93,0,8,1,34%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
utest/result/test_resultbuilder.py,323,248,0,14,1,23%
utest/result/test_resultmodel.py,651,603,0,56,0,7%
utest/result/test_resultserializer.py,40,22,0,4,1,43%
utest/result/test_visitor.py,199,150,0,28,1,22%
utest/running/test_argumentspec.py,104,66,0,6,1,35%
utest/running/test_builder.py,142,107,0,12,1,23%
utest/running/test_importer.py,58,39,0,2,1,33%
utest/running/test_imports.py,64,47,0,4,1,26%
utest/running/test_librarykeyword.py,260,248,0,32,0,4%
utest/running/test_namespace.py,11,3,0,0,0,73%
utest/running/test_randomizer.py,61,41,0,2,1,33%
utest/running/test_resourcefile.py,80,55,0,4,1,31%
utest/running/test_run_model.py,394,369,0,44,0,6%
utest/running/test_runkwregister.py,40,20,0,2,1,50%
utest/running/test_running.py,213,203,0,2,0,5%
utest/running/test_signalhandler.py,81,54,0,2,1,34%
utest/running/test_testlibrary.py,449,439,0,22,0,2%
utest/running/test_timeouts.py,150,137,0,6,0,8%
utest/running/test_typeinfo.py,46,35,0,6,0,21%
utest/running/test_typeinfoparser.py,97,91,0,14,0,5%
utest/running/test_userkeyword.py,131,106,0,4,0,19%
utest/running/thread_resources.py,17,9,0,2,0,42%
utest/testdoc/test_jsonconverter.py,63,37,0,6,1,39%
utest/utils/test_argumentparser.py,277,219,0,18,0,20%
utest/utils/test_asserts.py,129,101,0,4,1,22%
utest/utils/test_compat.py,26,15,0,2,1,43%
utest/utils/test_compress.py,20,9,0,2,1,55%
utest/utils/test_connectioncache.py,99,74,0,6,1,25%
utest/utils/test_dotdict.py,116,92,0,10,1,20%
utest/utils/test_encoding.py,22,8,0,2,1,62%
utest/utils/test_encodingsniffer.py,44,27,0,4,2,40%
utest/utils/test_error.py,98,69,0,10,2,29%
utest/utils/test_escaping.py,144,108,0,34,1,21%
utest/utils/test_etreesource.py,57,38,0,2,1,34%
utest/utils/test_filereader.py,104,61,0,10,1,39%
utest/utils/test_frange.py,75,70,0,2,0,6%
utest/utils/test_htmlwriter.py,92,64,0,2,1,31%
utest/utils/test_importer_util.py,322,255,0,18,0,20%
utest/utils/test_markuputils.py,374,319,0,78,1,12%
utest/utils/test_match.py,138,90,0,4,2,35%
utest/utils/test_misc.py,137,131,0,22,0,4%
