File,statements,missing,excluded,branches,partial,coverage
SoftLayer/API.py,234,187,0,66,0,16%
SoftLayer/CLI/__init__.py,1,0,0,0,0,100%
SoftLayer/CLI/call_api.py,87,60,0,30,0,23%
SoftLayer/CLI/command.py,153,117,0,72,0,16%
SoftLayer/CLI/config/__init__.py,30,26,0,2,0,12%
SoftLayer/CLI/config/setup.py,157,133,0,44,0,12%
SoftLayer/CLI/core.py,119,81,0,26,2,28%
SoftLayer/CLI/custom_types.py,12,8,0,2,0,29%
SoftLayer/CLI/dns/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/dns/zone_import.py,65,50,0,20,0,18%
SoftLayer/CLI/environment.py,132,98,0,48,0,19%
SoftLayer/CLI/exceptions.py,15,7,0,0,0,53%
SoftLayer/CLI/formatting.py,315,256,0,144,0,13%
SoftLayer/CLI/helpers.py,20,10,0,6,1,42%
SoftLayer/CLI/routes.py,2,0,0,0,0,100%
SoftLayer/CLI/template.py,37,30,0,18,0,13%
SoftLayer/CLI/ticket/__init__.py,36,30,0,12,0,12%
SoftLayer/__init__.py,12,0,0,0,0,100%
SoftLayer/auth.py,48,28,0,2,0,40%
SoftLayer/config.py,48,36,0,16,0,19%
SoftLayer/consts.py,7,0,0,0,0,100%
SoftLayer/decoration.py,24,13,0,4,0,39%
SoftLayer/exceptions.py,33,11,0,0,0,67%
SoftLayer/fixtures/SoftLayer_Account.py,50,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Hardware_Server.py,40,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Network_LBaaS_LoadBalancer.py,8,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Network_Storage.py,22,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Network_Storage_Allowed_Host.py,6,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Network_Vlan.py,7,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Product_Order.py,10,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Product_Package.py,31,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Search.py,4,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_User_Customer.py,23,0,0,0,0,100%
SoftLayer/fixtures/SoftLayer_Virtual_DedicatedHost.py,5,0,0,0,0,100%
