File,statements,missing,excluded,branches,partial,coverage
tests/client_test/aiotransmission_test/api_freespace_test.py,18,10,0,0,0,44%
tests/client_test/aiotransmission_test/api_settings_test.py,566,511,0,18,0,9%
tests/client_test/aiotransmission_test/api_status_test.py,95,66,0,0,0,31%
tests/client_test/aiotransmission_test/api_torrent_test.py,213,170,0,8,0,19%
tests/client_test/aiotransmission_test/resources_aiotransmission.py,96,70,0,26,0,21%
tests/client_test/aiotransmission_test/rpc_test.py,300,267,0,6,0,11%
tests/client_test/aiotransmission_test/torrent_test.py,65,49,0,2,0,24%
tests/client_test/base_test.py,50,42,0,2,0,15%
tests/client_test/client_utils_test.py,537,433,0,18,0,19%
tests/client_test/constants_test.py,13,9,0,0,0,31%
tests/client_test/filters_test/file_filter_test.py,29,13,0,0,0,55%
tests/client_test/filters_test/filter_helpers.py,295,268,0,32,0,8%
tests/client_test/filters_test/filter_specs_test.py,30,24,0,12,0,14%
tests/client_test/filters_test/filters_base_test.py,376,312,0,14,0,16%
tests/client_test/filters_test/peer_filter_test.py,30,13,0,0,0,57%
tests/client_test/filters_test/setting_filter_test.py,34,18,0,0,0,47%
tests/client_test/filters_test/torrent_filter_test.py,86,43,0,0,0,50%
tests/client_test/filters_test/tracker_filter_test.py,48,26,0,0,0,46%
tests/client_test/poll_test.py,67,56,0,4,0,15%
tests/client_test/sorters_test/peer_sorter_test.py,41,24,0,0,0,41%
tests/client_test/sorters_test/setting_sorter_test.py,18,9,0,0,0,50%
tests/client_test/sorters_test/sorter_helpers.py,10,5,0,2,0,42%
tests/client_test/sorters_test/sorters_base_test.py,120,100,0,4,0,16%
tests/client_test/sorters_test/torrent_sorter_test.py,106,68,0,4,0,35%
tests/client_test/sorters_test/tracker_sorter_test.py,42,25,0,0,0,40%
tests/client_test/trequestpool_test.py,185,161,0,16,0,12%
tests/client_test/ttypes_test.py,44,31,0,20,0,20%
tests/commands_test/cmdbase_test.py,52,40,0,2,0,22%
tests/commands_test/cmdmanager_test.py,392,335,0,10,0,14%
tests/commands_test/commands_utils_test.py,9,3,0,0,0,67%
tests/commands_test/config_cmds_test.py,454,319,0,10,0,29%
tests/commands_test/guess_ui_test.py,28,15,0,0,0,46%
tests/commands_test/misc_cmds_test.py,31,22,0,0,0,29%
tests/commands_test/resources_cmd.py,175,129,0,48,0,21%
tests/commands_test/torrent_cmds_test.py,716,565,0,16,0,21%
tests/commands_test/tui_cmds_test.py,215,148,0,18,0,29%
tests/completion_test/candidates_test.py,487,318,0,18,0,33%
tests/completion_test/classes_test.py,171,138,0,12,0,18%
tests/completion_test/completion_utils_test.py,77,54,0,2,0,29%
tests/settings_test/rcfile_test.py,35,25,0,0,0,29%
tests/settings_test/settings_test.py,218,179,0,12,0,17%
tests/tui_test/__init__.py,0,0,0,0,0,100%
tests/tui_test/_handle_urwidpatches.py,12,10,0,0,0,17%
tests/tui_test/cli_test.py,81,63,0,12,0,19%
tests/tui_test/completer_test.py,292,250,0,48,0,12%
tests/tui_test/group_test.py,136,112,0,0,0,18%
tests/tui_test/keymap_test.py,679,596,0,30,0,12%
tests/tui_test/resources_tui.py,7,6,0,4,0,9%
tests/tui_test/scroll_test.py,231,181,0,46,1,18%
tests/tui_test/tabs_test.py,374,316,0,10,0,15%
tests/tui_test/theme_test.py,48,31,0,0,0,35%
tests/tui_test/urwidpatches_test.py,32,25,0,8,0,18%
tests/utils_test/cliparser_test.py,1283,1098,0,66,0,14%
tests/utils_test/converter_test.py,116,100,0,4,0,13%
tests/utils_test/string_test.py,75,60,0,0,0,20%
tests/utils_test/usertypes_test.py,472,385,0,48,0,17%
tests/utils_test/utils_test.py,26,20,0,4,0,20%
Total,10438,8366,0,616,1,19%
