Module,statements,missing,excluded,branches,partial,coverage
awscli/__init__.py,14,4,0,4,1,61%
awscli/alias.py,109,69,0,28,0,29%
awscli/argparser.py,94,63,0,34,0,24%
awscli/argprocess.py,248,181,0,124,2,22%
awscli/arguments.py,240,73,0,46,2,65%
awscli/bcdoc/__init__.py,1,0,0,0,0,100%
awscli/bcdoc/docevents.py,35,33,0,22,0,4%
awscli/bcdoc/docstringparser.py,119,71,0,30,0,32%
awscli/bcdoc/restdoc.py,116,68,0,32,0,32%
awscli/bcdoc/style.py,288,198,0,66,0,25%
awscli/bcdoc/textwriter.py,556,335,0,82,0,35%
awscli/clidocs.py,546,449,0,180,0,13%
awscli/clidriver.py,348,127,0,66,4,60%
awscli/commands.py,20,6,0,2,0,73%
awscli/compat.py,267,197,0,124,2,18%
awscli/completer.py,98,81,0,64,1,11%
awscli/customizations/__init__.py,1,0,0,0,0,100%
awscli/customizations/addexamples.py,18,13,0,4,0,23%
awscli/customizations/argrename.py,21,0,0,8,0,100%
awscli/customizations/arguments.py,103,32,0,28,2,59%
awscli/customizations/assumerole.py,18,9,0,0,0,50%
awscli/customizations/awslambda.py,64,25,0,18,1,49%
awscli/customizations/binaryhoist.py,48,14,0,12,0,60%
awscli/customizations/cliinputjson.py,32,13,0,10,0,50%
awscli/customizations/cloudformation/__init__.py,7,0,0,0,0,100%
awscli/customizations/cloudformation/artifact_exporter.py,320,166,0,90,0,38%
awscli/customizations/cloudformation/deploy.py,77,53,0,24,0,24%
awscli/customizations/cloudformation/deployer.py,92,74,0,26,0,15%
awscli/customizations/cloudformation/exceptions.py,24,3,0,0,0,88%
awscli/customizations/cloudformation/package.py,47,28,0,10,0,33%
awscli/customizations/cloudformation/yamlhelper.py,40,26,0,8,0,29%
awscli/customizations/cloudfront.py,94,35,0,20,0,57%
awscli/customizations/cloudsearch.py,23,13,0,14,0,27%
awscli/customizations/cloudsearchdomain.py,6,2,0,2,0,50%
awscli/customizations/cloudtrail/__init__.py,8,0,0,0,0,100%
awscli/customizations/cloudtrail/subscribe.py,162,129,0,55,0,15%
awscli/customizations/cloudtrail/utils.py,11,8,0,4,0,20%
awscli/customizations/cloudtrail/validation.py,402,304,0,119,0,19%
awscli/customizations/codeartifact/__init__.py,5,0,0,0,0,100%
awscli/customizations/codeartifact/login.py,361,271,0,104,0,19%
awscli/customizations/codecommit.py,102,51,0,14,0,44%
awscli/customizations/codedeploy/__init__.py,0,0,0,0,0,100%
awscli/customizations/codedeploy/codedeploy.py,21,0,0,0,0,100%
awscli/customizations/codedeploy/deregister.py,79,64,0,22,0,15%
awscli/customizations/codedeploy/install.py,50,35,0,10,0,25%
awscli/customizations/codedeploy/locationargs.py,45,22,0,16,0,38%
awscli/customizations/codedeploy/push.py,98,72,0,34,0,20%
awscli/customizations/codedeploy/register.py,62,46,0,6,0,24%
awscli/customizations/codedeploy/systems.py,109,71,0,28,0,28%
awscli/customizations/codedeploy/uninstall.py,32,21,0,2,0,32%
awscli/customizations/codedeploy/utils.py,66,46,0,40,0,19%
awscli/customizations/commands.py,229,103,0,72,4,48%
