File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,66,50,0,4,1,24%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,175,165,0,28,0,5%
utest/api/test_logging_api.py,67,41,0,2,1,39%
utest/api/test_run_and_rebot.py,288,272,0,6,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,16,11,0,10,1,23%
utest/conf/test_settings.py,49,38,0,4,0,21%
utest/htmldata/test_htmltemplate.py,28,15,0,4,1,44%
utest/htmldata/test_jsonwriter.py,30,23,0,2,0,22%
utest/libdoc/test_datatypes.py,10,3,0,2,1,67%
utest/libdoc/test_libdoc.py,164,91,0,2,1,45%
utest/libdoc/test_libdoc_api.py,40,25,0,2,1,38%
utest/model/test_body.py,126,107,0,2,1,16%
utest/model/test_control.py,116,106,0,4,0,8%
utest/model/test_filter.py,126,76,0,2,1,40%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,34,1,16%
utest/model/test_keyword.py,19,11,0,2,1,43%
utest/model/test_message.py,61,39,0,6,1,34%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,134,109,0,12,0,17%
utest/model/test_statistics.py,149,129,0,10,0,13%
utest/model/test_tags.py,163,127,0,20,0,20%
utest/model/test_tagstatistics.py,153,115,0,40,1,20%
utest/model/test_testcase.py,126,89,0,8,1,28%
utest/model/test_testsuite.py,49,39,0,10,0,17%
utest/output/test_console.py,84,55,0,4,1,34%
utest/output/test_filelogger.py,37,23,0,2,1,38%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,58,42,0,2,0,27%
utest/output/test_loggerhelper.py,15,5,0,2,1,65%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,513,361,0,12,1,29%
utest/parsing/test_model.py,319,231,0,10,0,27%
utest/parsing/test_statements.py,214,155,0,10,1,27%
utest/parsing/test_statements_in_invalid_position.py,88,82,0,30,0,5%
utest/parsing/test_suitestructure.py,46,29,0,4,1,36%
utest/parsing/test_tokenizer.py,174,104,0,10,1,39%
utest/parsing/test_tokens.py,34,23,0,10,1,27%
utest/reporting/test_jsbuildingcontext.py,57,30,0,6,1,44%
utest/reporting/test_jsexecutionresult.py,68,51,0,8,1,24%
utest/reporting/test_jsmodelbuilders.py,345,271,0,10,1,21%
utest/reporting/test_jswriter.py,81,57,0,20,1,25%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,121,72,0,12,1,38%
utest/reporting/test_stringcache.py,57,46,0,8,0,17%
utest/result/test_configurer.py,189,143,0,12,1,23%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
utest/result/test_resultbuilder.py,308,236,0,14,1,23%
utest/result/test_resultmodel.py,484,397,0,80,0,15%
utest/result/test_resultserializer.py,40,22,0,4,1,43%
utest/result/test_visitor.py,124,114,0,22,0,7%
utest/running/test_argumentspec.py,102,64,0,8,1,35%
utest/running/test_builder.py,84,57,0,6,1,31%
utest/running/test_importer.py,58,39,0,2,1,33%
utest/running/test_imports.py,64,47,0,4,1,26%
utest/running/test_librarykeyword.py,237,225,0,40,0,4%
utest/running/test_namespace.py,11,3,0,0,0,73%
utest/running/test_randomizer.py,61,41,0,2,1,33%
utest/running/test_resourcefile.py,80,55,0,4,1,31%
utest/running/test_run_model.py,311,224,0,44,1,25%
utest/running/test_runkwregister.py,40,20,0,2,1,50%
utest/running/test_running.py,213,203,0,2,0,5%
utest/running/test_signalhandler.py,81,54,0,2,1,34%
utest/running/test_testlibrary.py,400,390,0,40,0,2%
utest/running/test_timeouts.py,115,74,0,12,1,33%
utest/running/test_typeinfo.py,18,8,0,6,1,46%
utest/running/test_typeinfoparser.py,13,6,0,4,1,47%
utest/running/test_userkeyword.py,127,89,0,4,1,30%
utest/running/thread_resources.py,17,9,0,2,0,42%
utest/testdoc/test_jsonconverter.py,63,37,0,6,1,39%
utest/utils/test_argumentparser.py,169,159,0,20,0,5%
utest/utils/test_asserts.py,105,78,0,6,1,25%
utest/utils/test_compat.py,26,15,0,2,1,43%
utest/utils/test_compress.py,20,9,0,2,1,55%
utest/utils/test_connectioncache.py,16,7,0,2,1,56%
utest/utils/test_dotdict.py,116,92,0,10,1,20%
utest/utils/test_encoding.py,22,8,0,2,1,62%
utest/utils/test_encodingsniffer.py,44,27,0,4,2,40%
utest/utils/test_error.py,101,77,0,8,1,23%
utest/utils/test_escaping.py,64,39,0,32,1,27%
utest/utils/test_etreesource.py,57,38,0,2,1,34%
utest/utils/test_filereader.py,90,75,0,12,0,15%
utest/utils/test_frange.py,68,52,0,4,1,24%
utest/utils/test_htmlwriter.py,92,64,0,2,1,31%
utest/utils/test_importer_util.py,313,249,0,36,0,18%
utest/utils/test_markuputils.py,305,202,0,76,1,27%
utest/utils/test_match.py,82,59,0,2,1,29%
utest/utils/test_misc.py,85,54,0,24,1,29%
