File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,71,57,0,2,1,21%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,143,103,0,24,1,25%
utest/api/test_logging_api.py,65,40,0,2,1,39%
utest/api/test_run_and_rebot.py,288,272,0,6,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,16,11,0,10,1,23%
utest/conf/test_settings.py,20,8,0,2,1,59%
utest/htmldata/test_htmltemplate.py,19,9,0,4,1,48%
utest/htmldata/test_jsonwriter.py,30,23,0,2,0,22%
utest/libdoc/test_datatypes.py,11,4,0,6,1,47%
utest/libdoc/test_libdoc.py,214,175,0,8,0,18%
utest/libdoc/test_libdoc_api.py,40,25,0,2,1,38%
utest/model/test_body.py,126,107,0,2,1,16%
utest/model/test_control.py,109,73,0,14,1,30%
utest/model/test_filter.py,193,185,0,2,0,4%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,34,1,16%
utest/model/test_keyword.py,81,61,0,4,1,25%
utest/model/test_message.py,61,39,0,6,1,34%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,121,76,0,12,1,35%
utest/model/test_statistics.py,161,147,0,8,0,8%
utest/model/test_tags.py,171,136,0,26,1,18%
utest/model/test_tagstatistics.py,156,136,0,40,0,10%
utest/model/test_testcase.py,111,85,0,4,1,23%
utest/model/test_testsuite.py,164,133,0,20,1,17%
utest/output/test_console.py,85,81,0,4,0,4%
utest/output/test_filelogger.py,36,23,0,2,1,37%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,97,70,0,4,1,28%
utest/output/test_loggerhelper.py,15,5,0,2,1,65%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,533,492,0,12,0,8%
utest/parsing/test_model.py,441,333,0,18,1,24%
utest/parsing/test_statements.py,214,155,0,10,1,27%
utest/parsing/test_statements_in_invalid_position.py,173,143,0,46,1,14%
utest/parsing/test_suitestructure.py,87,82,0,2,0,6%
utest/parsing/test_tokenizer.py,193,132,0,10,0,30%
utest/parsing/test_tokens.py,31,20,0,10,1,29%
utest/reporting/test_jsbuildingcontext.py,72,47,0,4,1,34%
utest/reporting/test_jsexecutionresult.py,68,65,0,8,0,4%
utest/reporting/test_jsmodelbuilders.py,398,331,0,12,0,16%
utest/reporting/test_jswriter.py,66,46,0,8,1,28%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,137,85,0,6,1,37%
utest/reporting/test_stringcache.py,55,44,0,8,0,17%
utest/result/test_configurer.py,149,121,0,10,0,18%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
