File,statements,missing,excluded,branches,partial,coverage
src/main/python/pybuilder/__init__.py,14,12,0,2,0,12%
src/main/python/pybuilder/_vendor/__init__.py,1,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/__init__.py,4,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/ansi.py,73,8,0,4,0,90%
src/main/python/pybuilder/_vendor/colorama/ansitowin32.py,145,31,0,64,9,71%
src/main/python/pybuilder/_vendor/colorama/initialise.py,69,47,0,34,0,23%
src/main/python/pybuilder/_vendor/colorama/tests/__init__.py,0,0,0,0,0,100%
src/main/python/pybuilder/_vendor/colorama/tests/ansi_test.py,55,1,0,2,1,96%
src/main/python/pybuilder/_vendor/colorama/tests/ansitowin32_test.py,192,44,0,49,10,72%
src/main/python/pybuilder/_vendor/colorama/tests/initialise_test.py,136,92,0,62,5,37%
src/main/python/pybuilder/_vendor/colorama/tests/isatty_test.py,43,1,0,18,1,97%
src/main/python/pybuilder/_vendor/colorama/tests/utils.py,41,0,0,10,0,100%
src/main/python/pybuilder/_vendor/colorama/tests/winterm_test.py,89,66,0,18,1,37%
src/main/python/pybuilder/_vendor/colorama/win32.py,95,84,0,14,2,12%
src/main/python/pybuilder/_vendor/colorama/winterm.py,136,102,0,42,0,19%
Total,1093,488,0,319,29,53%
