File,statements,missing,excluded,branches,partial,coverage
conftest.py,90,40,0,22,2,46%
jedi/__init__.py,8,0,0,0,0,100%
jedi/api/__init__.py,308,235,6,148,0,16%
jedi/api/classes.py,298,200,15,124,0,24%
jedi/api/completion.py,380,326,0,233,0,9%
jedi/api/completion_cache.py,22,11,0,0,0,50%
jedi/api/environment.py,212,160,3,79,0,18%
jedi/api/errors.py,19,7,6,2,0,57%
jedi/api/exceptions.py,5,0,0,0,0,100%
jedi/api/file_name.py,114,103,0,62,0,6%
jedi/api/helpers.py,331,280,0,198,0,10%
jedi/api/interpreter.py,34,16,0,14,0,38%
jedi/api/keywords.py,32,21,0,6,0,29%
jedi/api/project.py,219,158,2,90,2,20%
jedi/api/refactoring/__init__.py,156,133,2,80,0,10%
jedi/api/refactoring/extract.py,239,211,0,143,0,7%
jedi/api/replstartup.py,5,0,0,0,0,100%
jedi/api/strings.py,65,49,0,37,0,16%
jedi/cache.py,66,40,0,18,1,32%
jedi/common.py,15,11,0,4,0,21%
jedi/debug.py,75,39,0,22,1,38%
jedi/file_io.py,52,29,2,10,0,37%
jedi/inference/__init__.py,108,77,0,32,0,22%
jedi/inference/analysis.py,120,98,5,48,0,13%
jedi/inference/arguments.py,211,158,9,92,0,17%
jedi/inference/base_value.py,319,196,15,94,1,30%
jedi/inference/cache.py,74,44,1,12,0,35%
jedi/inference/compiled/__init__.py,35,25,2,8,0,23%
jedi/inference/compiled/access.py,328,249,2,118,0,18%
jedi/inference/compiled/getattr_static.py,69,58,1,28,0,11%
jedi/inference/compiled/mixed.py,161,113,6,50,0,23%
jedi/inference/compiled/subprocess/__init__.py,226,168,15,46,0,21%
jedi/inference/compiled/subprocess/functions.py,150,119,1,58,0,15%
jedi/inference/compiled/value.py,382,258,10,125,1,25%
jedi/inference/context.py,291,196,4,81,0,26%
jedi/inference/docstring_utils.py,15,7,0,0,0,53%
jedi/inference/docstrings.py,136,111,0,72,0,12%
jedi/inference/dynamic_params.py,120,95,0,61,0,14%
jedi/inference/filters.py,213,114,7,55,0,38%
jedi/inference/finder.py,84,71,0,54,0,9%
jedi/inference/flow_analysis.py,84,65,2,54,0,14%
jedi/inference/gradual/__init__.py,0,0,0,0,0,100%
jedi/inference/gradual/annotation.py,236,200,4,114,0,10%
jedi/inference/gradual/base.py,233,158,19,66,0,25%
jedi/inference/gradual/conversion.py,139,123,0,102,0,7%
jedi/inference/gradual/generics.py,62,35,5,24,0,31%
jedi/inference/gradual/stub_value.py,67,41,0,12,0,33%
jedi/inference/gradual/type_var.py,84,64,6,24,0,19%
jedi/inference/gradual/typeshed.py,163,131,0,84,0,13%
jedi/inference/gradual/typing.py,245,158,6,74,0,27%
jedi/inference/gradual/utils.py,20,17,0,4,0,12%
jedi/inference/helpers.py,120,96,0,52,0,14%
jedi/inference/imports.py,287,239,2,151,0,11%
jedi/inference/lazy_value.py,35,17,2,6,0,44%
jedi/inference/names.py,456,316,9,174,0,22%
jedi/inference/param.py,127,111,3,64,0,8%
jedi/inference/parser_cache.py,4,1,0,0,0,75%
jedi/inference/recursion.py,66,42,5,6,0,33%
jedi/inference/references.py,197,167,0,114,0,10%
jedi/inference/signature.py,106,71,4,32,0,25%
jedi/inference/star_args.py,148,134,0,102,0,6%
jedi/inference/syntax_tree.py,568,506,3,353,0,7%
jedi/inference/sys_path.py,150,127,2,86,0,10%
jedi/inference/utils.py,43,17,0,6,1,55%
jedi/inference/value/__init__.py,4,0,0,0,0,100%
jedi/inference/value/decorator.py,16,10,0,6,0,27%
jedi/inference/value/dynamic_arrays.py,110,83,0,34,0,19%
jedi/inference/value/function.py,297,216,0,128,0,19%
jedi/inference/value/instance.py,345,223,10,130,0,26%
jedi/inference/value/iterable.py,385,256,10,140,0,25%
jedi/inference/value/klass.py,213,156,3,106,0,18%
jedi/inference/value/module.py,128,83,6,42,0,26%
jedi/inference/value/namespace.py,45,18,2,0,0,60%
jedi/parser_utils.py,201,164,0,111,0,12%
jedi/plugins/__init__.py,31,1,0,4,0,97%
jedi/plugins/django.py,162,103,0,82,0,24%
jedi/plugins/flask.py,11,8,0,4,0,20%
jedi/plugins/pytest.py,141,109,0,93,0,14%
jedi/plugins/registry.py,6,0,0,0,0,100%
jedi/plugins/stdlib.py,449,303,3,179,1,23%
jedi/settings.py,31,2,0,4,2,89%
jedi/utils.py,47,23,0,10,1,44%
test/__init__.py,0,0,0,0,0,100%
test/conftest.py,86,29,0,38,1,61%
test/helpers.py,31,13,0,2,0,55%
test/refactor.py,68,15,3,30,5,73%
test/run.py,284,159,5,120,7,40%
test/test_api/__init__.py,0,0,0,0,0,100%
test/test_api/test_analysis.py,6,5,0,2,0,12%
test/test_api/test_api.py,208,171,0,44,0,15%
test/test_api/test_api_classes_follow_definition.py,37,27,0,8,0,22%
test/test_api/test_call_signatures.py,290,225,0,40,0,20%
test/test_api/test_classes.py,313,258,0,54,0,15%
test/test_api/test_completion.py,172,122,0,44,0,23%
test/test_api/test_context.py,19,9,0,4,0,43%
test/test_api/test_documentation.py,65,40,0,0,0,38%
test/test_api/test_environment.py,93,71,0,22,0,19%
test/test_api/test_full_name.py,74,54,0,10,0,24%
test/test_api/test_interpreter.py,486,402,2,78,0,15%
test/test_api/test_keyword.py,32,28,0,4,0,11%
test/test_api/test_names.py,71,52,0,6,0,25%
test/test_api/test_project.py,56,38,0,10,0,27%
test/test_api/test_refactoring.py,61,45,0,8,0,23%
test/test_api/test_search.py,23,11,0,6,0,41%
test/test_api/test_settings.py,7,5,0,0,0,29%
test/test_api/test_signatures.py,32,23,0,8,0,22%
test/test_api/test_syntax_errors.py,22,15,0,0,0,32%
test/test_api/test_unicode.py,44,37,0,4,0,15%
test/test_api/test_usages.py,23,17,0,10,0,18%
test/test_cache.py,12,10,0,4,0,12%
test/test_debug.py,7,4,1,0,0,43%
test/test_file_io.py,22,17,0,6,0,18%
test/test_inference/__init__.py,0,0,0,0,0,100%
test/test_inference/test_annotations.py,16,10,0,6,0,27%
test/test_inference/test_buildout_detection.py,39,27,0,0,0,31%
test/test_inference/test_compiled.py,89,63,0,6,0,27%
test/test_inference/test_context.py,15,13,0,0,0,13%
test/test_inference/test_docstring.py,181,122,0,34,0,27%
test/test_inference/test_extension.py,34,24,0,10,0,23%
test/test_inference/test_fstring.py,5,3,0,0,0,40%
test/test_inference/test_gradual/__init__.py,0,0,0,0,0,100%
test/test_inference/test_gradual/test_conversion.py,64,53,0,0,0,17%
test/test_inference/test_gradual/test_stub_loading.py,19,7,0,2,0,57%
test/test_inference/test_gradual/test_stubs.py,37,28,0,22,0,15%
test/test_inference/test_gradual/test_typeshed.py,153,124,0,12,0,18%
test/test_inference/test_implicit_namespace_package.py,64,56,0,16,0,10%
test/test_inference/test_imports.py,262,202,0,56,0,19%
test/test_inference/test_literals.py,23,17,0,2,0,24%
test/test_inference/test_mixed.py,65,53,0,2,0,18%
test/test_inference/test_namespace_package.py,45,30,0,6,0,29%
test/test_inference/test_precedence.py,8,4,0,0,0,50%
test/test_inference/test_pyc.py,39,28,0,10,0,22%
test/test_inference/test_representation.py,14,10,0,2,0,25%
test/test_inference/test_signature.py,87,59,0,26,0,25%
test/test_inference/test_stdlib.py,40,31,0,8,0,19%
test/test_inference/test_sys_path.py,41,27,0,6,0,30%
test/test_integration.py,58,46,0,20,0,15%
test/test_parso_integration/__init__.py,0,0,0,0,0,100%
test/test_parso_integration/test_basic.py,35,25,0,4,0,26%
test/test_parso_integration/test_error_correction.py,20,15,0,2,0,23%
test/test_parso_integration/test_parser_utils.py,54,38,0,6,0,27%
test/test_settings.py,23,14,0,2,0,36%
test/test_utils.py,80,57,0,12,0,27%
Total,16303,11908,231,5937,26,20%
