Module,statements,missing,excluded,branches,partial,coverage
cloudinit/__init__.py,0,0,0,0,0,100%
cloudinit/analyze/__init__.py,110,94,0,20,1,13%
cloudinit/analyze/dump.py,98,84,0,50,1,10%
cloudinit/analyze/show.py,156,124,0,46,0,17%
cloudinit/apport.py,97,76,0,42,0,15%
cloudinit/atomic_helper.py,46,29,0,6,1,35%
cloudinit/cloud.py,51,17,0,4,1,64%
cloudinit/cmd/__init__.py,0,0,0,0,0,100%
cloudinit/cmd/clean.py,74,55,0,32,1,19%
cloudinit/cmd/cloud_id.py,48,35,0,16,1,22%
cloudinit/cmd/devel/__init__.py,9,5,0,2,0,36%
cloudinit/cmd/devel/hotplug_hook.py,153,112,0,38,1,22%
cloudinit/cmd/devel/logs.py,128,94,0,40,1,21%
cloudinit/cmd/devel/net_convert.py,84,68,0,42,1,13%
cloudinit/cmd/devel/render.py,54,41,0,18,1,19%
cloudinit/cmd/main.py,525,474,0,200,1,7%
cloudinit/cmd/query.py,134,114,0,44,1,12%
cloudinit/cmd/status.py,198,143,0,98,1,20%
cloudinit/config/__init__.py,1,0,0,0,0,100%
cloudinit/config/cc_ansible.py,154,110,0,66,0,20%
cloudinit/config/cc_apk_configure.py,43,26,0,8,0,33%
cloudinit/config/cc_apt_configure.py,570,498,0,282,0,8%
cloudinit/config/cc_apt_pipelining.py,29,12,0,7,0,47%
cloudinit/config/cc_bootcmd.py,32,18,0,4,0,39%
cloudinit/config/cc_byobu.py,52,38,0,20,0,19%
cloudinit/config/cc_ca_certs.py,87,62,0,40,0,21%
cloudinit/config/cc_chef.py,161,118,0,70,0,19%
cloudinit/config/cc_disable_ec2_metadata.py,26,11,0,6,0,47%
cloudinit/config/cc_disk_setup.py,471,421,0,231,0,7%
cloudinit/config/cc_fan.py,44,28,0,10,0,30%
cloudinit/config/cc_final_message.py,42,26,0,10,0,31%
cloudinit/config/cc_growpart.py,309,249,0,98,0,15%
cloudinit/config/cc_grub_dpkg.py,81,62,0,26,0,18%
cloudinit/config/cc_install_hotplug.py,37,20,0,10,0,36%
cloudinit/config/cc_keyboard.py,26,12,0,4,0,47%
cloudinit/config/cc_keys_to_console.py,37,21,0,4,0,39%
cloudinit/config/cc_landscape.py,38,18,0,12,0,40%
cloudinit/config/cc_locale.py,22,9,0,4,0,50%
cloudinit/config/cc_lxd.py,203,180,0,100,0,8%
cloudinit/config/cc_mcollective.py,63,42,0,22,0,25%
cloudinit/config/cc_mounts.py,332,295,0,176,0,7%
cloudinit/config/cc_ntp.py,175,143,0,92,0,13%
cloudinit/config/cc_package_update_upgrade_install.py,70,49,0,16,0,24%
cloudinit/config/cc_phone_home.py,59,43,0,18,0,21%
cloudinit/config/cc_power_state_change.py,133,106,0,34,0,16%
cloudinit/config/cc_puppet.py,142,114,0,58,0,14%
cloudinit/config/cc_reset_rmc.py,69,46,0,8,0,30%
cloudinit/config/cc_resizefs.py,140,110,0,52,0,16%
cloudinit/config/cc_resolv_conf.py,46,31,0,18,0,23%
cloudinit/config/cc_rh_subscription.py,249,218,0,116,0,8%
cloudinit/config/cc_rightscale_userdata.py,53,35,0,14,0,27%
cloudinit/config/cc_rsyslog.py,206,171,0,92,0,12%
cloudinit/config/cc_runcmd.py,25,10,0,2,0,56%
cloudinit/config/cc_salt_minion.py,59,42,0,16,0,23%
cloudinit/config/cc_scripts_per_boot.py,22,6,0,0,0,73%
cloudinit/config/cc_scripts_per_instance.py,21,6,0,0,0,71%
cloudinit/config/cc_scripts_per_once.py,22,6,0,0,0,73%
cloudinit/config/cc_scripts_user.py,21,6,0,0,0,71%
cloudinit/config/cc_scripts_vendor.py,23,7,0,0,0,70%
cloudinit/config/cc_seed_random.py,59,41,0,22,0,22%
cloudinit/config/cc_set_hostname.py,47,29,0,12,0,31%
cloudinit/config/cc_set_passwords.py,139,116,0,64,0,12%
cloudinit/config/cc_snap.py,57,38,0,22,0,24%
cloudinit/config/cc_spacewalk.py,47,29,0,14,0,30%
cloudinit/config/cc_ssh.py,145,112,0,66,0,17%
cloudinit/config/cc_ssh_authkey_fingerprints.py,64,44,0,22,0,23%
cloudinit/config/cc_ssh_import_id.py,89,70,0,40,0,15%
cloudinit/config/cc_timezone.py,20,7,0,4,0,54%
cloudinit/config/cc_ubuntu_advantage.py,207,178,0,82,0,10%
cloudinit/config/cc_ubuntu_autoinstall.py,36,20,0,14,0,32%
cloudinit/config/cc_ubuntu_drivers.py,66,42,0,23,0,27%
cloudinit/config/cc_update_etc_hosts.py,35,21,0,12,0,30%
cloudinit/config/cc_update_hostname.py,35,20,0,8,0,35%
cloudinit/config/cc_users_groups.py,36,21,0,18,0,28%
cloudinit/config/cc_wireguard.py,106,81,0,32,0,18%
cloudinit/config/cc_write_files.py,80,59,0,36,0,18%
cloudinit/config/cc_write_files_deferred.py,20,6,0,4,0,58%
cloudinit/config/cc_yum_add_repo.py,77,54,0,32,0,21%
cloudinit/config/cc_zypper_add_repo.py,90,69,0,42,0,16%
cloudinit/config/modules.py,179,148,0,88,0,12%
cloudinit/config/schema.py,762,461,0,373,11,37%
cloudinit/distros/__init__.py,692,541,0,289,2,16%
cloudinit/distros/alpine.py,134,99,0,36,0,21%
cloudinit/distros/amazon.py,6,1,0,0,0,83%
cloudinit/distros/arch.py,149,116,0,44,0,17%
cloudinit/distros/bsd.py,95,62,0,30,0,26%
cloudinit/distros/bsd_utils.py,30,25,0,16,0,11%
cloudinit/distros/centos.py,3,0,0,0,0,100%
cloudinit/distros/debian.py,129,94,0,32,0,22%
cloudinit/distros/freebsd.py,113,75,0,18,0,29%
cloudinit/distros/mariner.py,21,1,0,0,0,95%
cloudinit/distros/net_util.py,90,88,0,76,0,1%
cloudinit/distros/netbsd.py,93,67,0,16,0,24%
cloudinit/distros/networking.py,142,78,0,18,0,40%
cloudinit/distros/opensuse.py,154,111,0,64,1,20%
cloudinit/distros/package_management/__init__.py,0,0,0,0,0,100%
cloudinit/distros/package_management/apt.py,100,73,0,43,0,19%
cloudinit/distros/package_management/package_manager.py,16,3,0,0,0,81%
cloudinit/distros/package_management/snap.py,22,11,0,2,0,46%
cloudinit/distros/package_management/utils.py,5,0,0,0,0,100%
cloudinit/distros/parsers/__init__.py,9,8,0,6,0,7%
cloudinit/distros/parsers/hostname.py,59,49,0,32,0,11%
cloudinit/distros/parsers/hosts.py,60,50,0,32,0,11%
cloudinit/distros/parsers/ifconfig.py,173,143,0,86,0,12%
cloudinit/distros/parsers/networkmanager_conf.py,8,4,0,2,0,40%
cloudinit/distros/parsers/resolv_conf.py,124,102,0,54,0,12%
cloudinit/distros/parsers/sys_conf.py,46,34,0,30,0,16%
cloudinit/distros/photon.py,85,56,0,22,0,27%
cloudinit/distros/rhel.py,111,79,0,42,0,21%
cloudinit/distros/rhel_util.py,30,24,0,12,0,14%
cloudinit/distros/ubuntu.py,19,10,0,2,0,43%
cloudinit/distros/ug_util.py,128,121,0,86,0,3%
cloudinit/dmi.py,106,71,0,34,7,31%
cloudinit/event.py,31,16,0,4,0,43%
cloudinit/features.py,18,1,0,2,0,85%
cloudinit/filters/__init__.py,0,0,0,0,0,100%
cloudinit/filters/launch_index.py,39,29,0,14,0,19%
cloudinit/gpg.py,63,51,0,10,0,16%
cloudinit/handlers/__init__.py,147,115,0,50,0,17%
cloudinit/handlers/boot_hook.py,31,21,0,6,0,27%
cloudinit/handlers/cloud_config.py,93,74,0,34,0,15%
cloudinit/handlers/jinja_template.py,108,79,0,48,0,19%
cloudinit/handlers/shell_script.py,17,10,0,4,0,33%
cloudinit/handlers/shell_script_by_frequency.py,34,21,0,4,0,34%
cloudinit/helpers.py,289,200,0,96,1,23%
cloudinit/importer.py,42,15,0,26,4,54%
cloudinit/log.py,108,58,0,40,3,36%
cloudinit/mergers/__init__.py,94,65,0,42,2,26%
cloudinit/net/__init__.py,648,563,0,316,0,9%
cloudinit/net/activators.py,144,71,0,24,0,43%
cloudinit/net/bsd.py,131,105,0,56,0,14%
cloudinit/net/cmdline.py,143,113,0,78,0,14%
cloudinit/net/dhcp.py,276,219,0,108,0,15%
cloudinit/net/eni.py,324,297,0,228,0,5%
cloudinit/net/ephemeral.py,163,131,0,56,0,15%
cloudinit/net/freebsd.py,50,39,0,24,0,15%
cloudinit/net/netbsd.py,30,20,0,14,0,23%
cloudinit/net/netops/__init__.py,26,8,0,0,0,69%
cloudinit/net/netops/bsd_netops.py,31,11,0,2,0,61%
cloudinit/net/netops/iproute2.py,28,8,0,0,0,71%
cloudinit/net/netplan.py,281,253,0,156,0,6%
cloudinit/net/network_manager.py,237,190,0,118,0,13%
cloudinit/net/network_state.py,513,425,0,251,1,12%
cloudinit/net/networkd.py,200,175,0,128,0,8%
cloudinit/net/openbsd.py,44,34,0,16,0,17%
cloudinit/net/renderer.py,23,8,0,8,1,52%
cloudinit/net/renderers.py,30,24,0,18,0,12%
cloudinit/net/sysconfig.py,576,489,0,310,0,10%
cloudinit/net/udev.py,14,10,0,2,0,25%
cloudinit/netinfo.py,362,340,0,206,0,4%
cloudinit/persistence.py,11,6,0,0,0,45%
cloudinit/registry.py,18,3,0,6,3,75%
cloudinit/reporting/__init__.py,20,4,0,6,1,73%
cloudinit/reporting/events.py,133,74,0,54,5,34%
cloudinit/reporting/handlers.py,226,155,0,38,1,27%
cloudinit/safeyaml.py,118,91,0,58,0,15%
cloudinit/settings.py,9,0,0,0,0,100%
cloudinit/signal_handler.py,33,20,0,4,0,35%
cloudinit/simpletable.py,25,17,0,12,0,22%
cloudinit/sources/DataSourceAkamai.py,126,93,0,46,0,19%
cloudinit/sources/DataSourceAliYun.py,53,28,0,16,0,36%
cloudinit/sources/DataSourceAltCloud.py,118,95,0,36,0,15%
