File,statements,missing,excluded,branches,partial,coverage
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/__init__.py,0,0,0,0,0,100%
/home/janderjunior/laboratory/1-msc/experiments/testSmells/test-smells.llm.experiments.ufba.br/python/__init__.py,0,0,0,0,0,100%
spotipy/__init__.py,5,0,0,0,0,100%
spotipy/cache_handler.py,97,45,0,8,1,52%
spotipy/client.py,576,434,0,220,0,18%
spotipy/exceptions.py,11,8,0,2,0,23%
spotipy/oauth2.py,571,259,0,170,23,51%
spotipy/util.py,45,26,0,22,2,34%
tests/__init__.py,0,0,0,0,0,100%
tests/unit/__init__.py,0,0,0,0,0,100%
tests/unit/test_oauth.py,358,2,0,4,0,99%
Total,1663,774,0,426,26,46%
