File,statements,missing,excluded,branches,partial,coverage
teletext/__init__.py,0,0,0,0,0,100%
teletext/__main__.py,3,3,0,2,0,0%
teletext/celp.py,162,159,0,38,0,2%
teletext/charset.py,4,0,0,0,0,100%
teletext/cli/__init__.py,0,0,0,0,0,100%
teletext/cli/celp.py,22,19,0,2,0,12%
teletext/cli/clihelpers.py,181,91,0,94,5,39%
teletext/cli/teletext.py,419,260,0,190,1,26%
teletext/cli/training.py,89,44,0,20,0,41%
teletext/cli/vbi.py,104,55,0,26,0,38%
teletext/coding.py,56,8,0,6,0,87%
teletext/elements.py,385,138,0,62,7,58%
teletext/file.py,71,26,0,28,9,59%
teletext/finders.py,20,6,0,8,1,54%
teletext/gui/__init__.py,0,0,0,0,0,100%
teletext/gui/classify.py,165,165,0,40,0,0%
teletext/gui/decoder.py,108,108,0,18,0,0%
teletext/gui/editor.py,73,73,0,24,0,0%
teletext/gui/qthelpers.py,15,15,0,10,0,0%
teletext/gui/service.py,51,51,0,16,0,0%
teletext/gui/vbiplot.py,73,73,0,12,0,0%
teletext/image.py,69,69,0,12,0,0%
teletext/interactive.py,162,162,0,70,0,0%
teletext/mp.py,178,17,0,50,3,89%
teletext/packet.py,129,64,0,52,2,44%
teletext/parser.py,112,65,0,64,7,32%
teletext/pipeline.py,93,78,0,80,0,9%
teletext/printer.py,70,45,0,24,2,29%
teletext/service.py,108,108,0,42,0,0%
teletext/servicedir.py,37,37,0,10,0,0%
teletext/sigint.py,21,0,0,4,2,92%
teletext/spellcheck.py,39,8,0,30,2,77%
teletext/stats.py,74,39,0,16,0,41%
teletext/subpage.py,162,88,0,72,4,38%
teletext/ts.py,32,32,0,22,0,0%
teletext/vbi/__init__.py,0,0,0,0,0,100%
teletext/vbi/clustering.py,52,52,0,26,0,0%
teletext/vbi/config.py,47,4,0,10,1,88%
teletext/vbi/line.py,196,103,0,63,8,41%
teletext/vbi/pattern.py,90,68,0,32,0,20%
teletext/vbi/patterncuda.py,33,30,0,2,0,9%
teletext/vbi/patternopencl.py,44,42,0,6,0,4%
teletext/vbi/training.py,138,101,0,53,1,21%
teletext/vbi/viewer.py,181,181,0,72,0,0%
Total,4068,2687,0,1408,55,29%
