File,statements,missing,excluded,branches,partial,coverage
utest/api/test_deco.py,66,50,0,22,1,19%
utest/api/test_exposed_api.py,60,35,0,6,1,39%
utest/api/test_languages.py,143,103,0,24,1,25%
utest/api/test_logging_api.py,67,41,0,2,1,39%
utest/api/test_run_and_rebot.py,288,272,0,8,0,5%
utest/api/test_using_libraries.py,23,9,0,2,1,60%
utest/api/test_zipsafe.py,16,11,0,12,1,21%
utest/conf/test_settings.py,131,95,0,38,1,22%
utest/htmldata/test_htmltemplate.py,19,9,0,4,1,48%
utest/htmldata/test_jsonwriter.py,59,36,0,4,1,38%
utest/libdoc/test_datatypes.py,11,4,0,6,1,47%
utest/libdoc/test_libdoc.py,168,95,0,10,1,42%
utest/libdoc/test_libdoc_api.py,40,25,0,10,1,32%
utest/model/test_body.py,126,107,0,4,1,15%
utest/model/test_control.py,97,63,0,10,1,33%
utest/model/test_filter.py,126,76,0,2,1,40%
utest/model/test_fixture.py,24,14,0,2,1,42%
utest/model/test_itemlist.py,345,286,0,44,1,15%
utest/model/test_keyword.py,82,61,0,4,1,26%
utest/model/test_message.py,61,39,0,6,1,34%
utest/model/test_metadata.py,30,22,0,2,1,28%
utest/model/test_modelobject.py,123,76,0,18,1,34%
utest/model/test_statistics.py,161,128,0,10,1,20%
utest/model/test_tags.py,300,233,0,36,1,20%
utest/model/test_tagstatistics.py,153,115,0,40,1,20%
utest/model/test_testcase.py,111,85,0,8,1,23%
utest/model/test_testsuite.py,164,133,0,20,1,17%
utest/output/test_console.py,84,55,0,8,1,35%
utest/output/test_filelogger.py,37,23,0,2,1,38%
utest/output/test_listeners.py,121,67,0,12,1,41%
utest/output/test_logger.py,122,90,0,8,1,25%
utest/output/test_loggerhelper.py,15,5,0,4,1,58%
utest/output/test_pylogging.py,84,55,0,2,0,34%
utest/output/test_stdout_splitter.py,63,44,0,4,1,30%
utest/parsing/parsing_test_utils.py,56,42,0,24,0,18%
utest/parsing/test_lexer.py,542,383,0,22,1,29%
utest/parsing/test_model.py,441,333,0,30,1,25%
utest/parsing/test_statements.py,214,155,0,13,1,26%
utest/parsing/test_statements_in_invalid_position.py,173,143,0,88,1,12%
utest/parsing/test_suitestructure.py,46,29,0,4,1,36%
utest/parsing/test_tokenizer.py,174,104,0,10,1,39%
utest/parsing/test_tokens.py,31,20,0,10,1,29%
utest/reporting/test_jsbuildingcontext.py,57,31,0,6,1,43%
utest/reporting/test_jsexecutionresult.py,68,51,0,12,1,22%
utest/reporting/test_jsmodelbuilders.py,392,313,0,18,1,20%
utest/reporting/test_jswriter.py,66,46,0,8,1,28%
utest/reporting/test_logreportwriters.py,23,12,0,2,1,48%
utest/reporting/test_reporting.py,132,80,0,6,1,38%
utest/reporting/test_stringcache.py,52,28,0,10,1,40%
utest/result/test_configurer.py,189,143,0,12,1,23%
utest/result/test_executionerrors.py,12,4,0,2,1,64%
utest/result/test_keywordremover.py,35,22,0,8,1,33%
utest/result/test_resultbuilder.py,314,243,0,22,1,23%
utest/result/test_resultmodel.py,627,510,0,74,1,17%
utest/result/test_resultserializer.py,40,22,0,6,1,41%
utest/result/test_visitor.py,199,150,0,28,1,22%
utest/running/test_argumentspec.py,99,62,0,8,1,36%
utest/running/test_builder.py,142,107,0,12,1,23%
utest/running/test_importer.py,58,39,0,2,1,33%
utest/running/test_imports.py,64,47,0,4,1,26%
utest/running/test_librarykeyword.py,237,225,0,40,0,4%
utest/running/test_namespace.py,11,3,0,2,0,62%
utest/running/test_randomizer.py,61,41,0,2,1,33%
utest/running/test_resourcefile.py,80,55,0,4,1,31%
utest/running/test_run_model.py,383,277,0,62,1,26%
utest/running/test_runkwregister.py,40,20,0,4,1,48%
utest/running/test_running.py,213,203,0,4,0,5%
utest/running/test_signalhandler.py,81,54,0,6,1,32%
utest/running/test_testlibrary.py,394,384,0,34,0,2%
utest/running/test_timeouts.py,124,78,0,14,1,34%
utest/running/test_typeinfo.py,125,93,0,40,1,20%
utest/running/test_typeinfoparser.py,120,97,0,18,1,17%
utest/running/test_userkeyword.py,127,89,0,4,1,30%
utest/running/thread_resources.py,17,9,0,2,0,42%
utest/testdoc/test_jsonconverter.py,63,37,0,8,1,41%
