Module,statements,missing,excluded,branches,partial,coverage
reactivex/__init__.py,140,66,21,0,0,53%
reactivex/_version.py,1,0,0,0,0,100%
reactivex/abc/__init__.py,8,0,0,0,0,100%
reactivex/abc/disposable.py,13,2,1,0,0,85%
reactivex/abc/observable.py,12,0,1,0,0,100%
reactivex/abc/observer.py,16,0,3,0,0,100%
reactivex/abc/periodicscheduler.py,12,0,1,0,0,100%
reactivex/abc/scheduler.py,30,0,7,0,0,100%
reactivex/abc/startable.py,6,0,1,0,0,100%
reactivex/abc/subject.py,18,0,4,0,0,100%
reactivex/disposable/__init__.py,9,0,0,0,0,100%
reactivex/disposable/booleandisposable.py,9,4,0,0,0,56%
reactivex/disposable/compositedisposable.py,54,40,0,26,0,18%
reactivex/disposable/disposable.py,20,11,0,6,0,35%
reactivex/disposable/multipleassignmentdisposable.py,28,19,0,12,0,22%
reactivex/disposable/refcountdisposable.py,53,40,0,26,0,16%
reactivex/disposable/scheduleddisposable.py,18,9,0,0,0,50%
reactivex/disposable/serialdisposable.py,32,23,0,14,0,20%
reactivex/disposable/singleassignmentdisposable.py,30,21,0,14,0,20%
reactivex/internal/__init__.py,7,0,0,0,0,100%
reactivex/internal/basic.py,18,8,0,2,0,50%
reactivex/internal/concurrency.py,15,7,0,2,0,47%
reactivex/internal/constants.py,3,0,0,0,0,100%
reactivex/internal/exceptions.py,19,6,0,0,0,68%
reactivex/internal/priorityqueue.py,31,16,0,6,0,41%
reactivex/internal/utils.py,37,11,0,2,1,69%
reactivex/notification.py,79,46,2,6,0,39%
reactivex/observable/__init__.py,4,0,0,0,0,100%
reactivex/observable/connectableobservable.py,43,33,0,6,0,20%
reactivex/observable/groupedobservable.py,15,6,0,0,0,60%
reactivex/observable/marbles.py,113,96,0,46,0,11%
reactivex/observable/observable.py,85,43,7,10,0,44%
reactivex/observer/__init__.py,5,0,0,0,0,100%
reactivex/observer/autodetachobserver.py,42,28,0,8,0,28%
reactivex/observer/observeonobserver.py,13,6,0,0,0,54%
reactivex/observer/observer.py,51,29,0,10,1,38%
