File,statements,missing,excluded,branches,partial,coverage
/etc/python3.10/sitecustomize.py,5,1,0,0,0,80%
conftest.py,90,9,0,22,6,85%
jedi/__init__.py,8,0,0,0,0,100%
jedi/api/__init__.py,308,30,6,148,18,85%
jedi/api/classes.py,298,40,15,124,21,83%
jedi/api/completion.py,380,71,0,233,27,77%
jedi/api/completion_cache.py,22,7,0,0,0,68%
jedi/api/environment.py,212,51,3,79,17,69%
jedi/api/errors.py,19,0,6,2,0,100%
jedi/api/exceptions.py,5,0,0,0,0,100%
jedi/api/file_name.py,114,51,0,62,4,52%
jedi/api/helpers.py,331,34,0,198,15,88%
jedi/api/interpreter.py,34,7,0,14,0,65%
jedi/api/keywords.py,32,21,0,6,0,29%
jedi/api/project.py,219,10,2,90,6,95%
jedi/api/refactoring/__init__.py,156,110,2,80,4,22%
jedi/api/refactoring/extract.py,239,4,0,143,9,97%
jedi/api/replstartup.py,5,0,0,0,0,100%
jedi/api/strings.py,65,3,0,37,5,92%
jedi/cache.py,66,8,0,18,4,79%
jedi/common.py,15,0,0,4,0,100%
jedi/debug.py,75,10,0,22,2,86%
jedi/file_io.py,52,10,2,10,0,84%
jedi/inference/__init__.py,108,19,0,32,4,78%
jedi/inference/analysis.py,120,73,5,48,3,31%
jedi/inference/arguments.py,211,124,9,92,13,35%
jedi/inference/base_value.py,319,105,15,94,4,62%
jedi/inference/cache.py,74,1,1,12,0,99%
jedi/inference/compiled/__init__.py,35,10,2,8,2,67%
jedi/inference/compiled/access.py,328,113,2,118,19,60%
jedi/inference/compiled/getattr_static.py,69,4,1,28,5,91%
jedi/inference/compiled/mixed.py,161,28,6,50,5,79%
jedi/inference/compiled/subprocess/__init__.py,226,21,15,46,7,90%
jedi/inference/compiled/subprocess/functions.py,150,41,1,58,9,70%
jedi/inference/compiled/value.py,382,128,10,125,16,59%
jedi/inference/context.py,291,69,4,81,12,73%
jedi/inference/docstring_utils.py,15,0,0,0,0,100%
jedi/inference/docstrings.py,136,64,0,72,6,46%
jedi/inference/dynamic_params.py,120,32,0,61,11,66%
jedi/inference/filters.py,213,34,7,55,2,84%
jedi/inference/finder.py,84,59,0,54,1,25%
jedi/inference/flow_analysis.py,84,19,2,54,8,72%
jedi/inference/gradual/__init__.py,0,0,0,0,0,100%
jedi/inference/gradual/annotation.py,236,154,4,114,6,29%
jedi/inference/gradual/base.py,233,158,19,66,0,25%
jedi/inference/gradual/conversion.py,139,24,0,102,21,78%
jedi/inference/gradual/generics.py,62,35,5,24,0,31%
jedi/inference/gradual/stub_value.py,67,13,0,12,3,80%
jedi/inference/gradual/type_var.py,84,64,6,24,0,19%
jedi/inference/gradual/typeshed.py,163,24,0,84,11,81%
jedi/inference/gradual/typing.py,245,158,6,74,0,27%
jedi/inference/gradual/utils.py,20,17,0,4,0,12%
jedi/inference/helpers.py,120,32,0,52,5,74%
jedi/inference/imports.py,287,19,2,151,11,90%
jedi/inference/lazy_value.py,35,9,2,6,0,68%
jedi/inference/names.py,456,111,9,174,33,70%
jedi/inference/param.py,127,111,3,64,0,8%
jedi/inference/parser_cache.py,4,0,0,0,0,100%
jedi/inference/recursion.py,66,23,5,6,2,60%
jedi/inference/references.py,197,83,0,114,7,52%
jedi/inference/signature.py,106,23,4,32,5,74%
jedi/inference/star_args.py,148,44,0,102,27,60%
jedi/inference/syntax_tree.py,568,305,3,353,48,41%
jedi/inference/sys_path.py,150,40,2,86,9,69%
jedi/inference/utils.py,43,12,0,6,1,69%
jedi/inference/value/__init__.py,4,0,0,0,0,100%
jedi/inference/value/decorator.py,16,10,0,6,0,27%
jedi/inference/value/dynamic_arrays.py,110,83,0,34,0,19%
jedi/inference/value/function.py,297,130,0,128,8,49%
jedi/inference/value/instance.py,345,158,10,130,10,46%
jedi/inference/value/iterable.py,385,217,10,140,9,34%
jedi/inference/value/klass.py,213,83,3,106,17,56%
jedi/inference/value/module.py,128,17,6,42,5,82%
jedi/inference/value/namespace.py,45,1,2,0,0,98%
jedi/parser_utils.py,201,26,0,111,15,83%
jedi/plugins/__init__.py,31,0,0,4,0,100%
jedi/plugins/django.py,162,98,0,82,3,27%
jedi/plugins/flask.py,11,6,0,4,1,40%
jedi/plugins/pytest.py,141,96,0,93,3,22%
jedi/plugins/registry.py,6,0,0,0,0,100%
jedi/plugins/stdlib.py,449,295,3,179,4,25%
