Module,statements,missing,excluded,branches,partial,coverage
awscli/__init__.py,14,0,0,4,0,100%
awscli/alias.py,109,1,0,28,0,99%
awscli/argparser.py,94,6,0,34,2,92%
awscli/argprocess.py,248,14,0,124,8,94%
awscli/arguments.py,240,12,0,46,0,95%
awscli/bcdoc/__init__.py,1,0,0,0,0,100%
awscli/bcdoc/docevents.py,35,0,0,22,0,100%
awscli/bcdoc/docstringparser.py,119,2,0,30,2,97%
awscli/bcdoc/restdoc.py,116,1,0,32,2,98%
awscli/bcdoc/style.py,288,17,0,66,7,92%
awscli/bcdoc/textwriter.py,556,290,0,82,3,43%
awscli/clidocs.py,546,4,0,180,9,98%
awscli/clidriver.py,348,14,0,66,3,96%
awscli/commands.py,20,2,0,2,0,91%
awscli/compat.py,267,123,0,124,6,49%
awscli/completer.py,98,17,0,64,8,82%
awscli/customizations/__init__.py,1,0,0,0,0,100%
awscli/customizations/addexamples.py,18,0,0,4,0,100%
awscli/customizations/argrename.py,21,0,0,8,0,100%
awscli/customizations/arguments.py,103,0,0,28,0,100%
awscli/customizations/assumerole.py,18,0,0,0,0,100%
awscli/customizations/awslambda.py,64,1,0,18,2,96%
awscli/customizations/binaryhoist.py,48,1,0,12,1,97%
awscli/customizations/cliinputjson.py,32,0,0,10,0,100%
awscli/customizations/cloudformation/__init__.py,7,0,0,0,0,100%
awscli/customizations/cloudformation/artifact_exporter.py,320,4,0,90,3,98%
awscli/customizations/cloudformation/deploy.py,77,0,0,24,0,100%
awscli/customizations/cloudformation/deployer.py,92,3,0,26,3,93%
awscli/customizations/cloudformation/exceptions.py,24,0,0,0,0,100%
awscli/customizations/cloudformation/package.py,47,9,0,10,3,72%
awscli/customizations/cloudformation/yamlhelper.py,40,0,0,8,0,100%
awscli/customizations/cloudfront.py,94,1,0,20,1,98%
awscli/customizations/cloudsearch.py,23,2,0,14,2,89%
awscli/customizations/cloudsearchdomain.py,6,0,0,2,0,100%
awscli/customizations/cloudtrail/__init__.py,8,0,0,0,0,100%
awscli/customizations/cloudtrail/subscribe.py,162,36,0,55,10,73%
awscli/customizations/cloudtrail/utils.py,11,0,0,4,0,100%
awscli/customizations/cloudtrail/validation.py,402,8,0,119,5,98%
awscli/customizations/codeartifact/__init__.py,5,0,0,0,0,100%
awscli/customizations/codeartifact/login.py,361,9,0,104,4,97%
awscli/customizations/codecommit.py,102,3,0,14,1,97%
awscli/customizations/codedeploy/__init__.py,0,0,0,0,0,100%
awscli/customizations/codedeploy/codedeploy.py,21,0,0,0,0,100%
awscli/customizations/codedeploy/deregister.py,79,12,0,22,0,82%
awscli/customizations/codedeploy/install.py,50,6,0,10,1,85%
awscli/customizations/codedeploy/locationargs.py,45,1,0,16,0,98%
awscli/customizations/codedeploy/push.py,98,3,0,34,5,91%
awscli/customizations/codedeploy/register.py,62,3,0,6,0,96%
awscli/customizations/codedeploy/systems.py,109,15,0,28,9,80%
awscli/customizations/codedeploy/uninstall.py,32,6,0,2,0,76%
awscli/customizations/codedeploy/utils.py,66,0,0,40,1,99%
awscli/customizations/commands.py,229,2,0,72,2,99%
awscli/customizations/configservice/__init__.py,0,0,0,0,0,100%
awscli/customizations/configservice/getstatus.py,58,0,0,14,1,99%
awscli/customizations/configservice/putconfigurationrecorder.py,29,0,0,8,0,100%
awscli/customizations/configservice/rename_cmd.py,5,0,0,0,0,100%
awscli/customizations/configservice/subscribe.py,83,0,0,8,0,100%
awscli/customizations/configure/__init__.py,24,0,0,7,0,100%
awscli/customizations/configure/addmodel.py,37,0,0,10,1,98%
awscli/customizations/configure/configure.py,67,0,0,24,0,100%
awscli/customizations/configure/get.py,65,1,0,22,2,97%
awscli/customizations/configure/list.py,52,4,0,12,1,92%
awscli/customizations/configure/set.py,57,0,0,26,3,96%
awscli/customizations/configure/writer.py,116,1,0,56,2,98%
awscli/customizations/datapipeline/__init__.py,186,19,0,64,8,88%
