File,statements,missing,excluded,branches,partial,coverage
teletext/__init__.py,0,0,0,0,0,100%
teletext/__main__.py,3,3,0,2,0,0%
teletext/celp.py,162,162,0,38,0,0%
teletext/charset.py,4,0,0,0,0,100%
teletext/cli/__init__.py,0,0,0,0,0,100%
teletext/cli/celp.py,22,22,0,2,0,0%
teletext/cli/clihelpers.py,181,181,0,94,0,0%
teletext/cli/teletext.py,419,419,0,190,0,0%
teletext/cli/training.py,89,89,0,20,0,0%
teletext/cli/vbi.py,104,104,0,26,0,0%
teletext/coding.py,56,23,0,6,0,56%
teletext/elements.py,385,198,0,62,2,42%
teletext/file.py,71,59,0,28,0,12%
teletext/finders.py,20,6,0,8,1,54%
teletext/gui/__init__.py,0,0,0,0,0,100%
teletext/gui/classify.py,165,165,0,40,0,0%
teletext/gui/decoder.py,108,108,0,18,0,0%
teletext/gui/editor.py,73,73,0,24,0,0%
teletext/gui/qthelpers.py,15,15,0,10,0,0%
teletext/gui/service.py,51,51,0,16,0,0%
teletext/gui/vbiplot.py,73,73,0,12,0,0%
teletext/image.py,69,69,0,12,0,0%
teletext/interactive.py,162,162,0,70,0,0%
teletext/mp.py,178,172,0,50,0,3%
teletext/packet.py,129,82,0,52,0,26%
teletext/parser.py,112,99,0,64,0,7%
teletext/pipeline.py,93,93,0,80,0,0%
teletext/printer.py,70,53,0,24,0,18%
teletext/service.py,108,108,0,42,0,0%
teletext/servicedir.py,37,37,0,10,0,0%
teletext/sigint.py,21,13,0,4,0,32%
teletext/spellcheck.py,39,27,0,30,0,20%
teletext/stats.py,74,40,0,16,0,38%
teletext/subpage.py,162,120,0,72,0,18%
teletext/ts.py,32,32,0,22,0,0%
teletext/vbi/__init__.py,0,0,0,0,0,100%
teletext/vbi/clustering.py,52,52,0,26,0,0%
teletext/vbi/config.py,47,47,0,10,0,0%
teletext/vbi/line.py,196,190,0,63,0,2%
teletext/vbi/pattern.py,90,85,0,32,0,4%
teletext/vbi/patterncuda.py,33,33,0,2,0,0%
teletext/vbi/patternopencl.py,44,44,0,6,0,0%
teletext/vbi/training.py,138,133,0,53,0,3%
teletext/vbi/viewer.py,181,181,0,72,0,0%
Total,4068,3623,0,1408,3,8%
