File,statements,missing,excluded,branches,partial,coverage
tests/client_test/aiotransmission_test/api_freespace_test.py,18,0,0,2,0,100%
tests/client_test/aiotransmission_test/api_settings_test.py,566,196,0,90,24,62%
tests/client_test/aiotransmission_test/api_status_test.py,95,2,0,0,0,98%
tests/client_test/aiotransmission_test/api_torrent_test.py,209,0,0,8,0,100%
tests/client_test/aiotransmission_test/resources_aiotransmission.py,96,11,0,26,5,84%
tests/client_test/aiotransmission_test/rpc_test.py,300,2,0,26,0,99%
tests/client_test/aiotransmission_test/torrent_test.py,65,0,0,2,0,100%
tests/client_test/base_test.py,77,0,0,10,1,99%
tests/client_test/client_utils_test.py,537,0,0,56,0,100%
tests/client_test/constants_test.py,13,0,0,0,0,100%
tests/client_test/filters_test/file_filter_test.py,29,0,0,0,0,100%
tests/client_test/filters_test/filter_helpers.py,295,5,0,64,2,97%
tests/client_test/filters_test/filter_specs_test.py,30,0,0,20,0,100%
tests/client_test/filters_test/filters_base_test.py,443,0,0,94,6,99%
tests/client_test/filters_test/peer_filter_test.py,30,0,0,2,0,100%
tests/client_test/filters_test/setting_filter_test.py,34,0,0,0,0,100%
tests/client_test/filters_test/torrent_filter_test.py,86,0,0,0,0,100%
tests/client_test/filters_test/tracker_filter_test.py,48,0,0,4,0,100%
tests/client_test/poll_test.py,160,1,0,14,0,99%
tests/client_test/sorters_test/peer_sorter_test.py,41,0,0,0,0,100%
tests/client_test/sorters_test/setting_sorter_test.py,18,0,0,0,0,100%
tests/client_test/sorters_test/sorter_helpers.py,10,0,0,4,0,100%
tests/client_test/sorters_test/sorters_base_test.py,120,0,0,28,0,100%
tests/client_test/sorters_test/torrent_sorter_test.py,106,0,0,8,0,100%
tests/client_test/sorters_test/tracker_sorter_test.py,42,0,0,0,0,100%
tests/client_test/trequestpool_test.py,168,0,0,20,1,99%
tests/client_test/ttypes_test.py,44,0,0,24,0,100%
tests/commands_test/cmdbase_test.py,4,0,0,0,0,100%
tests/commands_test/cmdmanager_test.py,378,9,0,34,0,98%
tests/commands_test/commands_utils_test.py,9,0,0,0,0,100%
tests/commands_test/config_cmds_test.py,455,1,0,14,1,99%
tests/commands_test/guess_ui_test.py,28,0,0,2,0,100%
tests/commands_test/misc_cmds_test.py,31,0,0,2,0,100%
tests/commands_test/resources_cmd.py,175,14,0,64,6,89%
tests/commands_test/torrent_cmds_test.py,712,7,0,64,0,99%
tests/commands_test/tui_cmds_test.py,215,0,0,18,0,100%
tests/completion_test/candidates_test.py,487,1,0,52,3,99%
tests/completion_test/classes_test.py,171,0,0,14,0,100%
tests/completion_test/completion_utils_test.py,77,1,0,4,1,98%
tests/settings_test/rcfile_test.py,35,0,0,16,0,100%
tests/settings_test/settings_test.py,260,0,0,76,1,99%
tests/tui_test/__init__.py,0,0,0,0,0,100%
tests/tui_test/_handle_urwidpatches.py,12,0,0,0,0,100%
tests/tui_test/cli_test.py,98,0,0,24,0,100%
tests/tui_test/completer_test.py,292,4,0,52,2,97%
tests/tui_test/group_test.py,136,0,0,14,0,100%
tests/tui_test/keymap_test.py,677,5,0,78,4,99%
tests/tui_test/resources_tui.py,7,0,0,4,0,100%
tests/tui_test/scroll_test.py,200,1,0,74,0,99%
tests/tui_test/tabs_test.py,374,0,0,118,1,99%
tests/tui_test/theme_test.py,48,0,0,8,0,100%
tests/tui_test/urwidpatches_test.py,32,0,0,8,0,100%
tests/utils_test/cliparser_test.py,1283,0,0,74,0,100%
tests/utils_test/converter_test.py,116,0,0,6,0,100%
tests/utils_test/string_test.py,75,0,0,0,0,100%
tests/utils_test/usertypes_test.py,472,6,0,98,2,99%
tests/utils_test/utils_test.py,26,0,0,4,0,100%
Total,10565,266,0,1424,60,97%
