File,statements,missing,excluded,branches,partial,coverage
tests/client_test/aiotransmission_test/api_freespace_test.py,18,10,0,2,0,40%
tests/client_test/aiotransmission_test/api_settings_test.py,566,511,0,90,0,8%
tests/client_test/aiotransmission_test/api_status_test.py,95,66,0,0,0,31%
tests/client_test/aiotransmission_test/api_torrent_test.py,209,166,0,8,0,20%
tests/client_test/aiotransmission_test/resources_aiotransmission.py,96,70,0,26,0,21%
tests/client_test/aiotransmission_test/rpc_test.py,300,267,0,26,0,10%
tests/client_test/aiotransmission_test/torrent_test.py,65,49,0,2,0,24%
tests/client_test/base_test.py,77,61,0,10,0,18%
tests/client_test/client_utils_test.py,537,433,0,56,0,18%
tests/client_test/constants_test.py,13,9,0,0,0,31%
tests/client_test/filters_test/file_filter_test.py,29,13,0,0,0,55%
tests/client_test/filters_test/filter_helpers.py,295,268,0,64,0,8%
tests/client_test/filters_test/filter_specs_test.py,30,24,0,20,0,12%
tests/client_test/filters_test/filters_base_test.py,401,355,0,82,0,10%
tests/client_test/filters_test/peer_filter_test.py,30,13,0,2,0,53%
tests/client_test/filters_test/setting_filter_test.py,34,18,0,0,0,47%
tests/client_test/filters_test/torrent_filter_test.py,86,43,0,0,0,50%
tests/client_test/filters_test/tracker_filter_test.py,48,26,0,4,0,42%
tests/client_test/poll_test.py,160,144,0,14,0,9%
tests/client_test/sorters_test/peer_sorter_test.py,41,24,0,0,0,41%
tests/client_test/sorters_test/setting_sorter_test.py,18,9,0,0,0,50%
tests/client_test/sorters_test/sorter_helpers.py,10,5,0,4,0,36%
tests/client_test/sorters_test/sorters_base_test.py,120,100,0,28,0,14%
tests/client_test/sorters_test/torrent_sorter_test.py,106,68,0,8,0,33%
tests/client_test/sorters_test/tracker_sorter_test.py,42,25,0,0,0,40%
tests/client_test/trequestpool_test.py,168,143,0,20,0,13%
tests/client_test/ttypes_test.py,44,31,0,24,0,19%
tests/commands_test/cmdbase_test.py,107,89,0,14,0,15%
tests/commands_test/cmdmanager_test.py,378,323,0,34,0,13%
tests/commands_test/commands_utils_test.py,9,3,0,0,0,67%
tests/commands_test/config_cmds_test.py,455,319,0,14,0,29%
tests/commands_test/guess_ui_test.py,28,15,0,2,0,43%
tests/commands_test/misc_cmds_test.py,31,22,0,2,0,27%
tests/commands_test/resources_cmd.py,175,129,0,64,0,19%
tests/commands_test/torrent_cmds_test.py,712,561,0,64,4,20%
tests/commands_test/tui_cmds_test.py,215,148,0,18,0,29%
tests/completion_test/candidates_test.py,487,318,0,52,0,31%
tests/completion_test/classes_test.py,171,138,0,14,0,18%
tests/completion_test/completion_utils_test.py,77,54,0,4,0,28%
tests/settings_test/rcfile_test.py,35,25,0,16,0,20%
tests/settings_test/settings_test.py,260,213,0,76,0,14%
tests/tui_test/__init__.py,0,0,0,0,0,100%
tests/tui_test/_handle_urwidpatches.py,12,10,0,0,0,17%
tests/tui_test/cli_test.py,98,77,0,24,0,17%
tests/tui_test/completer_test.py,292,250,0,52,0,12%
tests/tui_test/group_test.py,136,112,0,14,0,16%
tests/tui_test/keymap_test.py,677,596,0,78,0,11%
tests/tui_test/resources_tui.py,7,6,0,4,0,9%
tests/tui_test/scroll_test.py,200,161,0,74,0,14%
tests/tui_test/tabs_test.py,374,316,0,118,0,12%
tests/tui_test/theme_test.py,48,31,0,8,0,30%
tests/tui_test/urwidpatches_test.py,32,25,0,8,0,18%
tests/utils_test/cliparser_test.py,1283,1098,0,74,0,14%
tests/utils_test/converter_test.py,116,100,0,6,0,13%
tests/utils_test/string_test.py,75,60,0,0,0,20%
tests/utils_test/usertypes_test.py,472,385,0,98,0,15%
tests/utils_test/utils_test.py,26,20,0,4,0,20%
Total,10626,8555,0,1426,4,17%
