File,statements,missing,excluded,branches,partial,coverage
SoftLayer/API.py,234,79,0,70,8,67%
SoftLayer/CLI/__init__.py,1,0,0,0,0,100%
SoftLayer/CLI/account/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/account/billing_items.py,35,0,0,10,2,96%
SoftLayer/CLI/account/cancel_item.py,12,0,0,2,1,93%
SoftLayer/CLI/account/event_detail.py,35,0,0,6,0,100%
SoftLayer/CLI/account/events.py,59,0,0,20,0,100%
SoftLayer/CLI/account/hook_create.py,19,0,0,0,0,100%
SoftLayer/CLI/account/hook_delete.py,15,2,0,0,0,87%
SoftLayer/CLI/account/hooks.py,14,0,0,2,0,100%
SoftLayer/CLI/account/invoice_detail.py,33,0,0,8,1,98%
SoftLayer/CLI/account/invoices.py,24,0,0,4,0,100%
SoftLayer/CLI/account/item_detail.py,40,3,0,10,4,86%
SoftLayer/CLI/account/licenses.py,20,0,0,4,0,100%
SoftLayer/CLI/account/orders.py,32,0,0,8,0,100%
SoftLayer/CLI/account/summary.py,30,0,0,0,0,100%
SoftLayer/CLI/bandwidth/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/bandwidth/pools.py,40,1,0,11,1,96%
SoftLayer/CLI/bandwidth/pools_create.py,37,2,0,10,2,91%
SoftLayer/CLI/bandwidth/pools_delete.py,11,0,0,0,0,100%
SoftLayer/CLI/bandwidth/pools_detail.py,65,10,0,22,9,78%
SoftLayer/CLI/bandwidth/pools_edit.py,25,0,0,6,3,90%
SoftLayer/CLI/bandwidth/summary.py,31,0,0,10,0,100%
SoftLayer/CLI/block/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/block/access/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/block/access/authorize.py,25,2,0,6,2,87%
SoftLayer/CLI/block/access/list.py,23,0,0,10,0,100%
SoftLayer/CLI/block/access/password.py,13,1,0,2,1,87%
SoftLayer/CLI/block/access/revoke.py,20,0,0,4,1,96%
SoftLayer/CLI/block/cancel.py,22,1,0,8,1,93%
SoftLayer/CLI/block/convert.py,10,0,0,0,0,100%
SoftLayer/CLI/block/count.py,26,0,0,8,1,97%
SoftLayer/CLI/block/detail.py,65,1,0,28,10,88%
SoftLayer/CLI/block/duplicate.py,31,0,0,10,0,100%
SoftLayer/CLI/block/duplicate_convert_status.py,13,0,0,0,0,100%
SoftLayer/CLI/block/limit.py,24,1,0,10,2,91%
SoftLayer/CLI/block/list.py,20,0,0,4,0,100%
SoftLayer/CLI/block/lun.py,13,0,0,2,0,100%
SoftLayer/CLI/block/modify.py,24,0,0,8,0,100%
SoftLayer/CLI/block/object_list.py,13,0,0,2,0,100%
SoftLayer/CLI/block/object_storage_detail.py,23,0,0,0,0,100%
SoftLayer/CLI/block/object_storage_permission.py,22,0,0,4,0,100%
SoftLayer/CLI/block/options.py,79,18,0,44,9,67%
SoftLayer/CLI/block/order.py,48,0,0,22,0,100%
SoftLayer/CLI/block/refresh.py,12,0,0,0,0,100%
SoftLayer/CLI/block/replication/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/block/replication/disaster_recovery_failover.py,16,0,0,2,0,100%
SoftLayer/CLI/block/replication/failback.py,12,0,0,2,0,100%
SoftLayer/CLI/block/replication/failover.py,13,0,0,2,0,100%
SoftLayer/CLI/block/replication/locations.py,22,0,0,8,0,100%
SoftLayer/CLI/block/replication/order.py,34,4,0,14,3,85%
SoftLayer/CLI/block/replication/partners.py,23,0,0,8,0,100%
SoftLayer/CLI/block/set_note.py,15,0,0,2,0,100%
SoftLayer/CLI/block/snapshot/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/block/snapshot/cancel.py,24,1,0,10,2,91%
SoftLayer/CLI/block/snapshot/create.py,13,0,0,2,0,100%
SoftLayer/CLI/block/snapshot/delete.py,11,0,0,2,1,92%
SoftLayer/CLI/block/snapshot/disable.py,15,0,0,4,1,95%
SoftLayer/CLI/block/snapshot/enable.py,29,0,0,12,1,98%
SoftLayer/CLI/block/snapshot/get_notify_status.py,12,0,0,2,0,100%
SoftLayer/CLI/block/snapshot/list.py,22,0,0,6,0,100%
SoftLayer/CLI/block/snapshot/order.py,31,0,0,14,3,93%
SoftLayer/CLI/block/snapshot/restore.py,12,0,0,2,1,93%
SoftLayer/CLI/block/snapshot/schedule_list.py,32,0,0,12,0,100%
SoftLayer/CLI/block/snapshot/set_notify_status.py,11,0,0,0,0,100%
SoftLayer/CLI/block/subnets/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/block/subnets/assign.py,22,5,0,4,1,77%
SoftLayer/CLI/block/subnets/list.py,22,3,0,2,0,88%
SoftLayer/CLI/block/subnets/remove.py,22,5,0,4,1,77%
SoftLayer/CLI/call_api.py,87,0,0,38,1,99%
SoftLayer/CLI/cdn/__init__.py,0,0,0,0,0,100%
SoftLayer/CLI/cdn/create.py,39,1,0,4,1,95%
SoftLayer/CLI/cdn/delete.py,11,0,0,2,1,92%
SoftLayer/CLI/cdn/detail.py,30,0,0,0,0,100%
