Module,statements,missing,excluded,branches,partial,coverage
reactivex/__init__.py,140,2,21,0,0,99%
reactivex/_version.py,1,0,0,0,0,100%
reactivex/abc/__init__.py,8,0,0,0,0,100%
reactivex/abc/disposable.py,13,2,1,0,0,85%
reactivex/abc/observable.py,12,0,1,0,0,100%
reactivex/abc/observer.py,16,0,3,0,0,100%
reactivex/abc/periodicscheduler.py,12,0,1,0,0,100%
reactivex/abc/scheduler.py,30,0,7,0,0,100%
reactivex/abc/startable.py,6,0,1,0,0,100%
reactivex/abc/subject.py,18,0,4,0,0,100%
reactivex/disposable/__init__.py,9,0,0,0,0,100%
reactivex/disposable/booleandisposable.py,9,0,0,0,0,100%
reactivex/disposable/compositedisposable.py,54,1,0,26,0,99%
reactivex/disposable/disposable.py,20,0,0,6,0,100%
reactivex/disposable/multipleassignmentdisposable.py,28,1,0,12,0,98%
reactivex/disposable/refcountdisposable.py,53,1,0,26,3,95%
reactivex/disposable/scheduleddisposable.py,18,1,0,0,0,94%
reactivex/disposable/serialdisposable.py,32,0,0,14,0,100%
reactivex/disposable/singleassignmentdisposable.py,30,1,0,14,1,95%
reactivex/internal/__init__.py,7,0,0,0,0,100%
reactivex/internal/basic.py,18,1,0,2,0,95%
reactivex/internal/concurrency.py,15,0,0,2,0,100%
reactivex/internal/constants.py,3,0,0,0,0,100%
reactivex/internal/exceptions.py,19,2,0,0,0,89%
reactivex/internal/priorityqueue.py,31,0,0,6,0,100%
reactivex/internal/utils.py,37,2,0,2,1,92%
reactivex/notification.py,79,0,2,6,0,100%
reactivex/observable/__init__.py,4,0,0,0,0,100%
reactivex/observable/amb.py,12,0,0,2,0,100%
reactivex/observable/case.py,18,1,0,2,1,90%
reactivex/observable/catch.py,36,4,0,6,3,83%
reactivex/observable/combinelatest.py,4,0,38,0,0,100%
reactivex/observable/concat.py,32,1,0,4,1,94%
reactivex/observable/connectableobservable.py,43,20,0,6,0,51%
reactivex/observable/defer.py,15,0,0,0,0,100%
reactivex/observable/empty.py,11,0,0,0,0,100%
reactivex/observable/forkjoin.py,4,0,34,0,0,100%
reactivex/observable/fromcallback.py,25,4,1,4,1,83%
reactivex/observable/fromfuture.py,24,0,0,4,1,96%
reactivex/observable/fromiterable.py,25,0,0,4,0,100%
reactivex/observable/generate.py,32,0,0,6,0,100%
reactivex/observable/generatewithrelativetime.py,37,0,0,8,0,100%
reactivex/observable/groupedobservable.py,15,0,0,0,0,100%
reactivex/observable/ifthen.py,13,0,0,0,0,100%
reactivex/observable/interval.py,5,0,0,0,0,100%
reactivex/observable/marbles.py,113,3,0,46,2,97%
reactivex/observable/merge.py,8,0,0,0,0,100%
reactivex/observable/never.py,8,0,0,0,0,100%
reactivex/observable/observable.py,85,5,7,10,1,94%
reactivex/observable/onerrorresumenext.py,30,0,0,0,0,100%
reactivex/observable/range.py,27,0,0,4,0,100%
reactivex/observable/repeat.py,11,0,0,2,0,100%
reactivex/observable/returnvalue.py,24,10,0,0,0,58%
reactivex/observable/start.py,6,0,0,0,0,100%
reactivex/observable/startasync.py,11,2,0,0,0,82%
reactivex/observable/throw.py,12,0,0,0,0,100%
reactivex/observable/timer.py,69,4,0,20,6,89%
reactivex/observable/toasync.py,7,0,16,0,0,100%
reactivex/observable/using.py,19,0,0,2,0,100%
reactivex/observable/withlatestfrom.py,5,0,24,0,0,100%
reactivex/observable/zip.py,7,0,39,0,0,100%
reactivex/observer/__init__.py,5,0,0,0,0,100%
reactivex/observer/autodetachobserver.py,42,0,0,8,0,100%
reactivex/observer/observeonobserver.py,13,0,0,0,0,100%
reactivex/observer/observer.py,51,9,0,10,4,75%
reactivex/observer/scheduledobserver.py,54,5,0,13,0,90%
reactivex/operators/__init__.py,479,25,47,4,2,94%
reactivex/operators/_all.py,12,0,0,0,0,100%
reactivex/operators/_amb.py,62,5,0,30,6,84%
reactivex/operators/_asobservable.py,10,0,0,0,0,100%
reactivex/operators/_average.py,22,1,0,6,1,93%
reactivex/operators/_buffer.py,21,0,0,2,0,100%
reactivex/operators/_bufferwithtime.py,10,0,0,2,0,100%
reactivex/operators/_bufferwithtimeorcount.py,8,0,0,0,0,100%
reactivex/operators/_catch.py,31,0,0,2,0,100%
reactivex/operators/_combinelatest.py,9,0,0,0,0,100%
reactivex/operators/_concat.py,9,0,0,0,0,100%
reactivex/operators/_contains.py,12,0,0,0,0,100%
reactivex/operators/_count.py,13,0,0,2,0,100%
reactivex/operators/_debounce.py,89,0,0,10,3,97%
reactivex/operators/_defaultifempty.py,18,0,0,2,0,100%
reactivex/operators/_delay.py,73,2,0,26,2,96%
reactivex/operators/_delaywithmapper.py,50,6,0,8,2,83%
reactivex/operators/_dematerialize.py,12,0,0,0,0,100%
reactivex/operators/_distinct.py,38,0,0,10,0,100%
reactivex/operators/_distinctuntilchanged.py,34,0,0,4,0,100%
reactivex/operators/_do.py,129,98,0,12,0,25%
reactivex/operators/_dowhile.py,9,0,0,0,0,100%
reactivex/operators/_elementatordefault.py,28,1,0,10,1,95%
reactivex/operators/_expand.py,53,0,0,8,1,98%
reactivex/operators/_filter.py,37,0,0,6,1,98%
reactivex/operators/_finallyaction.py,20,3,0,0,0,85%
reactivex/operators/_find.py,25,0,0,2,0,100%
reactivex/operators/_first.py,11,0,0,2,0,100%
reactivex/operators/_firstordefault.py,25,0,0,4,0,100%
reactivex/operators/_flatmap.py,37,10,0,12,1,69%
reactivex/operators/_forkjoin.py,4,0,5,0,0,100%
reactivex/operators/_groupby.py,13,0,0,0,0,100%
reactivex/operators/_groupbyuntil.py,90,19,0,22,0,76%
reactivex/operators/_groupjoin.py,98,6,0,28,1,93%
reactivex/operators/_ignoreelements.py,11,0,0,0,0,100%
reactivex/operators/_isempty.py,8,0,0,0,0,100%
reactivex/operators/_join.py,77,0,0,20,2,98%
reactivex/operators/_last.py,12,0,0,2,0,100%
reactivex/operators/_lastordefault.py,27,0,0,4,0,100%
reactivex/operators/_map.py,28,0,0,0,0,100%
reactivex/operators/_materialize.py,19,0,0,0,0,100%
reactivex/operators/_max.py,10,0,0,0,0,100%
reactivex/operators/_maxby.py,12,0,0,0,0,100%
reactivex/operators/_merge.py,75,0,0,14,0,100%
reactivex/operators/_min.py,14,0,0,2,0,100%
reactivex/operators/_minby.py,41,0,0,8,0,100%
reactivex/operators/_multicast.py,21,1,0,4,1,92%
reactivex/operators/_observeon.py,11,0,0,0,0,100%
reactivex/operators/_onerrorresumenext.py,9,0,0,0,0,100%
reactivex/operators/_pairwise.py,21,0,0,6,0,100%
reactivex/operators/_partition.py,20,6,0,0,0,70%
reactivex/operators/_pluck.py,12,0,0,2,0,100%
reactivex/operators/_publish.py,17,1,0,2,0,95%
reactivex/operators/_publishvalue.py,15,0,0,2,0,100%
reactivex/operators/_reduce.py,14,0,0,2,0,100%
reactivex/operators/_repeat.py,16,1,0,6,1,91%
reactivex/operators/_replay.py,16,3,0,2,1,78%
reactivex/operators/_retry.py,13,0,0,4,0,100%
reactivex/operators/_sample.py,30,1,0,6,1,94%
reactivex/operators/_scan.py,23,0,0,2,0,100%
reactivex/operators/_sequenceequal.py,70,0,0,24,0,100%
reactivex/operators/_single.py,10,0,0,2,0,100%
reactivex/operators/_singleordefault.py,29,0,0,6,0,100%
reactivex/operators/_skip.py,18,1,0,4,1,91%
reactivex/operators/_skiplast.py,19,0,0,6,0,100%
reactivex/operators/_skiplastwithtime.py,24,0,0,4,0,100%
reactivex/operators/_skipuntil.py,32,1,0,6,1,95%
reactivex/operators/_skipuntilwithtime.py,25,1,0,4,1,93%
reactivex/operators/_skipwhile.py,30,0,0,4,0,100%
reactivex/operators/_skipwithtime.py,21,0,0,2,0,100%
reactivex/operators/_slice.py,26,1,0,14,1,95%
reactivex/operators/_some.py,20,0,0,2,0,100%
reactivex/operators/_startswith.py,11,0,0,0,0,100%
reactivex/operators/_subscribeon.py,17,0,0,0,0,100%
reactivex/operators/_sum.py,11,0,0,2,0,100%
reactivex/operators/_switchlatest.py,43,1,0,14,4,91%
reactivex/operators/_take.py,22,1,0,8,2,90%
reactivex/operators/_takelast.py,19,0,0,4,0,100%
reactivex/operators/_takelastbuffer.py,19,0,0,4,0,100%
reactivex/operators/_takelastwithtime.py,26,0,0,6,0,100%
reactivex/operators/_takeuntil.py,18,1,0,2,1,90%
reactivex/operators/_takeuntilwithtime.py,19,1,0,2,1,90%
reactivex/operators/_takewhile.py,49,5,0,18,3,88%
reactivex/operators/_takewithtime.py,16,0,0,0,0,100%
reactivex/operators/_throttlefirst.py,26,1,0,8,1,94%
reactivex/operators/_timeinterval.py,24,0,0,2,0,100%
reactivex/operators/_timeout.py,52,1,0,12,5,91%
reactivex/operators/_timeoutwithmapper.py,60,0,0,14,7,91%
reactivex/operators/_timestamp.py,20,0,0,2,0,100%
reactivex/operators/_todict.py,32,1,0,2,1,94%
reactivex/operators/_tofuture.py,29,0,0,8,1,97%
reactivex/operators/_toiterable.py,17,0,0,0,0,100%
reactivex/operators/_toset.py,15,0,0,0,0,100%
reactivex/operators/_whiledo.py,17,1,0,4,2,86%
reactivex/operators/_window.py,76,0,0,2,0,100%
reactivex/operators/_windowwithcount.py,48,2,0,14,2,94%
reactivex/operators/_windowwithtime.py,77,0,0,26,2,98%
reactivex/operators/_windowwithtimeorcount.py,59,1,0,6,1,97%
reactivex/operators/_withlatestfrom.py,8,0,0,0,0,100%
reactivex/operators/_zip.py,22,0,5,0,0,100%
reactivex/operators/connectable/__init__.py,0,0,0,0,0,100%
reactivex/operators/connectable/_refcount.py,23,0,0,4,0,100%
reactivex/pipe.py,51,0,18,2,0,100%
reactivex/run.py,31,0,0,6,0,100%
reactivex/scheduler/__init__.py,12,0,0,0,0,100%
reactivex/scheduler/catchscheduler.py,65,1,1,8,1,97%
reactivex/scheduler/currentthreadscheduler.py,42,0,0,4,0,100%
reactivex/scheduler/eventloop/__init__.py,7,0,0,0,0,100%
