Module,statements,missing,excluded,branches,partial,coverage
cloudinit/__init__.py,0,0,0,0,0,100%
cloudinit/analyze/__init__.py,110,35,0,18,5,66%
cloudinit/analyze/dump.py,98,14,0,48,7,83%
cloudinit/analyze/show.py,156,81,0,44,2,42%
cloudinit/apport.py,97,24,0,42,10,71%
cloudinit/atomic_helper.py,46,6,0,6,0,85%
cloudinit/cloud.py,51,5,0,8,2,88%
cloudinit/cmd/__init__.py,0,0,0,0,0,100%
cloudinit/cmd/clean.py,74,7,0,32,1,92%
cloudinit/cmd/cloud_id.py,48,1,0,16,2,95%
cloudinit/cmd/devel/__init__.py,9,0,0,2,0,100%
cloudinit/cmd/devel/hotplug_hook.py,153,30,0,48,10,77%
cloudinit/cmd/devel/logs.py,128,20,0,40,5,84%
cloudinit/cmd/devel/make_mime.py,62,38,0,18,2,32%
cloudinit/cmd/devel/net_convert.py,84,12,0,40,7,80%
cloudinit/cmd/devel/parser.py,14,1,0,4,1,89%
cloudinit/cmd/devel/render.py,54,3,0,18,2,93%
cloudinit/cmd/main.py,525,219,0,198,35,55%
cloudinit/cmd/query.py,134,4,0,44,4,96%
cloudinit/cmd/status.py,198,7,0,94,8,95%
cloudinit/config/__init__.py,1,0,0,0,0,100%
cloudinit/config/cc_ansible.py,154,18,0,64,13,82%
cloudinit/config/cc_apk_configure.py,43,4,0,8,2,88%
cloudinit/config/cc_apt_configure.py,570,50,0,272,29,90%
cloudinit/config/cc_apt_pipelining.py,29,3,0,6,1,83%
cloudinit/config/cc_bootcmd.py,32,0,0,4,0,100%
cloudinit/config/cc_byobu.py,52,38,0,20,0,19%
cloudinit/config/cc_ca_certs.py,87,4,0,40,3,94%
cloudinit/config/cc_chef.py,161,46,0,70,10,67%
cloudinit/config/cc_disable_ec2_metadata.py,26,1,0,6,1,94%
cloudinit/config/cc_disk_setup.py,471,308,0,224,22,31%
cloudinit/config/cc_fan.py,44,28,0,10,0,30%
