File,statements,missing,excluded,branches,partial,coverage
teletext/__init__.py,0,0,0,0,0,100%
teletext/__main__.py,3,3,0,2,0,0%
teletext/celp.py,162,159,0,44,0,1%
teletext/charset.py,4,0,0,0,0,100%
teletext/cli/__init__.py,0,0,0,0,0,100%
teletext/cli/celp.py,22,19,0,24,0,7%
teletext/cli/clihelpers.py,181,91,0,134,5,48%
teletext/cli/teletext.py,419,260,0,454,1,49%
teletext/cli/training.py,89,44,0,88,0,65%
teletext/cli/vbi.py,104,55,0,108,0,64%
teletext/coding.py,56,6,0,6,0,90%
teletext/elements.py,385,138,0,190,7,68%
teletext/file.py,71,26,0,28,9,59%
teletext/finders.py,20,6,0,6,1,58%
teletext/gui/__init__.py,0,0,0,0,0,100%
teletext/gui/classify.py,165,165,0,40,0,0%
teletext/gui/decoder.py,108,108,0,26,0,0%
teletext/gui/editor.py,73,73,0,24,0,0%
teletext/gui/qthelpers.py,15,15,0,10,0,0%
teletext/gui/service.py,51,51,0,16,0,0%
teletext/gui/vbiplot.py,73,73,0,10,0,0%
teletext/image.py,69,69,0,12,0,0%
teletext/interactive.py,162,162,0,68,0,0%
teletext/mp.py,178,17,0,62,3,85%
teletext/packet.py,129,63,0,86,2,53%
teletext/parser.py,112,65,0,64,7,32%
teletext/pipeline.py,93,78,0,52,0,10%
teletext/printer.py,70,45,0,24,2,29%
teletext/service.py,108,108,0,50,0,0%
teletext/servicedir.py,37,37,0,10,0,0%
teletext/sigint.py,21,0,0,6,2,93%
teletext/spellcheck.py,39,8,0,28,2,76%
teletext/stats.py,74,39,0,20,0,44%
teletext/subpage.py,162,86,0,94,2,48%
teletext/ts.py,32,32,0,22,0,0%
teletext/vbi/__init__.py,0,0,0,0,0,100%
teletext/vbi/clustering.py,52,52,0,26,0,0%
teletext/vbi/config.py,47,4,0,10,1,88%
teletext/vbi/line.py,196,103,0,85,8,46%
teletext/vbi/pattern.py,90,68,0,32,0,20%
teletext/vbi/patterncuda.py,33,30,0,2,0,9%
teletext/vbi/patternopencl.py,44,42,0,6,0,4%
teletext/vbi/training.py,138,101,0,57,1,24%
teletext/vbi/viewer.py,181,181,0,72,0,0%
Total,4068,2682,0,2098,53,37%
