project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,-1.0,0.0,-1.0
aismessages,0.0,0.0,0.0
elastic-job-lite,0.0,0.0,0.0
pippo,-6.571428571428571,2.571428571428572,-9.142857142857142
rxjava2-extras,30.0,75.33333333333333,-45.333333333333336
unix4j,343.57142857142856,345.7142857142857,-2.142857142857143
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
search-highlighter,555.6666666666666,556.3333333333334,-0.6666666666666666
jfreechart,-7.0,0.0,-7.0
junit-quickcheck,-967.0,34.0,-1001.0
wikidata-toolkit,0.375,0.375,0.0
média,-4.329861111111114,84.52728174603175,-88.85714285714285
sum,-51.95833333333337,1014.327380952381,-1066.2857142857142
