project_name,total,lost_coverage_lines,improve_coverage_lines
commons-io,2.0,2.0,0.0
unix4j,466.6666666666667,798.0,-331.3333333333333
jfreechart,9.0,9.0,0.0
search-highlighter,755.5,1173.0,-417.5
pippo,59.16666666666666,67.16666666666667,-8.0
aismessages,0.0,0.0,0.0
rxjava2-extras,-46.5,10.5,-57.0
elastic-job-lite,5688.0,5688.0,0.0
wikidata-toolkit,614.7142857142857,615.1428571428571,-0.4285714285714285
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
média,686.2316017316017,760.2554112554113,-74.02380952380952
sum,7548.547619047619,8362.809523809525,-814.2619047619047
