project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,1.0,1.0,0.0
elastic-job-lite,0.0,0.0,0.0
pippo,-47.36363636363637,0.0,-47.36363636363637
jimfs,8.0,18.0,-10.0
unix4j,319.25,320.5,-1.25
dropwizard,4.230769230769231,4.230769230769231,0.0
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
search-highlighter,416.5,417.5,-1.0
jfreechart,-6.75,0.25,-7.0
junit-quickcheck,-856.375,17.0,-873.375
wikidata-toolkit,-0.2727272727272727,0.0,-0.2727272727272727
média,-13.481716200466208,64.87339743589745,-78.35511363636364
sum,-161.78059440559448,778.4807692307693,-940.2613636363636
