project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,-1.0,0.0,-1.0
elastic-job-lite,0.0,0.0,0.0
pippo,47.36363636363637,47.36363636363637,0.0
jimfs,-8.0,10.0,-18.0
unix4j,-319.25,1.25,-320.5
dropwizard,-4.230769230769231,0.0,-4.230769230769231
marine-api,0.0,0.0,0.0
redpipe,0.0,0.0,0.0
search-highlighter,-416.5,1.0,-417.5
jfreechart,6.75,7.0,-0.25
junit-quickcheck,855.375,872.375,-17.0
wikidata-toolkit,0.2727272727272727,0.2727272727272727,0.0
média,13.398382867132874,78.2717803030303,-64.87339743589745
sum,160.78059440559448,939.2613636363636,-778.4807692307693
