project_name,total,lost_coverage_lines,improve_coverage_lines
aismessages,-1.0,0.0,-1.0
elastic-job-lite,5688.0,5688.0,0.0
pippo,-22.09090909090909,12.818181818181818,-34.90909090909091
jimfs,-6.0,3.0,-9.0
unix4j,1047.3333333333333,1373.25,-325.9166666666667
dropwizard,840.8461538461538,840.8461538461538,0.0
marine-api,0.0,0.0,0.0
redpipe,87.0,87.0,0.0
search-highlighter,755.5,1173.0,-417.5
jfreechart,8.75,9.0,-0.25
junit-quickcheck,1324.625,1350.25,-25.625
wikidata-toolkit,4567.0,4567.0,0.0
média,1190.8302981740483,1258.6803613053614,-67.85006313131314
sum,14289.963578088578,15104.164335664336,-814.2007575757576
